01/06/2015 07:30 - RODRIGO_POIT | CI = 12061 | NOME_FISICO = 1433154649-32208700.pdf | NOME_ORIGINAL = CARTÓRIO.pdf | TAMANHO = 295 | DESCRICAO = CARTÓRIO.pdf
05/06/2015 09:42 - RODRIGO_POIT | CI = 12113 | NOME_FISICO = 1433508162-64694600.msg | NOME_ORIGINAL = Arnaldo Cardozo - RES Interposição de Recurso de Revista.msg | TAMANHO = 83 | DESCRICAO = Arnaldo Cardozo - RES Interposição de Recurso de Revista.msg
05/06/2015 09:44 - RODRIGO_POIT | CI = 12114 | NOME_FISICO = 1433508282-24069700.msg | NOME_ORIGINAL = Roberto Teixeira - Interposição de Recurso de Revista.msg | TAMANHO = 67 | DESCRICAO = Roberto Teixeira - Interposição de Recurso de Revista.msg
05/06/2015 10:03 - RODRIGO_POIT | CI = 12115 | NOME_FISICO = 1433509355-39694600.pdf | NOME_ORIGINAL = 1 ATUALIZAÇÃO DO DÉBITO.pdf | TAMANHO = 118 | DESCRICAO = 1 ATUALIZAÇÃO DO DÉBITO.pdf
05/06/2015 10:03 - RODRIGO_POIT | CI = 12115 | NOME_FISICO = 1433509355-40207700.pdf | NOME_ORIGINAL = 2 Cópia do Processo.pdf | TAMANHO = 1224 | DESCRICAO = 2 Cópia do Processo.pdf
05/06/2015 10:03 - RODRIGO_POIT | CI = 12115 | NOME_FISICO = 1433509355-40757300.pdf | NOME_ORIGINAL = 3 Cálculo de liquidação.pdf | TAMANHO = 634 | DESCRICAO = 3 Cálculo de liquidação.pdf
05/06/2015 10:03 - RODRIGO_POIT | CI = 12115 | NOME_FISICO = 1433509355-41191100.msg | NOME_ORIGINAL = JOSÉ CARLOS ARRUDA DA SILVA - PROC. 146911 - REALIZAR ATUALIZAÇÃO E APÓS PAGAMENTO.msg | TAMANHO = 41 | DESCRICAO = JOSÉ CARLOS ARRUDA DA SILVA - PROC. 146911 - REALIZAR ATUALIZAÇÃO E APÓS PAGAMENTO.msg
05/06/2015 10:32 - TIAGOLIMA | CI = 12116 | NOME_FISICO = 1433511163-91257100.PDF | NOME_ORIGINAL = Resumo de Apuração - IPI.PDF | TAMANHO = 7.32 | DESCRICAO = Resumo de Apuração - IPI.PDF
05/06/2015 11:47 - FRANCISCO | CI = 12117 | NOME_FISICO = 1433515610-74069600.pdf | NOME_ORIGINAL = DETRAN-TAXAS - 2015.pdf | TAMANHO = 361 | DESCRICAO = DETRAN-TAXAS - 2015.pdf
05/06/2015 13:48 - TIAGOLIMA | CI = 12122 | NOME_FISICO = 1433522921-52194600.pdf | NOME_ORIGINAL = GARE ICMS - PPI.pdf | TAMANHO = 2827 | DESCRICAO = GARE ICMS - PPI.pdf
05/06/2015 14:13 - TIAGOLIMA | CI = 12124 | NOME_FISICO = 1433524263-28757200.pdf | NOME_ORIGINAL = DARF 1279.pdf | TAMANHO = 1640 | DESCRICAO = DARF 1279.pdf
05/06/2015 14:13 - TIAGOLIMA | CI = 12124 | NOME_FISICO = 1433524267-70944600.pdf | NOME_ORIGINAL = DARF 1285.pdf | TAMANHO = 1517 | DESCRICAO = DARF 1285.pdf
05/06/2015 14:13 - TIAGOLIMA | CI = 12124 | NOME_FISICO = 1433524272-14694600.pdf | NOME_ORIGINAL = DARF 1194.pdf | TAMANHO = 1610 | DESCRICAO = DARF 1194.pdf
05/06/2015 14:29 - TIAGOLIMA | CI = 12125 | NOME_FISICO = 1433525338-60007200.pdf | NOME_ORIGINAL = RISS.pdf | TAMANHO = 2245 | DESCRICAO = RISS.pdf
05/06/2015 15:07 - ERIC | CI = 12128 | NOME_FISICO = 1433527589-28757100.xlsx | NOME_ORIGINAL = COMPLEMENTO DE ORÇAMENTO PARA PROJETO 9.05.016-17.xlsx | TAMANHO = 14 | DESCRICAO = DETALHES DE COMPLEMENTO DE VERBA
05/06/2015 15:10 - ERIC | CI = 12129 | NOME_FISICO = 1433527761-52194700.xlsx | NOME_ORIGINAL = COMPLEMENTO DE ORÇAMENTO PARA PROJETO 9.05.016-17.xlsx | TAMANHO = 14 | DESCRICAO = DETALHES DE COMPLEMENTO DE VERBA
05/06/2015 16:11 - FRANCISCO | CI = 12130 | NOME_FISICO = 1433531382-86569600.pdf | NOME_ORIGINAL = DETRAN- TAXAS SERV. 2.015.pdf | TAMANHO = 41 | DESCRICAO = DETRAN- TAXAS SERV. 2.015.pdf
08/06/2015 07:13 - RODRIGO_POIT | CI = 12131 | NOME_FISICO = 1433758360-43038300.pdf | NOME_ORIGINAL = CÁLCULO ATUALIZAÇÃO PENSÃO.pdf | TAMANHO = 75 | DESCRICAO = CÁLCULO ATUALIZAÇÃO PENSÃO.pdf
08/06/2015 07:13 - RODRIGO_POIT | CI = 12131 | NOME_FISICO = 1433758360-51475100.pdf | NOME_ORIGINAL = DECLARAÇÃO DEPÓSITO.pdf | TAMANHO = 282 | DESCRICAO = DECLARAÇÃO DEPÓSITO.pdf
08/06/2015 07:13 - RODRIGO_POIT | CI = 12131 | NOME_FISICO = 1433758360-51840600.msg | NOME_ORIGINAL = SENTENÇA TRT.msg | TAMANHO = 56 | DESCRICAO = SENTENÇA TRT.msg
08/06/2015 08:38 - MARCELOGODOI | CI = 12134 | NOME_FISICO = 1433763499-58663300.pdf | NOME_ORIGINAL = CETESB 2.pdf | TAMANHO = 1195 | DESCRICAO = CETESB 2.pdf
08/06/2015 08:47 - MARCELOGODOI | CI = 12135 | NOME_FISICO = 1433764056-60225800.msg | NOME_ORIGINAL = DIEGO RICARDO MARTINS.msg | TAMANHO = 85 | DESCRICAO = DIEGO RICARDO MARTINS.msg
08/06/2015 09:12 - TIAGOLIMA | CI = 12136 | NOME_FISICO = 1433765536-99288300.pdf | NOME_ORIGINAL = IRRF DIVERSOS - AGRO.pdf | TAMANHO = 402 | DESCRICAO = IRRF DIVERSOS - AGRO.pdf
08/06/2015 10:12 - TIAGOLIMA | CI = 12125 | NOME_FISICO = 1433769122-77413300.pdf | NOME_ORIGINAL = GUIA ISSQN - STª FÉ 7.pdf | TAMANHO = 24 | DESCRICAO = GUIA ISSQN - STª FÉ 7.pdf
08/06/2015 10:48 - RODRIGO_POIT | CI = 12137 | NOME_FISICO = 1433771281-97725800.msg | NOME_ORIGINAL = Devanir Fortunato - Interposição de Recurso de Revista - verificar com a flávia camelier.msg | TAMANHO = 103 | DESCRICAO = Devanir Fortunato - Interposição de Recurso de Revista - verificar com a flávia camelier.msg
08/06/2015 13:02 - TIAGOLIMA | CI = 12138 | NOME_FISICO = 1433771934-52413300.pdf | NOME_ORIGINAL = Darfs_Recibos - Rabobank.pdf | TAMANHO = 2024 | DESCRICAO = Darfs_Recibos - Rabobank.pdf
08/06/2015 13:45 - TIAGOLIMA | CI = 12139 | NOME_FISICO = 1433781817-99288300.pdf | NOME_ORIGINAL = Darf - NF 1340 KPMG.pdf | TAMANHO = 1238 | DESCRICAO = Darf - NF 1340 KPMG.pdf
08/06/2015 13:45 - TIAGOLIMA | CI = 12139 | NOME_FISICO = 1433781825-02413300.pdf | NOME_ORIGINAL = Darf - NF 3069 Schutter.pdf | TAMANHO = 1534 | DESCRICAO = Darf - NF 3069 Schutter.pdf
08/06/2015 13:45 - TIAGOLIMA | CI = 12139 | NOME_FISICO = 1433781831-32100800.pdf | NOME_ORIGINAL = Darf - NF 1380 Letrans.pdf | TAMANHO = 1245 | DESCRICAO = Darf - NF 1380 Letrans.pdf
08/06/2015 13:45 - FERNANDOPIRES | CI = 12140 | NOME_FISICO = 1433781892-47725800.pdf | NOME_ORIGINAL = Ticket - 02-07-15.pdf | TAMANHO = 104 | DESCRICAO = Ticket - 02-07-15.pdf
08/06/2015 13:45 - FERNANDOPIRES | CI = 12140 | NOME_FISICO = 1433781914-46396900.pdf | NOME_ORIGINAL = Ticket - NF.pdf | TAMANHO = 15 | DESCRICAO = Ticket - NF.pdf
08/06/2015 13:49 - FERNANDOPIRES | CI = 12141 | NOME_FISICO = 1433782132-94600800.pdf | NOME_ORIGINAL = FF- despesas diversas - 08-06-15.pdf | TAMANHO = 3275 | DESCRICAO = FF- despesas diversas - 08-06-15.pdf
08/06/2015 13:53 - TIAGOLIMA | CI = 12142 | NOME_FISICO = 1433782345-11788400.pdf | NOME_ORIGINAL = IRRF - DIVERSOS.pdf | TAMANHO = 1184 | DESCRICAO = IRRF - DIVERSOS.pdf
08/06/2015 14:42 - ROBERTA | CI = 12143 | NOME_FISICO = 1433785344-10225800.pdf | NOME_ORIGINAL = Multa.pdf | TAMANHO = 637 | DESCRICAO = Multa.pdf
08/06/2015 16:29 - KLEBER | CI = 12145 | NOME_FISICO = 1433791776-09151700.pdf | NOME_ORIGINAL = Usina Santa Fé 05-2015 - Boleto.pdf | TAMANHO = 503 | DESCRICAO = Usina Santa Fé 05-2015 - Boleto.pdf
09/06/2015 08:53 - ROBERTA | CI = 12149 | NOME_FISICO = 1433850799-04659500.pdf | NOME_ORIGINAL = Perdas Físicas 15   Transvale.pdf | TAMANHO = 8.63 | DESCRICAO = Perdas Físicas 15   Transvale.pdf
09/06/2015 08:54 - ROBERTA | CI = 12150 | NOME_FISICO = 1433850868-06221900.pdf | NOME_ORIGINAL = Perdas Físicas 5   Transportes 1500.pdf | TAMANHO = 8.6 | DESCRICAO = Perdas Físicas 5   Transportes 1500.pdf
09/06/2015 10:14 - LUZMARINA | CI = 12152 | NOME_FISICO = 1433855623-81514900.pdf | NOME_ORIGINAL = Marcos Fabiano Flois.pdf | TAMANHO = 505 | DESCRICAO = Marcos Fabiano Flois.pdf
09/06/2015 13:51 - RODRIGO_POIT | CI = 12159 | NOME_FISICO = 1433868680-12960200.pdf | NOME_ORIGINAL = RPA FAIZ.pdf | TAMANHO = 1370 | DESCRICAO = RPA FAIZ.pdf
09/06/2015 13:59 - RODRIGO_POIT | CI = 12160 | NOME_FISICO = 1433868769-06710300.pdf | NOME_ORIGINAL = DESPESAS FAIZ.pdf | TAMANHO = 2972 | DESCRICAO = DESPESAS FAIZ.pdf
09/06/2015 14:20 - ROBERTA | CI = 12161 | NOME_FISICO = 1433870405-17647700.pdf | NOME_ORIGINAL = NotaDebito.pdf | TAMANHO = 19 | DESCRICAO = NotaDebito.pdf
09/06/2015 14:27 - TIAGOLIMA | CI = 12162 | NOME_FISICO = 1433870312-50460300.pdf | NOME_ORIGINAL = IPTU 2015.pdf | TAMANHO = 492 | DESCRICAO = IPTU 2015.pdf
09/06/2015 14:39 - TIAGOLIMA | CI = 12163 | NOME_FISICO = 1433871385-16085300.pdf | NOME_ORIGINAL = IPTU 2015.pdf | TAMANHO = 352 | DESCRICAO = IPTU 2015.pdf
09/06/2015 15:09 - VALDINEI | CI = 12166 | NOME_FISICO = 1433873220-27022800.pdf | NOME_ORIGINAL = GARAGEM PRESIDENTE - UNID G16 - MAIO - 2015.pdf | TAMANHO = 62 | DESCRICAO = GARAGEM PRESIDENTE - UNID G16 - MAIO - 2015.pdf
10/06/2015 08:22 - FERNANDOPIRES | CI = 12172 | NOME_FISICO = 1433935290-37960300.pdf | NOME_ORIGINAL = TFE Agro 2015 - 10-07-2015.pdf | TAMANHO = 123 | DESCRICAO = TFE Agro 2015 - 10-07-2015.pdf
10/06/2015 08:22 - FERNANDOPIRES | CI = 12172 | NOME_FISICO = 1433935302-58534900.pdf | NOME_ORIGINAL = TFE Usina 2015 - 10-07-2015.pdf | TAMANHO = 122 | DESCRICAO = TFE Usina 2015 - 10-07-2015.pdf
10/06/2015 13:06 - MARTA | CI = 12174 | NOME_FISICO = 1433952385-63155600.pdf | NOME_ORIGINAL = darf 19 06 2015.pdf | TAMANHO = 996 | DESCRICAO = DARF
10/06/2015 16:20 - FRANCISCO | CI = 12176 | NOME_FISICO = 1433963994-92843100.pdf | NOME_ORIGINAL = DETRAN- TAXAS SERV. 2.015.pdf | TAMANHO = 41 | DESCRICAO = DETRAN- TAXAS SERV. 2.015.pdf
11/06/2015 09:24 - LUZMARINA | CI = 12179 | NOME_FISICO = 1434025369-10225900.pdf | NOME_ORIGINAL = Miltoin Cesar.pdf | TAMANHO = 1111 | DESCRICAO = Miltoin Cesar.pdf
11/06/2015 09:35 - FERNANDOPIRES | CI = 12180 | NOME_FISICO = 1434026103-49288300.pdf | NOME_ORIGINAL = FF - despesas diversas - 11-06-15.pdf | TAMANHO = 1003 | DESCRICAO = FF - despesas diversas - 11-06-15.pdf
11/06/2015 10:10 - MARCELOGODOI | CI = 12182 | NOME_FISICO = 1434028065-63350900.pdf | NOME_ORIGINAL = ITAQUERE.pdf | TAMANHO = 28 | DESCRICAO = ITAQUERE.pdf
11/06/2015 10:10 - MARCELOGODOI | CI = 12182 | NOME_FISICO = 1434028065-63824700.pdf | NOME_ORIGINAL = Boleto de Cobrança 1.pdf | TAMANHO = 90 | DESCRICAO = Boleto de Cobrança 1.pdf
11/06/2015 11:38 - FERNANDOPIRES | CI = 12187 | NOME_FISICO = 1434032716-85225900.pdf | NOME_ORIGINAL = Condomínio Escritório de SP -Julho 2015.pdf | TAMANHO = 2178 | DESCRICAO = Condomínio Escritório de SP -Julho 2015.pdf
11/06/2015 11:38 - FERNANDOPIRES | CI = 12187 | NOME_FISICO = 1434032785-65255900.pdf | NOME_ORIGINAL = Condomínio Escritório de SP -Agosto 2015.pdf | TAMANHO = 2193 | DESCRICAO = Condomínio Escritório de SP -Agosto 2015.pdf
11/06/2015 11:38 - FERNANDOPIRES | CI = 12187 | NOME_FISICO = 1434033512-78975800.pdf | NOME_ORIGINAL = Condomínio Escrit. de SP -Setembro 2015.pdf | TAMANHO = 2490 | DESCRICAO = Condomínio Escrit. de SP -Setembro 2015.pdf
11/06/2015 11:53 - ROSEMEIRESGOTI | CI = 12188 | NOME_FISICO = 1434034425-86788400.pdf | NOME_ORIGINAL = DARF 3280 04_2015.pdf | TAMANHO = 241 | DESCRICAO = DARF 3280 04_2015.pdf
11/06/2015 14:25 - MARTA | CI = 12191 | NOME_FISICO = 1434043510-07100800.pdf | NOME_ORIGINAL = willian 11062015 1.pdf | TAMANHO = 564 | DESCRICAO = Despesas Viagem
11/06/2015 14:25 - MARTA | CI = 12191 | NOME_FISICO = 1434043510-07635500.pdf | NOME_ORIGINAL = willian 11062015 2.pdf | TAMANHO = 395 | DESCRICAO = Despesas Viagem
12/06/2015 08:14 - TIAGOLIMA | CI = 12194 | NOME_FISICO = 1434107280-95284400.pdf | NOME_ORIGINAL = Gare ICMS 2ª Parcela do Parcelamento Abril15.pdf | TAMANHO = 17 | DESCRICAO = Gare ICMS 2ª Parcela do Parcelamento Abril15.pdf
12/06/2015 08:20 - TIAGOLIMA | CI = 12195 | NOME_FISICO = 1434107824-03096900.pdf | NOME_ORIGINAL = Formulário Débito em Conta_assinado.pdf | TAMANHO = 854 | DESCRICAO = Formulário Débito em Conta_assinado.pdf
12/06/2015 09:34 - FERNANDOPIRES | CI = 12196 | NOME_FISICO = 1434112433-39034400.pdf | NOME_ORIGINAL = VT - 10-07-2015.pdf | TAMANHO = 35 | DESCRICAO = VT - 10-07-2015.pdf
15/06/2015 07:52 - RODRIGO_POIT | CI = 12199 | NOME_FISICO = 1434365484-94172700.msg | NOME_ORIGINAL = Interposição de Agravo de Instrumento - Jair Rebolo.msg | TAMANHO = 68 | DESCRICAO = Interposição de Agravo de Instrumento - Jair Rebolo.msg
15/06/2015 09:57 - ZEZA | CI = 12201 | NOME_FISICO = 1434372485-08235300.xls | NOME_ORIGINAL = Agropecuaria-2015.xls | TAMANHO = 48 | DESCRICAO = Planilha de apuração
15/06/2015 09:57 - ZEZA | CI = 12201 | NOME_FISICO = 1434372485-10082600.pdf | NOME_ORIGINAL = Balancete 05_2015..pdf | TAMANHO = 65 | DESCRICAO = Balancete
15/06/2015 11:03 - MARCELOGODOI | CI = 12207 | NOME_FISICO = 1434376788-64485200.msg | NOME_ORIGINAL = PROCESSO CETESB 2.msg | TAMANHO = 81 | DESCRICAO = PROCESSO CETESB 2.msg
15/06/2015 11:03 - MARCELOGODOI | CI = 12207 | NOME_FISICO = 1434376788-64988100.pdf | NOME_ORIGINAL = GUIA DEPÓSITO VALOR DA MULTA.pdf | TAMANHO = 137 | DESCRICAO = GUIA DEPÓSITO VALOR DA MULTA.pdf
15/06/2015 14:50 - FRANCISCO | CI = 12210 | NOME_FISICO = 1434390607-14485200.pdf | NOME_ORIGINAL = CUPOM-RON-10-06.pdf | TAMANHO = 489 | DESCRICAO = CUPOM-RON-10-06.pdf
15/06/2015 15:03 - FRANCISCO | CI = 12211 | NOME_FISICO = 1434391406-76985300.pdf | NOME_ORIGINAL = DETRAN- TAXAS SERV. 2.015.pdf | TAMANHO = 41 | DESCRICAO = DETRAN- TAXAS SERV. 2.015.pdf
15/06/2015 15:59 - FRANCISCO | CI = 12212 | NOME_FISICO = 1434394724-89485200.pdf | NOME_ORIGINAL = ASTRA-VISTORIA.pdf | TAMANHO = 605 | DESCRICAO = ASTRA-VISTORIA.pdf
15/06/2015 16:11 - RODRIGO_POIT | CI = 12214 | NOME_FISICO = 1434395486-48860200.pdf | NOME_ORIGINAL = petição inicial.pdf | TAMANHO = 481 | DESCRICAO = petição inicial.pdf
15/06/2015 16:11 - RODRIGO_POIT | CI = 12214 | NOME_FISICO = 1434395486-49404900.msg | NOME_ORIGINAL = TERMO DE AUDIÊNCIA PROC. 1211114 - JOSÉ FERREIRA BARBOSA.msg | TAMANHO = 71 | DESCRICAO = TERMO DE AUDIÊNCIA PROC. 1211114 - JOSÉ FERREIRA BARBOSA.msg
16/06/2015 09:05 - FRANCISCO | CI = 12220 | NOME_FISICO = 1434456297-93391500.pdf | NOME_ORIGINAL = CUPOM-RON-15-06.pdf | TAMANHO = 302 | DESCRICAO = CUPOM-RON-15-06.pdf
16/06/2015 09:10 - FRANCISCO | CI = 12221 | NOME_FISICO = 1434456589-48079000.pdf | NOME_ORIGINAL = CUPOM-RON-15-06-DH.pdf | TAMANHO = 220 | DESCRICAO = CUPOM-RON-15-06-DH.pdf
16/06/2015 11:41 - VALDINEI | CI = 12225 | NOME_FISICO = 1434465678-33430500.pdf | NOME_ORIGINAL = Conta de Energia - Junho - 2015.pdf | TAMANHO = 636 | DESCRICAO = Conta de Energia - Junho - 2015.pdf
16/06/2015 15:24 - TIAGOLIMA | CI = 12228 | NOME_FISICO = 1434479024-52278300.pdf | NOME_ORIGINAL = GARE ICMS.pdf | TAMANHO = 598 | DESCRICAO = GARE ICMS.pdf
16/06/2015 16:25 - RODRIGO_POIT | CI = 12229 | NOME_FISICO = 1434482704-32063300.msg | NOME_ORIGINAL = Agnaldo José da Silva - Interposição de Recurso Extraordinário.msg | TAMANHO = 82 | DESCRICAO = Agnaldo José da Silva - Interposição de Recurso Extraordinário.msg
