01/11/2016 08:29 - DONIZETE | CI = 18038 | NOME_FISICO = 1477996180-45937700.pdf | NOME_ORIGINAL = Despesas.pdf | TAMANHO = 270 | DESCRICAO = Despesas.pdf
04/11/2016 14:13 - RODRIGO_POIT | CI = 18108 | NOME_FISICO = 1478276002-98000200.pdf | NOME_ORIGINAL = MANOEL CARLOS VERDERI-PROC.1512-4.2011-ATA DE AUDIÊNCIA.pdf | TAMANHO = 1400 | DESCRICAO = MANOEL CARLOS VERDERI-PROC.1512-4.2011-ATA DE AUDIÊNCIA.pdf
04/11/2016 14:13 - RODRIGO_POIT | CI = 18108 | NOME_FISICO = 1478276003-02438800.pdf | NOME_ORIGINAL = Cálculo de Liquidação.pdf | TAMANHO = 427 | DESCRICAO = Cálculo de Liquidação.pdf
04/11/2016 15:21 - MICHELAAUGUSTO | CI = 18110 | NOME_FISICO = 1478280108-05812600.pdf | NOME_ORIGINAL = Funrural AGRO 10.2016.pdf | TAMANHO = 225 | DESCRICAO = Funrural AGRO 10.2016.pdf
04/11/2016 15:34 - RODRIGO_POIT | CI = 18111 | NOME_FISICO = 1478280889-48000100.pdf | NOME_ORIGINAL = MIGUEL LOPES MORALES NETO-PROC.1509-89.2011-ATA DE AUDIÊNCIA.pdf | TAMANHO = 1420 | DESCRICAO = MIGUEL LOPES MORALES NETO-PROC.1509-89.2011-ATA DE AUDIÊNCIA.pdf
04/11/2016 15:34 - RODRIGO_POIT | CI = 18111 | NOME_FISICO = 1478280889-49654000.pdf | NOME_ORIGINAL = Cálculo de Liquidação.pdf | TAMANHO = 402 | DESCRICAO = Cálculo de Liquidação.pdf
04/11/2016 16:05 - TIAGOCHIMINI | CI = 18112 | NOME_FISICO = 1478282702-79250000.275 | NOME_ORIGINAL = 9.05.275 | TAMANHO = 168 | DESCRICAO = 9.05.275
05/11/2016 08:20 - VALDINEI | CI = 18113 | NOME_FISICO = 1478341025-71437700.pdf | NOME_ORIGINAL = Caixa temática - 26-10-16.pdf | TAMANHO = 276 | DESCRICAO = Caixa temática - 26-10-16.pdf
07/11/2016 08:54 - SANTANA | CI = 18114 | NOME_FISICO = 1478515845-68012700.rar | NOME_ORIGINAL = Parcelamento PPI - Roberto.rar | TAMANHO = 54 | DESCRICAO = Parcelamento PPI - Roberto.rar
07/11/2016 10:11 - SANTANA | CI = 18117 | NOME_FISICO = 1478520671-07075200.rar | NOME_ORIGINAL = Parcelamento Cod. 1194 (Art. 1º - PGFN) IPI (safras 1992_1993, 1993_1994 e 1994_1995).rar | TAMANHO = 304 | DESCRICAO = Parcelamento Cod. 1194 (Art. 1º - PGFN) IPI (safras 1992_1993, 1993_1994 e 1994_1995).rar
07/11/2016 10:11 - SANTANA | CI = 18117 | NOME_FISICO = 1478520671-09571800.rar | NOME_ORIGINAL = Parcelamento Cod. 1279 (Art. 1º - RFB) IPI (safras 1997_1998, 1998_1999 e 1999_2000).rar | TAMANHO = 305 | DESCRICAO = Parcelamento Cod. 1279 (Art. 1º - RFB) IPI (safras 1997_1998, 1998_1999 e 1999_2000).rar
07/11/2016 10:11 - SANTANA | CI = 18117 | NOME_FISICO = 1478520671-10859700.rar | NOME_ORIGINAL = Parcelamento Cod. 1285 (Art. 3º - RFB) COFINS (10 e 111997), CSLL (2004) e IRPJ (2003).rar | TAMANHO = 312 | DESCRICAO = Parcelamento Cod. 1285 (Art. 3º - RFB) COFINS (10 e 111997), CSLL (2004) e IRPJ (2003).rar
07/11/2016 14:38 - ERIC | CI = 18119 | NOME_FISICO = 1478536700-35200100.pdf | NOME_ORIGINAL = 9.05.342 - 7-11-16.pdf | TAMANHO = 1593 | DESCRICAO = Status de orçamento
07/11/2016 15:26 - STEFANIAESTEVO | CI = 18120 | NOME_FISICO = 1478539574-47700100.pdf | NOME_ORIGINAL = CUPOM FISCAL 07.11.pdf | TAMANHO = 486 | DESCRICAO = CUPOM FISCAL
07/11/2016 15:32 - STEFANIAESTEVO | CI = 18122 | NOME_FISICO = 1478539870-91450100.pdf | NOME_ORIGINAL = NOTA FISCAL BRUNO (2).pdf | TAMANHO = 335 | DESCRICAO = NOTA
07/11/2016 15:32 - ELISSANDRA | CI = 18123 | NOME_FISICO = 1478539446-61762600.pdf | NOME_ORIGINAL = doc12661120161107164510.pdf | TAMANHO = 953 | DESCRICAO = doc12661120161107164510.pdf
07/11/2016 15:32 - ELISSANDRA | CI = 18123 | NOME_FISICO = 1478539923-32075100.pdf | NOME_ORIGINAL = contrato Christiano.pdf | TAMANHO = 370 | DESCRICAO = contrato Christiano.pdf
07/11/2016 15:36 - ELISSANDRA | CI = 18124 | NOME_FISICO = 1478540140-96137600.pdf | NOME_ORIGINAL = contrato Christiano.pdf | TAMANHO = 370 | DESCRICAO = contrato Christiano.pdf
07/11/2016 15:36 - ELISSANDRA | CI = 18124 | NOME_FISICO = 1478540161-03950100.pdf | NOME_ORIGINAL = doc12660920161107164438.pdf | TAMANHO = 222 | DESCRICAO = doc12660920161107164438.pdf
07/11/2016 15:36 - VELOSA | CI = 18125 | NOME_FISICO = 1478540183-74262600.pdf | NOME_ORIGINAL = RCCP - Usina.pdf | TAMANHO = 1280 | DESCRICAO = RCCP - Usina.pdf
07/11/2016 15:39 - ELISSANDRA | CI = 18126 | NOME_FISICO = 1478540315-53950100.pdf | NOME_ORIGINAL = doc12660820161107164418.pdf | TAMANHO = 323 | DESCRICAO = doc12660820161107164418.pdf
07/11/2016 15:43 - VELOSA | CI = 18127 | NOME_FISICO = 1478540596-32075100.pdf | NOME_ORIGINAL = IRRF - Usina.pdf | TAMANHO = 444 | DESCRICAO = IRRF - Usina.pdf
07/11/2016 15:47 - VELOSA | CI = 18128 | NOME_FISICO = 1478540817-32075100.pdf | NOME_ORIGINAL = RCCP - Agro.pdf | TAMANHO = 166 | DESCRICAO = RCCP - Agro.pdf
07/11/2016 15:50 - VELOSA | CI = 18129 | NOME_FISICO = 1478540998-85200200.pdf | NOME_ORIGINAL = INSS - Usina.pdf | TAMANHO = 162 | DESCRICAO = INSS - Usina.pdf
08/11/2016 09:06 - FERNANDOPIRES | CI = 18135 | NOME_FISICO = 1478603051-94672800.pdf | NOME_ORIGINAL = Boleto Ticket - 02-12-2016.pdf | TAMANHO = 62 | DESCRICAO = Boleto Ticket - 02-12-2016.pdf
08/11/2016 09:06 - FERNANDOPIRES | CI = 18135 | NOME_FISICO = 1478603064-51418500.pdf | NOME_ORIGINAL = Nota Fiscal Ticket.pdf | TAMANHO = 9.62 | DESCRICAO = Nota Fiscal Ticket.pdf
08/11/2016 10:00 - MICHELAAUGUSTO | CI = 18137 | NOME_FISICO = 1478606309-54047800.pdf | NOME_ORIGINAL = NF ref. Hospedagem.pdf | TAMANHO = 102 | DESCRICAO = NF ref. Hospedagem.pdf
08/11/2016 10:00 - MICHELAAUGUSTO | CI = 18137 | NOME_FISICO = 1478606320-29478100.pdf | NOME_ORIGINAL = Despesas com Passagens.pdf | TAMANHO = 52 | DESCRICAO = Despesas com Passagens.pdf
08/11/2016 10:00 - MICHELAAUGUSTO | CI = 18137 | NOME_FISICO = 1478606329-86039300.pdf | NOME_ORIGINAL = Despesas com Refeição.pdf | TAMANHO = 63 | DESCRICAO = Despesas com Refeição.pdf
08/11/2016 10:00 - MICHELAAUGUSTO | CI = 18137 | NOME_FISICO = 1478606342-72288500.pdf | NOME_ORIGINAL = Despesas de Táxi.pdf | TAMANHO = 72 | DESCRICAO = Despesas de Táxi.pdf
08/11/2016 11:27 - MICHELAAUGUSTO | CI = 18138 | NOME_FISICO = 1478611626-49360200.pdf | NOME_ORIGINAL = GUIA CUSTAS INICIAIS.pdf | TAMANHO = 102 | DESCRICAO = GUIA CUSTAS INICIAIS.pdf
08/11/2016 11:32 - FRANCISCO | CI = 18139 | NOME_FISICO = 1478611901-46235200.pdf | NOME_ORIGINAL = CUPOM-AIRT.06-11.pdf | TAMANHO = 394 | DESCRICAO = CUPOM-AIRT.06-11.pdf
08/11/2016 11:32 - FRANCISCO | CI = 18139 | NOME_FISICO = 1478611940-07607200.pdf | NOME_ORIGINAL = CUPOM-AIRT.06-11-01.pdf | TAMANHO = 324 | DESCRICAO = CUPOM-AIRT.06-11-01.pdf
08/11/2016 11:48 - LUISMORETTI | CI = 18140 | NOME_FISICO = 1478612861-71235200.pdf | NOME_ORIGINAL = Horta.pdf | TAMANHO = 236 | DESCRICAO = Horta.pdf
08/11/2016 11:50 - LUISMORETTI | CI = 18141 | NOME_FISICO = 1478613041-91547800.pdf | NOME_ORIGINAL = Lavagem.pdf | TAMANHO = 287 | DESCRICAO = Lavagem.pdf
08/11/2016 12:50 - VELOSA | CI = 18142 | NOME_FISICO = 1478616639-39985200.pdf | NOME_ORIGINAL = ISS - Usina.pdf | TAMANHO = 2570 | DESCRICAO = ISS - Usina.pdf
08/11/2016 12:58 - VELOSA | CI = 18143 | NOME_FISICO = 1478617071-07172700.pdf | NOME_ORIGINAL = Compl ISS Usina.pdf | TAMANHO = 984 | DESCRICAO = Compl ISS Usina.pdf
08/11/2016 12:58 - VELOSA | CI = 18143 | NOME_FISICO = 1478617084-39985300.pdf | NOME_ORIGINAL = Guia ISS - Ademir - multa e juros.pdf | TAMANHO = 19 | DESCRICAO = Guia ISS - Ademir - multa e juros.pdf
08/11/2016 12:58 - VELOSA | CI = 18143 | NOME_FISICO = 1478617101-50922700.pdf | NOME_ORIGINAL = E-mail.pdf | TAMANHO = 348 | DESCRICAO = E-mail.pdf
08/11/2016 14:15 - KLEBER | CI = 18145 | NOME_FISICO = 1478621743-16547700.pdf | NOME_ORIGINAL = boleto.pdf | TAMANHO = 444 | DESCRICAO = boleto.pdf
08/11/2016 14:41 - REGI | CI = 18146 | NOME_FISICO = 1478623275-49360300.msg | NOME_ORIGINAL = Pagamentos Fornecedores_Outubro_16.msg | TAMANHO = 81 | DESCRICAO = Pagamentos Fornecedores_Outubro_16.msg
08/11/2016 14:57 - FRANCISCO | CI = 18147 | NOME_FISICO = 1478624242-97797800.pdf | NOME_ORIGINAL = DETRAN - TAXAS DE SERV .2016.pdf | TAMANHO = 316 | DESCRICAO = DETRAN - TAXAS DE SERV .2016.pdf
08/11/2016 15:39 - MARVYNALVES | CI = 18149 | NOME_FISICO = 1478626704-69672700.pdf | NOME_ORIGINAL = RELATORIO PROJETO 9.05.289 -08-11-16.pdf | TAMANHO = 18 | DESCRICAO = RELATÓRIO 08/11/16
08/11/2016 16:15 - RODRIGO_POIT | CI = 18151 | NOME_FISICO = 1478628916-29047800.msg | NOME_ORIGINAL = PROCESSO SORVETES TAMBAÚ.msg | TAMANHO = 154 | DESCRICAO = PROCESSO SORVETES TAMBAÚ.msg
09/11/2016 08:23 - MARTA | CI = 18154 | NOME_FISICO = 1478686969-19672700.pdf | NOME_ORIGINAL = Despesa 09112016.pdf | TAMANHO = 66 | DESCRICAO = Despesas de Viagem
09/11/2016 08:45 - FERNANDOPIRES | CI = 18155 | NOME_FISICO = 1478688311-72797800.pdf | NOME_ORIGINAL = 12 Boleto FMU - 07-12-16.pdf | TAMANHO = 16 | DESCRICAO = 12 Boleto FMU - 07-12-16.pdf
09/11/2016 08:47 - FERNANDOPIRES | CI = 18157 | NOME_FISICO = 1478688444-60297700.pdf | NOME_ORIGINAL = FF - despesas diversas - 09-11-2016.pdf | TAMANHO = 86 | DESCRICAO = FF - despesas diversas - 09-11-2016.pdf
09/11/2016 10:26 - FRANCISCO | CI = 18160 | NOME_FISICO = 1478694347-33735200.pdf | NOME_ORIGINAL = CUPOM-RON.-06-11.pdf | TAMANHO = 347 | DESCRICAO = CUPOM-RON.-06-11.pdf
09/11/2016 10:26 - FRANCISCO | CI = 18160 | NOME_FISICO = 1478694383-98241300.pdf | NOME_ORIGINAL = CUPOM RON. 07-11.pdf | TAMANHO = 415 | DESCRICAO = CUPOM RON. 07-11.pdf
09/11/2016 13:12 - RODRIGO_POIT | CI = 18163 | NOME_FISICO = 1478704376-60297700.msg | NOME_ORIGINAL = RES PUBLICAÇÃO PROC. 1170214 - WALTER LUIZ CLEMENTE FERNANDES.msg | TAMANHO = 49 | DESCRICAO = RES PUBLICAÇÃO PROC. 1170214 - WALTER LUIZ CLEMENTE FERNANDES.msg
09/11/2016 13:12 - RODRIGO_POIT | CI = 18163 | NOME_FISICO = 1478704376-63638400.msg | NOME_ORIGINAL = SENTENÇA PROC. 1170214 - WALTER LUIZ CLEMENTE FERNANDES.msg | TAMANHO = 127 | DESCRICAO = SENTENÇA PROC. 1170214 - WALTER LUIZ CLEMENTE FERNANDES.msg
09/11/2016 13:36 - RODRIGO_POIT | CI = 18165 | NOME_FISICO = 1478705768-89985200.msg | NOME_ORIGINAL = PUBLICAÇÃO PRODC. 172812 - MARIO ALVES DA COSTA.msg | TAMANHO = 54 | DESCRICAO = PUBLICAÇÃO PRODC. 172812 - MARIO ALVES DA COSTA.msg
09/11/2016 14:26 - RODRIGO_POIT | CI = 18166 | NOME_FISICO = 1478708804-21235200.msg | NOME_ORIGINAL = Re HOMOLOGAÇÃO CÁLCULO PROC. 151611 - FERNANDO MARTINS DOS SANTOS.msg | TAMANHO = 87 | DESCRICAO = Re HOMOLOGAÇÃO CÁLCULO PROC. 151611 - FERNANDO MARTINS DOS SANTOS.msg
09/11/2016 14:52 - FRANCISCO | CI = 18167 | NOME_FISICO = 1478710331-38422800.pdf | NOME_ORIGINAL = CUPOM - AIRT.-09-11.pdf | TAMANHO = 210 | DESCRICAO = CUPOM - AIRT.-09-11.pdf
09/11/2016 16:15 - MARCOS | CI = 18168 | NOME_FISICO = 1478715095-02485200.pdf | NOME_ORIGINAL = Faz MM2.pdf | TAMANHO = 984 | DESCRICAO = Faz MM2.pdf
09/11/2016 16:15 - MARCOS | CI = 18168 | NOME_FISICO = 1478715163-91547700.pdf | NOME_ORIGINAL = GareICMS.pdf | TAMANHO = 16 | DESCRICAO = GareICMS.pdf
09/11/2016 16:44 - VALDINEI | CI = 18169 | NOME_FISICO = 1478717023-99360300.pdf | NOME_ORIGINAL = Conta de Energia - Novembro -2016.pdf | TAMANHO = 622 | DESCRICAO = Conta de Energia - Novembro -2016.pdf
10/11/2016 07:28 - KLEBER | CI = 18170 | NOME_FISICO = 1478770083-23700100.pdf | NOME_ORIGINAL = Refeição.pdf | TAMANHO = 59 | DESCRICAO = Refeição.pdf
10/11/2016 08:42 - MARIANACAMPOS | CI = 18171 | NOME_FISICO = 1478774540-06512600.pdf | NOME_ORIGINAL = DESPESA DE VIAGEM MARIANA.pdf | TAMANHO = 300 | DESCRICAO = DESPESA DE VIAGEM MARIANA.pdf
10/11/2016 09:26 - CRISTIANOALVES | CI = 18172 | NOME_FISICO = 1478777085-03387700.pdf | NOME_ORIGINAL = Apuração Agro.pdf | TAMANHO = 1134 | DESCRICAO = Apuração Agro
10/11/2016 10:04 - KLEBER | CI = 18173 | NOME_FISICO = 1478779412-19012600.pdf | NOME_ORIGINAL = 10-2016 - Usina Santa Fé - Funcionários - Boleto.pdf | TAMANHO = 91 | DESCRICAO = 10-2016 - Usina Santa Fé - Funcionários - Boleto.pdf
10/11/2016 10:04 - KLEBER | CI = 18173 | NOME_FISICO = 1478779418-14325100.pdf | NOME_ORIGINAL = 10-2016 - Usina Santa Fé - Diretores - Boleto.pdf | TAMANHO = 91 | DESCRICAO = 10-2016 - Usina Santa Fé - Diretores - Boleto.pdf
10/11/2016 10:44 - RODRIGO_POIT | CI = 18174 | NOME_FISICO = 1478781850-73700100.msg | NOME_ORIGINAL = TERMO DE AUDIÊNCIA PROC. 1065715 - MAURICIO VIEIRA.msg | TAMANHO = 80 | DESCRICAO = TERMO DE AUDIÊNCIA PROC. 1065715 - MAURICIO VIEIRA.msg
10/11/2016 10:44 - RODRIGO_POIT | CI = 18174 | NOME_FISICO = 1478781850-76114700.msg | NOME_ORIGINAL = Dados Bancarios.msg | TAMANHO = 36 | DESCRICAO = Dados Bancarios.msg
10/11/2016 10:48 - CARACIOLO | CI = 18175 | NOME_FISICO = 1478781916-70575100.msg | NOME_ORIGINAL = RES Campanha de Captação - ACTC   .msg | TAMANHO = 9928 | DESCRICAO = RES Campanha de Captação - ACTC   .msg
10/11/2016 10:48 - CARACIOLO | CI = 18175 | NOME_FISICO = 1478781928-69012600.pdf | NOME_ORIGINAL = Campanha_2016_Modelo_Definitivo_CAPA.pdf | TAMANHO = 9759 | DESCRICAO = Campanha_2016_Modelo_Definitivo_CAPA.pdf
10/11/2016 14:06 - MICHELAAUGUSTO | CI = 18177 | NOME_FISICO = 1478793994-51825200.pdf | NOME_ORIGINAL = Despesas com Refeição 03.11.2016.pdf | TAMANHO = 26 | DESCRICAO = Despesas com Refeição 03.11.2016.pdf
10/11/2016 16:16 - FRANCISCO | CI = 18184 | NOME_FISICO = 1478801718-04950100.pdf | NOME_ORIGINAL = N. FISCAL SEST. 177-16.pdf | TAMANHO = 473 | DESCRICAO = N. FISCAL SEST. 177-16.pdf
11/11/2016 08:04 - RODRIGO_POIT | CI = 18185 | NOME_FISICO = 1478858489-29950200.pdf | NOME_ORIGINAL = Despesas Faiz.pdf | TAMANHO = 1746 | DESCRICAO = Despesas Faiz.pdf
11/11/2016 11:38 - FRANCISCO | CI = 18186 | NOME_FISICO = 1478871453-84637600.pdf | NOME_ORIGINAL = CUPOM -AIRT.10-11.pdf | TAMANHO = 205 | DESCRICAO = CUPOM -AIRT.10-11.pdf
11/11/2016 11:42 - FRANCISCO | CI = 18187 | NOME_FISICO = 1478871717-69012700.pdf | NOME_ORIGINAL = CUPOM - AIRT.10-11-01.pdf | TAMANHO = 204 | DESCRICAO = CUPOM - AIRT.10-11-01.pdf
11/11/2016 13:28 - RODRIGO_POIT | CI = 18192 | NOME_FISICO = 1478878078-04950200.pdf | NOME_ORIGINAL = pretação de contas.pdf | TAMANHO = 270 | DESCRICAO = pretação de contas.pdf
14/11/2016 15:21 - FERNANDOPIRES | CI = 18203 | NOME_FISICO = 1479144086-74887700.pdf | NOME_ORIGINAL = Boleto Vales transporte - 12-12-2016.pdf | TAMANHO = 34 | DESCRICAO = Boleto Vales transporte - 12-12-2016.pdf
15/11/2016 22:25 - MATHEUSUZELOTTO | CI = 18205 | NOME_FISICO = 1479255901-42075100.pdf | NOME_ORIGINAL = 05-11-20016.pdf | TAMANHO = 168 | DESCRICAO = 05-11-20016.pdf
15/11/2016 22:26 - MATHEUSUZELOTTO | CI = 18206 | NOME_FISICO = 1479256005-04575100.jpg | NOME_ORIGINAL = Almoço14-11-2016.jpg | TAMANHO = 87 | DESCRICAO = Almoço14-11-2016.jpg
16/11/2016 10:11 - FRANCISCO | CI = 18211 | NOME_FISICO = 1479298298-79900100.xlsx | NOME_ORIGINAL = LIC. REB.-ANO 2016-FINAL-00.xlsx | TAMANHO = 12 | DESCRICAO = LIC. REB.-ANO 2016-FINAL-00.xlsx
16/11/2016 11:18 - REGI | CI = 18214 | NOME_FISICO = 1479302311-23650100.msg | NOME_ORIGINAL = Uso indevido de Celular_1.msg | TAMANHO = 165 | DESCRICAO = Uso indevido de Celular_1.msg
16/11/2016 11:18 - REGI | CI = 18214 | NOME_FISICO = 1479302323-01775100.msg | NOME_ORIGINAL = Uso indevido de Celular_2.msg | TAMANHO = 195 | DESCRICAO = Uso indevido de Celular_2.msg
16/11/2016 15:39 - MICHELAAUGUSTO | CI = 18218 | NOME_FISICO = 1479317900-18962600.pdf | NOME_ORIGINAL = Cálculo INSS Faturamento - REVISADO.pdf | TAMANHO = 398 | DESCRICAO = Cálculo INSS Faturamento - REVISADO.pdf
16/11/2016 15:59 - MICHELAAUGUSTO | CI = 18218 | NOME_FISICO = 1479319172-68962600.pdf | NOME_ORIGINAL = FATF0031 - 10.2016 (Devoluções).pdf | TAMANHO = 26 | DESCRICAO = FATF0031 - 10.2016 (Devoluções).pdf
16/11/2016 15:59 - MICHELAAUGUSTO | CI = 18218 | NOME_FISICO = 1479319182-78337600.pdf | NOME_ORIGINAL = FATF0031 - 10.2016 (Saídas).pdf | TAMANHO = 28 | DESCRICAO = FATF0031 - 10.2016 (Saídas).pdf
16/11/2016 16:25 - FERNANDOPIRES | CI = 18219 | NOME_FISICO = 1479320698-08025200.PDF | NOME_ORIGINAL = Boleto Limpadora Veloz - 30-11-2016.PDF | TAMANHO = 30 | DESCRICAO = Boleto Limpadora Veloz - 30-11-2016.PDF
16/11/2016 16:25 - FERNANDOPIRES | CI = 18219 | NOME_FISICO = 1479320698-10491600.pdf | NOME_ORIGINAL = NF Limpadora Veloz - nov 2016.pdf | TAMANHO = 100 | DESCRICAO = NF Limpadora Veloz - nov 2016.pdf
17/11/2016 07:38 - MARVYNALVES | CI = 18222 | NOME_FISICO = 1479375354-87712700.pdf | NOME_ORIGINAL = RELATORIO 17-11-2016.pdf | TAMANHO = 18 | DESCRICAO = RELATÓRIO 17/11/16
