02/01/2018 09:20 - RODRIGO_POIT | CI = 23180 | NOME_FISICO = 1514891967-66200100.pdf | NOME_ORIGINAL = Despesas.pdf | TAMANHO = 1344 | DESCRICAO = Despesas.pdf
16/01/2018 11:46 - VALDINEI | CI = 23394 | NOME_FISICO = 1516110401-61662600.pdf | NOME_ORIGINAL = BOLETO SANTA FE JANEIRO 2018.pdf | TAMANHO = 581 | DESCRICAO = BOLETO SANTA FE JANEIRO 2018.pdf
16/01/2018 15:52 - MARCIO | CI = 23396 | NOME_FISICO = 1516125103-44475100.xlsx | NOME_ORIGINAL = Férias 22-01-2018.xlsx | TAMANHO = 8.6 | DESCRICAO = Férias 22-01-2018.xlsx
17/01/2018 07:58 - MARCIO | CI = 23396 | NOME_FISICO = 1516183064-27287600.xlsx | NOME_ORIGINAL = Férias 22-01-2018.xlsx | TAMANHO = 9.69 | DESCRICAO = Férias 22-01-2018.xlsx
17/01/2018 12:05 - VALDINEI | CI = 23406 | NOME_FISICO = 1516197861-86662600.pdf | NOME_ORIGINAL = Boletos - IPTU 2018 - Garagem Guarujá.pdf | TAMANHO = 6288 | DESCRICAO = Boletos - IPTU 2018 - Garagem Guarujá.pdf
17/01/2018 15:30 - FABRICIOTOMASETTO | CI = 23407 | NOME_FISICO = 1516210224-44475200.pdf | NOME_ORIGINAL = Boleto CRBio 2018 Fabrício.pdf | TAMANHO = 88 | DESCRICAO = Boleto da Anuidade CRBio-01
17/01/2018 17:05 - FABRICIOTOMASETTO | CI = 23408 | NOME_FISICO = 1516215915-44475100.pdf | NOME_ORIGINAL = Boleto CREA 2018 Suzana.pdf | TAMANHO = 128 | DESCRICAO = Boleto CREA 2018 Suzana
18/01/2018 14:46 - VALDINEI | CI = 23416 | NOME_FISICO = 1516293956-05412600.pdf | NOME_ORIGINAL = Boletos - IPTU 2018 - Apartamento Guarujá.pdf | TAMANHO = 6435 | DESCRICAO = Boletos - IPTU 2018 - Apartamento Guarujá.pdf
18/01/2018 16:17 - RODRIGO_POIT | CI = 23421 | NOME_FISICO = 1516299394-86662600.msg | NOME_ORIGINAL = RES PENSÃO - PROC. 0010458-34.2013.5.15.0081 - ANDERSON JUNIOR SALHA.msg | TAMANHO = 56 | DESCRICAO = RES PENSÃO - PROC. 0010458-34.2013.5.15.0081 - ANDERSON JUNIOR SALHA.msg
18/01/2018 16:17 - RODRIGO_POIT | CI = 23421 | NOME_FISICO = 1516299394-89722200.msg | NOME_ORIGINAL = PUBLICAÇÃO PROC. 1045813 - ANDERSON JUNIOR SALHA PEREIRA.msg | TAMANHO = 65 | DESCRICAO = PUBLICAÇÃO PROC. 1045813 - ANDERSON JUNIOR SALHA PEREIRA.msg
18/01/2018 16:46 - SONARAPIASSI | CI = 23422 | NOME_FISICO = 1516301135-75725100.pdf | NOME_ORIGINAL = Cupom Fiscal.pdf | TAMANHO = 278 | DESCRICAO = Cupom Fiscal.pdf
19/01/2018 09:24 - RAQUEL | CI = 23427 | NOME_FISICO = 1516361093-24162600.PDF | NOME_ORIGINAL = 9 05 674.PDF | TAMANHO = 158 | DESCRICAO = 9 05 674.PDF
19/01/2018 10:36 - FERNANDOPIRES | CI = 23429 | NOME_FISICO = 1516365347-03850200.pdf | NOME_ORIGINAL = FF - despesas diversas - 19-01-18.pdf | TAMANHO = 250 | DESCRICAO = FF - despesas diversas - 19-01-18.pdf
19/01/2018 13:59 - MATHEUSRODRIGUES | CI = 23443 | NOME_FISICO = 1516377448-22600100.pdf | NOME_ORIGINAL = sedex saci.pdf | TAMANHO = 401 | DESCRICAO = sedex saci.pdf
22/01/2018 09:46 - RODRIGO_POIT | CI = 23451 | NOME_FISICO = 1516621590-55412700.pdf | NOME_ORIGINAL = Comprovantes matricula.pdf | TAMANHO = 1211 | DESCRICAO = Comprovantes matricula.pdf
23/01/2018 07:36 - RODRIGO_POIT | CI = 23454 | NOME_FISICO = 1516700148-41350100.docx | NOME_ORIGINAL = Santa Fé dezembro 2017.docx | TAMANHO = 14 | DESCRICAO = Santa Fé dezembro 2017.docx
23/01/2018 08:03 - ELISSANDRA | CI = 23458 | NOME_FISICO = 1516701645-38225100.pdf | NOME_ORIGINAL = Untitled_20180123_064616.pdf | TAMANHO = 1772 | DESCRICAO = Untitled_20180123_064616.pdf
23/01/2018 08:09 - ELISSANDRA | CI = 23459 | NOME_FISICO = 1516702105-03850100.pdf | NOME_ORIGINAL = Untitled_20180123_065831.pdf | TAMANHO = 252 | DESCRICAO = Untitled_20180123_065831.pdf
23/01/2018 08:29 - VALDINEI | CI = 23460 | NOME_FISICO = 1516703304-38225100.pdf | NOME_ORIGINAL = CONTA DE ÁGUA - Janeiro - 2018.pdf | TAMANHO = 471 | DESCRICAO = CONTA DE ÁGUA - Janeiro - 2018.pdf
23/01/2018 08:31 - ELISSANDRA | CI = 23461 | NOME_FISICO = 1516703484-67912600.pdf | NOME_ORIGINAL = Untitled_20180123_072103.pdf | TAMANHO = 261 | DESCRICAO = Untitled_20180123_072103.pdf
23/01/2018 08:34 - ELISSANDRA | CI = 23462 | NOME_FISICO = 1516703675-85100100.pdf | NOME_ORIGINAL = Untitled_20180123_072136.pdf | TAMANHO = 354 | DESCRICAO = Untitled_20180123_072136.pdf
23/01/2018 10:18 - FERNANDOPIRES | CI = 23467 | NOME_FISICO = 1516709834-25725200.pdf | NOME_ORIGINAL = FMU - 07-02-2018.pdf | TAMANHO = 459 | DESCRICAO = FMU - 07-02-2018.pdf
23/01/2018 11:08 - KLEBER | CI = 23469 | NOME_FISICO = 1516712916-92912600.pdf | NOME_ORIGINAL = boleto-000000165048751-1516708693470.pdf | TAMANHO = 106 | DESCRICAO = boleto-000000165048751-1516708693470.pdf
23/01/2018 15:02 - KLEBER | CI = 23471 | NOME_FISICO = 1516726924-92912600.pdf | NOME_ORIGINAL = Conta de Agua - SENAI.pdf | TAMANHO = 527 | DESCRICAO = Conta de Agua - SENAI.pdf
23/01/2018 15:51 - KLEBER | CI = 23474 | NOME_FISICO = 1516729902-52287600.xlsx | NOME_ORIGINAL = JANEIRO.xlsx | TAMANHO = 394 | DESCRICAO = JANEIRO.xlsx
24/01/2018 07:17 - MARCIO | CI = 23476 | NOME_FISICO = 1516785412-78850100.xlsx | NOME_ORIGINAL = Férias 29-01-2018.xlsx | TAMANHO = 8.57 | DESCRICAO = Férias 29-01-2018.xlsx
24/01/2018 07:33 - KLEBER | CI = 23477 | NOME_FISICO = 1516786265-97600000.pdf | NOME_ORIGINAL = Conta de Agua - Ambulatorio.pdf | TAMANHO = 825 | DESCRICAO = Conta de Agua - Ambulatorio.pdf
24/01/2018 07:34 - RODRIGO_POIT | CI = 23478 | NOME_FISICO = 1516786447-21037600.msg | NOME_ORIGINAL = GUIAS PROCESSO CÉLIA BOAVENTURA.msg | TAMANHO = 243 | DESCRICAO = GUIAS PROCESSO CÉLIA BOAVENTURA.msg
24/01/2018 10:21 - LUCIANOHENRIQUE | CI = 23484 | NOME_FISICO = 1516796481-50725100.pdf | NOME_ORIGINAL = Untitled_01242018_091744.pdf | TAMANHO = 959 | DESCRICAO = BOLETO
24/01/2018 11:13 - MARCIO | CI = 23476 | NOME_FISICO = 1516799580-05412600.xlsx | NOME_ORIGINAL = Férias 29-01-2018.xlsx | TAMANHO = 8.65 | DESCRICAO = Férias 29-01-2018.xlsx
26/01/2018 16:05 - FABRICIOTOMASETTO | CI = 23516 | NOME_FISICO = 1516989892-25725100.pdf | NOME_ORIGINAL = Comprovante Pagamento ART Faz. Santa Fé Linhão.pdf | TAMANHO = 1294 | DESCRICAO = Comprovante de pagamento da ART Faz Santa Fé Linhão
29/01/2018 09:00 - NATACHAPASTRE | CI = 23522 | NOME_FISICO = 1517223578-16350100.pdf | NOME_ORIGINAL = Untitled_20180129_074837.pdf | TAMANHO = 566 | DESCRICAO = Untitled_20180129_074837.pdf
29/01/2018 10:52 - RODRIGO_POIT | CI = 23527 | NOME_FISICO = 1517227244-99162700.msg | NOME_ORIGINAL = TERMO DE AUDIÊNCIA PROC. 1047216 - WAGNER COUTINHO DE SOUZA.msg | TAMANHO = 81 | DESCRICAO = TERMO DE AUDIÊNCIA PROC. 1047216 - WAGNER COUTINHO DE SOUZA.msg
29/01/2018 11:10 - RODRIGO_POIT | CI = 23527 | NOME_FISICO = 1517231433-89789700.pdf | NOME_ORIGINAL = Hon. Periciais.pdf | TAMANHO = 8.45 | DESCRICAO = Hon. Periciais.pdf
29/01/2018 13:12 - RODRIGO_POIT | CI = 23529 | NOME_FISICO = 1517238441-97600100.msg | NOME_ORIGINAL = TERMO DE AUDIÊNCIA PROC. 1119817 - LUCILENE APARECIDA DA SILVA.msg | TAMANHO = 77 | DESCRICAO = TERMO DE AUDIÊNCIA PROC. 1119817 - LUCILENE APARECIDA DA SILVA.msg
29/01/2018 13:21 - RODRIGO_POIT | CI = 23530 | NOME_FISICO = 1517239122-08537600.msg | NOME_ORIGINAL = TERMO DE AUDIÊNDCIA PROC. 1119417 - JOSÉ SOARES DOS SANTOS.msg | TAMANHO = 79 | DESCRICAO = TERMO DE AUDIÊNDCIA PROC. 1119417 - JOSÉ SOARES DOS SANTOS.msg
29/01/2018 14:27 - FERNANDOPIRES | CI = 23533 | NOME_FISICO = 1517243197-72600200.pdf | NOME_ORIGINAL = Aluguel e encargos escritório de SP - 05-02-18.pdf | TAMANHO = 259 | DESCRICAO = Aluguel e encargos escritório de SP - 05-02-18.pdf
30/01/2018 10:21 - VELOSA | CI = 23545 | NOME_FISICO = 1517314889-49162600.pdf | NOME_ORIGINAL = Usina_1.pdf | TAMANHO = 415 | DESCRICAO = Usina_1.pdf
30/01/2018 10:21 - VELOSA | CI = 23545 | NOME_FISICO = 1517314889-52189900.pdf | NOME_ORIGINAL = Usina_2.pdf | TAMANHO = 703 | DESCRICAO = Usina_2.pdf
30/01/2018 10:21 - VELOSA | CI = 23545 | NOME_FISICO = 1517314889-54740700.pdf | NOME_ORIGINAL = Usina_3.pdf | TAMANHO = 411 | DESCRICAO = Usina_3.pdf
30/01/2018 10:24 - VELOSA | CI = 23547 | NOME_FISICO = 1517315047-80412600.pdf | NOME_ORIGINAL = Ambulatório.pdf | TAMANHO = 387 | DESCRICAO = Ambulatório.pdf
30/01/2018 10:29 - MARTA | CI = 23548 | NOME_FISICO = 1517315329-35100100.pdf | NOME_ORIGINAL = Despesa 29 01 2018.pdf | TAMANHO = 418 | DESCRICAO = Despesa com viagem
30/01/2018 10:31 - VELOSA | CI = 23549 | NOME_FISICO = 1517315473-92912600.pdf | NOME_ORIGINAL = Agro.pdf | TAMANHO = 697 | DESCRICAO = Agro.pdf
30/01/2018 10:31 - VELOSA | CI = 23549 | NOME_FISICO = 1517315473-95467300.pdf | NOME_ORIGINAL = Agro_1.pdf | TAMANHO = 713 | DESCRICAO = Agro_1.pdf
