01/09/2016 09:18 - FRANCISCO | CI = 17262 | NOME_FISICO = 1472732310-16275100.pdf | NOME_ORIGINAL = CUPOM-AIRT.30-08.pdf | TAMANHO = 442 | DESCRICAO = CUPOM-AIRT.30-08.pdf
05/09/2016 08:38 - RODRIGO_POIT | CI = 17300 | NOME_FISICO = 1473075472-39012600.msg | NOME_ORIGINAL = Re COMRPOVANTE PGT - GUIA OFICIAL DE JUSTIÇA PROCESSO CAJURU.msg | TAMANHO = 139 | DESCRICAO = Re COMRPOVANTE PGT - GUIA OFICIAL DE JUSTIÇA PROCESSO CAJURU.msg
05/09/2016 08:57 - RODRIGO_POIT | CI = 17301 | NOME_FISICO = 1473076668-29637500.msg | NOME_ORIGINAL = TERMO DE AUDIÊNCIA PROC. 1081813 - JUAREZ FERREIRA.msg | TAMANHO = 71 | DESCRICAO = TERMO DE AUDIÊNCIA PROC. 1081813 - JUAREZ FERREIRA.msg
05/09/2016 09:31 - RODRIGO_POIT | CI = 17304 | NOME_FISICO = 1473078709-03075100.msg | NOME_ORIGINAL = JONATAS CORREA CAMPOS - PROC. 1088716 - TERMO DE AUDIÊNCIA.msg | TAMANHO = 78 | DESCRICAO = JONATAS CORREA CAMPOS - PROC. 1088716 - TERMO DE AUDIÊNCIA.msg
05/09/2016 11:11 - LUISMORETTI | CI = 17310 | NOME_FISICO = 1473084695-42137700.pdf | NOME_ORIGINAL = Piracicaba.pdf | TAMANHO = 326 | DESCRICAO = Piracicaba.pdf
05/09/2016 11:14 - MATHEUSUZELOTTO | CI = 17311 | NOME_FISICO = 1473084860-93700200.pdf | NOME_ORIGINAL = UNICAMP-ALMOÇO.pdf | TAMANHO = 263 | DESCRICAO = UNICAMP-ALMOÇO.pdf
05/09/2016 11:14 - MATHEUSUZELOTTO | CI = 17311 | NOME_FISICO = 1473084860-96163200.pdf | NOME_ORIGINAL = UNICAMP-COMBUSTIVEL.pdf | TAMANHO = 245 | DESCRICAO = UNICAMP-COMBUSTIVEL.pdf
05/09/2016 11:57 - TIAGOCHIMINI | CI = 17313 | NOME_FISICO = 1473087429-98387600.275 | NOME_ORIGINAL = 9.05.275 | TAMANHO = 168 | DESCRICAO = 9.05.275
05/09/2016 13:13 - ELISSANDRA | CI = 17314 | NOME_FISICO = 1473091926-01512700.pdf | NOME_ORIGINAL = doc12156720160905153336.pdf | TAMANHO = 758 | DESCRICAO = doc12156720160905153336.pdf
05/09/2016 13:13 - ELISSANDRA | CI = 17314 | NOME_FISICO = 1473091973-49950100.pdf | NOME_ORIGINAL = contrato Christiano.pdf | TAMANHO = 370 | DESCRICAO = contrato Christiano.pdf
05/09/2016 13:17 - ELISSANDRA | CI = 17315 | NOME_FISICO = 1473092216-17137600.pdf | NOME_ORIGINAL = doc12156820160905153356.pdf | TAMANHO = 207 | DESCRICAO = doc12156820160905153356.pdf
05/09/2016 13:17 - ELISSANDRA | CI = 17315 | NOME_FISICO = 1473092252-53075100.pdf | NOME_ORIGINAL = contrato Christiano.pdf | TAMANHO = 370 | DESCRICAO = contrato Christiano.pdf
05/09/2016 16:15 - SUZANA | CI = 17320 | NOME_FISICO = 1473102818-07762600.pdf | NOME_ORIGINAL = boleto.pdf | TAMANHO = 326 | DESCRICAO = boleto.pdf
05/09/2016 16:15 - SUZANA | CI = 17320 | NOME_FISICO = 1473102880-40575100.pdf | NOME_ORIGINAL = Boleto ART.pdf | TAMANHO = 239 | DESCRICAO = Boleto ART.pdf
05/09/2016 16:15 - SUZANA | CI = 17320 | NOME_FISICO = 1473102892-06200200.pdf | NOME_ORIGINAL = boleto_05-09-2016-02-39.pdf | TAMANHO = 326 | DESCRICAO = boleto_05-09-2016-02-39.pdf
05/09/2016 16:15 - SUZANA | CI = 17320 | NOME_FISICO = 1473102898-71825100.pdf | NOME_ORIGINAL = Boleto ART.pdf | TAMANHO = 240 | DESCRICAO = Boleto ART.pdf
06/09/2016 08:56 - LUISMORETTI | CI = 17323 | NOME_FISICO = 1473162991-18700100.pdf | NOME_ORIGINAL = Lencóis Paulista.pdf | TAMANHO = 211 | DESCRICAO = Lencóis Paulista.pdf
06/09/2016 10:09 - ROSEMEIRESGOTI | CI = 17327 | NOME_FISICO = 1473167323-84325200.pdf | NOME_ORIGINAL = ONIBUS.pdf | TAMANHO = 349 | DESCRICAO = ONIBUS.pdf
06/09/2016 10:09 - ROSEMEIRESGOTI | CI = 17327 | NOME_FISICO = 1473167366-92137700.pdf | NOME_ORIGINAL = TAXI.pdf | TAMANHO = 352 | DESCRICAO = TAXI.pdf
06/09/2016 10:09 - ROSEMEIRESGOTI | CI = 17327 | NOME_FISICO = 1473167373-56200100.pdf | NOME_ORIGINAL = ALIMENTAÇÃO.pdf | TAMANHO = 422 | DESCRICAO = ALIMENTAÇÃO.pdf
06/09/2016 10:09 - ROSEMEIRESGOTI | CI = 17327 | NOME_FISICO = 1473167381-09325100.pdf | NOME_ORIGINAL = Itinerário_ Century Paulista, Sao Paulo.pdf | TAMANHO = 86 | DESCRICAO = Itinerário_ Century Paulista, Sao Paulo.pdf
06/09/2016 10:19 - FRANCISCO | CI = 17328 | NOME_FISICO = 1473167946-17137700.pdf | NOME_ORIGINAL = DETRAN - TAXAS DE SERV .2016.pdf | TAMANHO = 316 | DESCRICAO = DETRAN - TAXAS DE SERV .2016.pdf
06/09/2016 11:00 - FRANCISCO | CI = 17331 | NOME_FISICO = 1473170394-07762600.pdf | NOME_ORIGINAL = cupom-ronaldo01-09-01.pdf | TAMANHO = 432 | DESCRICAO = cupom-ronaldo01-09-01.pdf
06/09/2016 11:00 - FRANCISCO | CI = 17331 | NOME_FISICO = 1473170419-56638400.pdf | NOME_ORIGINAL = cupom-ronaldo01-09-02.pdf | TAMANHO = 265 | DESCRICAO = cupom-ronaldo01-09-02.pdf
06/09/2016 11:38 - FERNANDOPIRES | CI = 17333 | NOME_FISICO = 1473172585-56200100.pdf | NOME_ORIGINAL = FF - despesas diversas - 06-09-16.pdf | TAMANHO = 327 | DESCRICAO = FF - despesas diversas - 06-09-16.pdf
06/09/2016 13:40 - FRANCISCO | CI = 17335 | NOME_FISICO = 1473180028-24950200.pdf | NOME_ORIGINAL = AUTO INF.1JB18395-4.pdf | TAMANHO = 535 | DESCRICAO = AUTO INF.1JB18395-4.pdf
06/09/2016 13:54 - RODRIGO_POIT | CI = 17337 | NOME_FISICO = 1473180712-92137600.pdf | NOME_ORIGINAL = despesas faiz massad.pdf | TAMANHO = 2960 | DESCRICAO = despesas faiz massad.pdf
08/09/2016 08:17 - GRAZIELA | CI = 17343 | NOME_FISICO = 1473333427-84325100.pdf | NOME_ORIGINAL = GuiasMarioCapobianco.pdf | TAMANHO = 250 | DESCRICAO = Guias recolhidas
08/09/2016 08:52 - RODRIGO_POIT | CI = 17345 | NOME_FISICO = 1473335504-59325100.msg | NOME_ORIGINAL = Re Nota fiscal maio 2016.msg | TAMANHO = 419 | DESCRICAO = Re Nota fiscal maio 2016.msg
08/09/2016 09:03 - RODRIGO_POIT | CI = 17348 | NOME_FISICO = 1473335877-53075200.pdf | NOME_ORIGINAL = ACORDO.pdf | TAMANHO = 638 | DESCRICAO = ACORDO.pdf
08/09/2016 09:03 - RODRIGO_POIT | CI = 17348 | NOME_FISICO = 1473335877-54954400.msg | NOME_ORIGINAL = PUBLICAÇÃO PROC. 1106314 - EDMILSON APARECIDO DOS SANTOS.msg | TAMANHO = 57 | DESCRICAO = PUBLICAÇÃO PROC. 1106314 - EDMILSON APARECIDO DOS SANTOS.msg
08/09/2016 09:03 - RODRIGO_POIT | CI = 17348 | NOME_FISICO = 1473335877-56213800.msg | NOME_ORIGINAL = SENTENÇA.msg | TAMANHO = 141 | DESCRICAO = SENTENÇA.msg
08/09/2016 15:22 - LUCIMARA | CI = 17353 | NOME_FISICO = 1473358853-46825100.pdf | NOME_ORIGINAL = doc12190620160908173408.pdf | TAMANHO = 393 | DESCRICAO = doc12190620160908173408.pdf
08/09/2016 15:23 - LUCIMARA | CI = 17353 | NOME_FISICO = 1473358998-67137600.pdf | NOME_ORIGINAL = contrato Christiano.pdf | TAMANHO = 370 | DESCRICAO = contrato Christiano.pdf
08/09/2016 15:30 - LUCIMARA | CI = 17354 | NOME_FISICO = 1473359419-74950200.pdf | NOME_ORIGINAL = reemb.1.pdf | TAMANHO = 189 | DESCRICAO = reemb.1.pdf
08/09/2016 15:30 - LUCIMARA | CI = 17354 | NOME_FISICO = 1473359419-76561800.pdf | NOME_ORIGINAL = comprov.1.pdf | TAMANHO = 454 | DESCRICAO = comprov.1.pdf
08/09/2016 16:12 - RODRIGO_POIT | CI = 17355 | NOME_FISICO = 1473361842-20262500.pdf | NOME_ORIGINAL = Ata ROBSON ALVES DA SILVA.pdf | TAMANHO = 90 | DESCRICAO = Ata ROBSON ALVES DA SILVA.pdf
08/09/2016 16:25 - KLEBER | CI = 17357 | NOME_FISICO = 1473362698-40575000.pdf | NOME_ORIGINAL = boleto.pdf | TAMANHO = 443 | DESCRICAO = boleto.pdf
08/09/2016 16:26 - RODRIGO_POIT | CI = 17358 | NOME_FISICO = 1473362776-57762600.msg | NOME_ORIGINAL = TERMO DE AUDIÊNCIA PROC. 1047216 - WAGNER COUTINHO DE SOUZA.msg | TAMANHO = 84 | DESCRICAO = TERMO DE AUDIÊNCIA PROC. 1047216 - WAGNER COUTINHO DE SOUZA.msg
08/09/2016 16:31 - KLEBER | CI = 17359 | NOME_FISICO = 1473362983-01512500.pdf | NOME_ORIGINAL = 08-2016 - Usina Santa Fé - Diretores - Boleto.pdf | TAMANHO = 91 | DESCRICAO = 08-2016 - Usina Santa Fé - Diretores - Boleto.pdf
08/09/2016 16:31 - KLEBER | CI = 17359 | NOME_FISICO = 1473362988-92137600.pdf | NOME_ORIGINAL = 08-2016 - Usina Santa Fé - Funcionários - Boleto.pdf | TAMANHO = 91 | DESCRICAO = 08-2016 - Usina Santa Fé - Funcionários - Boleto.pdf
09/09/2016 07:53 - RODRIGO_POIT | CI = 17363 | NOME_FISICO = 1473418435-20437600.msg | NOME_ORIGINAL = TERMO DE AUDIÊNCIA PROC. 1046816 - ADRIANO APARECIDO CARDOSO.msg | TAMANHO = 84 | DESCRICAO = TERMO DE AUDIÊNCIA PROC. 1046816 - ADRIANO APARECIDO CARDOSO.msg
09/09/2016 07:54 - VALDINEI | CI = 17364 | NOME_FISICO = 1473418448-62625200.pdf | NOME_ORIGINAL = Conta de Água - Setembro - 2016.pdf | TAMANHO = 521 | DESCRICAO = Conta de Água - Setembro - 2016.pdf
09/09/2016 08:17 - RODRIGO_POIT | CI = 17367 | NOME_FISICO = 1473419576-87625100.msg | NOME_ORIGINAL = RONALDO DA CRUZ MARTINS -PROC. 1045016 - TERMO DE AUDIÊNCIA.msg | TAMANHO = 77 | DESCRICAO = RONALDO DA CRUZ MARTINS -PROC. 1045016 - TERMO DE AUDIÊNCIA.msg
09/09/2016 08:17 - RODRIGO_POIT | CI = 17367 | NOME_FISICO = 1473419876-39770900.msg | NOME_ORIGINAL = Numero da Conta Ivan Aparecido  Costa e Ronaldo da Cruz Martins.msg | TAMANHO = 3230 | DESCRICAO = Numero da Conta Ivan Aparecido  Costa e Ronaldo da Cruz Martins.msg
09/09/2016 08:33 - RODRIGO_POIT | CI = 17370 | NOME_FISICO = 1473420822-39187600.msg | NOME_ORIGINAL = IVAN APARECIDO COSTA -PROC. 1044916 - TERMO DE AUDIÊNCIA.msg | TAMANHO = 75 | DESCRICAO = IVAN APARECIDO COSTA -PROC. 1044916 - TERMO DE AUDIÊNCIA.msg
09/09/2016 08:33 - RODRIGO_POIT | CI = 17370 | NOME_FISICO = 1473420822-40816800.msg | NOME_ORIGINAL = Numero da Conta Ivan Aparecido  Costa e Ronaldo da Cruz Martins.msg | TAMANHO = 3230 | DESCRICAO = Numero da Conta Ivan Aparecido  Costa e Ronaldo da Cruz Martins.msg
09/09/2016 08:37 - REGI | CI = 17371 | NOME_FISICO = 1473420965-42312600.msg | NOME_ORIGINAL = Pagamentos CCT Fornecedores - Ago_16.msg | TAMANHO = 76 | DESCRICAO = Pagamentos CCT Fornecedores - Ago_16.msg
09/09/2016 08:51 - RODRIGO_POIT | CI = 17372 | NOME_FISICO = 1473421871-22000000.msg | NOME_ORIGINAL = CLAUDINEI CORREIA DOS REIS -PROC. 1097516 - TERMO DE AUDIÊNCIA.msg | TAMANHO = 77 | DESCRICAO = CLAUDINEI CORREIA DOS REIS -PROC. 1097516 - TERMO DE AUDIÊNCIA.msg
09/09/2016 09:37 - FERNANDOPIRES | CI = 17374 | NOME_FISICO = 1473424622-28250100.pdf | NOME_ORIGINAL = Boleto Ticket - 04-10-2016.pdf | TAMANHO = 62 | DESCRICAO = Boleto Ticket - 04-10-2016.pdf
09/09/2016 09:37 - FERNANDOPIRES | CI = 17374 | NOME_FISICO = 1473424622-30912300.pdf | NOME_ORIGINAL = Nota Fiscal Ticket.pdf | TAMANHO = 9.62 | DESCRICAO = Nota Fiscal Ticket.pdf
09/09/2016 11:13 - RONALDOGOMES | CI = 17378 | NOME_FISICO = 1473430408-31375100.pdf | NOME_ORIGINAL = transacao_dropbox_stafe.pdf | TAMANHO = 84 | DESCRICAO = transacao_dropbox_stafe.pdf
09/09/2016 11:19 - FRANCISCO | CI = 17379 | NOME_FISICO = 1473430715-03250100.pdf | NOME_ORIGINAL = CUPOM-AIRT.06-09.pdf | TAMANHO = 201 | DESCRICAO = CUPOM-AIRT.06-09.pdf
09/09/2016 12:20 - FRANCISCO | CI = 17380 | NOME_FISICO = 1473434411-59500200.pdf | NOME_ORIGINAL = DETRAN - TAXAS DE SERV .2016.pdf | TAMANHO = 316 | DESCRICAO = DETRAN - TAXAS DE SERV .2016.pdf
12/09/2016 09:32 - RODRIGO_POIT | CI = 17390 | NOME_FISICO = 1473682776-72390800.msg | NOME_ORIGINAL = PUBLICAÇÃO PROC. 236812 - ROBSON ALVES DA SILVA.msg | TAMANHO = 53 | DESCRICAO = PUBLICAÇÃO PROC. 236812 - ROBSON ALVES DA SILVA.msg
12/09/2016 09:32 - RODRIGO_POIT | CI = 17390 | NOME_FISICO = 1473682776-75033500.pdf | NOME_ORIGINAL = ATA.pdf | TAMANHO = 90 | DESCRICAO = ATA.pdf
12/09/2016 10:24 - RODRIGO_POIT | CI = 17392 | NOME_FISICO = 1473686644-97390700.msg | NOME_ORIGINAL = PUBLICAÇÃO PROC. 1114114 - MARCIO BUENO DE OLIVEIRA.msg | TAMANHO = 59 | DESCRICAO = PUBLICAÇÃO PROC. 1114114 - MARCIO BUENO DE OLIVEIRA.msg
13/09/2016 09:44 - ALINEFERREIRA | CI = 17404 | NOME_FISICO = 1473770665-08328300.pdf | NOME_ORIGINAL = Sinistro - NF 197866.pdf | TAMANHO = 8.53 | DESCRICAO = Sinistro - NF 197866
13/09/2016 10:00 - ALINEFERREIRA | CI = 17406 | NOME_FISICO = 1473771642-34890800.pdf | NOME_ORIGINAL = Perdas Físicas_8 - Transporte 1500.pdf | TAMANHO = 8.52 | DESCRICAO = Perdas Físicas_8 - Transporte 1500
13/09/2016 10:02 - ALINEFERREIRA | CI = 17407 | NOME_FISICO = 1473771742-03640800.pdf | NOME_ORIGINAL = Perdas Físicas_8 - Transvale.pdf | TAMANHO = 8.53 | DESCRICAO = Perdas Físicas_8 - Transvale
13/09/2016 10:29 - TIAGOCHIMINI | CI = 17408 | NOME_FISICO = 1473773323-78640800.190 | NOME_ORIGINAL = PROJETO 9.05.190 | TAMANHO = 164 | DESCRICAO = PROJETO 9.05.190
13/09/2016 10:46 - MATHEUSUZELOTTO | CI = 17409 | NOME_FISICO = 1473774415-72390800.pdf | NOME_ORIGINAL = 09-09-2016.pdf | TAMANHO = 360 | DESCRICAO = 09-09-2016.pdf
13/09/2016 14:03 - ELISSANDRA | CI = 17414 | NOME_FISICO = 1473786010-27175800.pdf | NOME_ORIGINAL = contrato Christiano.pdf | TAMANHO = 370 | DESCRICAO = contrato Christiano.pdf
13/09/2016 14:03 - SUZANA | CI = 17415 | NOME_FISICO = 1473786158-74050900.pdf | NOME_ORIGINAL = boleto.pdf | TAMANHO = 326 | DESCRICAO = boleto.pdf
13/09/2016 14:03 - SUZANA | CI = 17415 | NOME_FISICO = 1473786158-76768300.pdf | NOME_ORIGINAL = Boleto ART.pdf | TAMANHO = 240 | DESCRICAO = Boleto ART.pdf
13/09/2016 14:04 - DANILO | CI = 17400 | NOME_FISICO = 1473786231-22488300.pdf | NOME_ORIGINAL = Recibo - Matrícula Bradesco.pdf | TAMANHO = 289 | DESCRICAO = Recibo Pgto. Matrícula Prédio Bradesco N.E.
13/09/2016 14:23 - ALINEFERREIRA | CI = 17416 | NOME_FISICO = 1473787378-61550900.pdf | NOME_ORIGINAL = Sinistro - Frete 29436.pdf | TAMANHO = 8.51 | DESCRICAO = Sinistro - Frete 29436
13/09/2016 14:23 - SANTANA | CI = 17417 | NOME_FISICO = 1473787199-19363300.pdf | NOME_ORIGINAL = Guia ISS.pdf | TAMANHO = 565 | DESCRICAO = Guia ISS.pdf
13/09/2016 14:23 - SANTANA | CI = 17417 | NOME_FISICO = 1473787199-23934400.pdf | NOME_ORIGINAL = Doc. Suporte.pdf | TAMANHO = 1515 | DESCRICAO = Doc. Suporte.pdf
13/09/2016 15:35 - SANTANA | CI = 17420 | NOME_FISICO = 1473791702-42800900.pdf | NOME_ORIGINAL = DARF - 1708.pdf | TAMANHO = 234 | DESCRICAO = DARF - 1708.pdf
13/09/2016 15:35 - SANTANA | CI = 17420 | NOME_FISICO = 1473791702-45223400.pdf | NOME_ORIGINAL = DARF - 3280.pdf | TAMANHO = 234 | DESCRICAO = DARF - 3280.pdf
13/09/2016 15:35 - SANTANA | CI = 17420 | NOME_FISICO = 1473791702-46500000.pdf | NOME_ORIGINAL = DARF - 5944.pdf | TAMANHO = 234 | DESCRICAO = DARF - 5944.pdf
13/09/2016 15:35 - SANTANA | CI = 17420 | NOME_FISICO = 1473791702-47811700.pdf | NOME_ORIGINAL = DOC. SUPORTE.pdf | TAMANHO = 959 | DESCRICAO = DOC. SUPORTE.pdf
13/09/2016 15:43 - ELISSANDRA | CI = 17423 | NOME_FISICO = 1473792155-34988300.pdf | NOME_ORIGINAL = doc12234720160913180840.pdf | TAMANHO = 188 | DESCRICAO = doc12234720160913180840.pdf
13/09/2016 15:46 - SANTANA | CI = 17424 | NOME_FISICO = 1473792407-55300900.pdf | NOME_ORIGINAL = Relatório CPAF0017 INSS.pdf | TAMANHO = 497 | DESCRICAO = Relatório CPAF0017 INSS.pdf
13/09/2016 15:46 - SANTANA | CI = 17424 | NOME_FISICO = 1473792407-58822200.pdf | NOME_ORIGINAL = Relatório FISF0064 INSS.pdf | TAMANHO = 663 | DESCRICAO = Relatório FISF0064 INSS.pdf
13/09/2016 16:39 - FRANCISCO | CI = 17427 | NOME_FISICO = 1473795547-75613400.pdf | NOME_ORIGINAL = AIRTON-N-68270.pdf | TAMANHO = 253 | DESCRICAO = AIRTON-N-68270.pdf
14/09/2016 07:05 - ROBSONMANFRIM | CI = 17429 | NOME_FISICO = 1473847505-70925800.pdf | NOME_ORIGINAL = Despesas 12_09.pdf | TAMANHO = 346 | DESCRICAO = Despesas 12_09.pdf
14/09/2016 07:36 - ROSEMEIRESGOTI | CI = 17430 | NOME_FISICO = 1473849403-86550800.pdf | NOME_ORIGINAL = Despesas 08_09.pdf | TAMANHO = 255 | DESCRICAO = Despesas 08_09.pdf
14/09/2016 07:44 - ROSEMEIRESGOTI | CI = 17431 | NOME_FISICO = 1473849811-00613300.pdf | NOME_ORIGINAL = Onibus Willian.pdf | TAMANHO = 292 | DESCRICAO = Onibus Willian.pdf
14/09/2016 07:44 - ROSEMEIRESGOTI | CI = 17431 | NOME_FISICO = 1473849824-77175900.pdf | NOME_ORIGINAL = Alimentação Willian.pdf | TAMANHO = 750 | DESCRICAO = Alimentação Willian.pdf
14/09/2016 07:44 - ROSEMEIRESGOTI | CI = 17431 | NOME_FISICO = 1473849835-72488400.pdf | NOME_ORIGINAL = Hotel Willian.pdf | TAMANHO = 231 | DESCRICAO = Hotel Willian.pdf
14/09/2016 07:48 - ERIC | CI = 17432 | NOME_FISICO = 1473850086-08425900.pdf | NOME_ORIGINAL = Usina Santa Fé S.A..pdf | TAMANHO = 40 | DESCRICAO = GUIA COGEN - 09-2016
14/09/2016 07:51 - ROSEMEIRESGOTI | CI = 17434 | NOME_FISICO = 1473850179-44363300.pdf | NOME_ORIGINAL = Taxi Rose.pdf | TAMANHO = 290 | DESCRICAO = Taxi Rose.pdf
14/09/2016 07:51 - ROSEMEIRESGOTI | CI = 17434 | NOME_FISICO = 1473850187-86550800.pdf | NOME_ORIGINAL = Hotel Rose.pdf | TAMANHO = 15 | DESCRICAO = Hotel Rose.pdf
14/09/2016 07:51 - ROSEMEIRESGOTI | CI = 17434 | NOME_FISICO = 1473850195-63113300.pdf | NOME_ORIGINAL = Onibus Rose.pdf | TAMANHO = 280 | DESCRICAO = Onibus Rose.pdf
14/09/2016 07:51 - ROSEMEIRESGOTI | CI = 17434 | NOME_FISICO = 1473850203-36550800.pdf | NOME_ORIGINAL = Alimentação Rose.pdf | TAMANHO = 450 | DESCRICAO = Alimentação Rose.pdf
14/09/2016 07:54 - MICHELAAUGUSTO | CI = 17435 | NOME_FISICO = 1473850423-03738400.pdf | NOME_ORIGINAL = RelatorioPassagemPedagio.pdf | TAMANHO = 6.61 | DESCRICAO = RelatorioPassagemPedagio.pdf
14/09/2016 11:52 - FRANCISCO | CI = 17440 | NOME_FISICO = 1473864689-63113400.pdf | NOME_ORIGINAL = DETRAN - TAXAS DE SERV .2016.pdf | TAMANHO = 316 | DESCRICAO = DETRAN - TAXAS DE SERV .2016.pdf
14/09/2016 12:48 - FERNANDOPIRES | CI = 17441 | NOME_FISICO = 1473868123-49050800.pdf | NOME_ORIGINAL = FF - despesas diversas - 14-09-16.pdf | TAMANHO = 196 | DESCRICAO = FF - despesas diversas - 14-09-16.pdf
14/09/2016 12:50 - FERNANDOPIRES | CI = 17442 | NOME_FISICO = 1473868217-22488300.pdf | NOME_ORIGINAL = Boleto VB Serviços - 10-10-2016.pdf | TAMANHO = 34 | DESCRICAO = Boleto VB Serviços - 10-10-2016.pdf
14/09/2016 12:51 - FERNANDOPIRES | CI = 17443 | NOME_FISICO = 1473868295-69363300.pdf | NOME_ORIGINAL = 10 Boleto FMU - 07-10-16.pdf | TAMANHO = 16 | DESCRICAO = 10 Boleto FMU - 07-10-16.pdf
14/09/2016 14:18 - MARTA | CI = 17446 | NOME_FISICO = 1473873498-38113300.pdf | NOME_ORIGINAL = Despesa 14092016.pdf | TAMANHO = 744 | DESCRICAO = Despesas de Viagem
14/09/2016 16:15 - FRANCISCO | CI = 17449 | NOME_FISICO = 1473880508-36550900.pdf | NOME_ORIGINAL = AUTOS -COMB. - 247.pdf | TAMANHO = 3133 | DESCRICAO = AUTOS -COMB. - 247.pdf
14/09/2016 16:23 - FRANCISCO | CI = 17450 | NOME_FISICO = 1473880960-03738300.pdf | NOME_ORIGINAL = AUTOS INF. COMB.- 247.pdf | TAMANHO = 2852 | DESCRICAO = AUTOS INF. COMB.- 247.pdf
15/09/2016 10:49 - VELOSA | CI = 17455 | NOME_FISICO = 1473947340-59988300.pdf | NOME_ORIGINAL = CI 17143.pdf | TAMANHO = 13 | DESCRICAO = CI 17143.pdf
15/09/2016 10:49 - VELOSA | CI = 17455 | NOME_FISICO = 1473947340-61967600.pdf | NOME_ORIGINAL = GareICMS_multa e juros.pdf | TAMANHO = 17 | DESCRICAO = GareICMS_multa e juros.pdf
15/09/2016 10:49 - VELOSA | CI = 17455 | NOME_FISICO = 1473947340-62718700.pdf | NOME_ORIGINAL = Comprovante de Parcelamento.pdf | TAMANHO = 129 | DESCRICAO = Comprovante de Parcelamento.pdf
15/09/2016 10:49 - VELOSA | CI = 17455 | NOME_FISICO = 1473947340-63513200.pdf | NOME_ORIGINAL = Apuração GIA.pdf | TAMANHO = 22 | DESCRICAO = Apuração GIA.pdf
15/09/2016 10:49 - VELOSA | CI = 17455 | NOME_FISICO = 1473947340-64224300.PDF | NOME_ORIGINAL = Apuração SGI.PDF | TAMANHO = 7.68 | DESCRICAO = Apuração SGI.PDF
15/09/2016 12:03 - FRANCISCO | CI = 17456 | NOME_FISICO = 1473951745-66238200.pdf | NOME_ORIGINAL = CUPOM- AIRT.-14-09.pdf | TAMANHO = 364 | DESCRICAO = CUPOM- AIRT.-14-09.pdf
15/09/2016 13:15 - SANTANA | CI = 17457 | NOME_FISICO = 1473956105-74050900.pdf | NOME_ORIGINAL = DARF - 5952.pdf | TAMANHO = 441 | DESCRICAO = DARF - 5952.pdf
15/09/2016 13:15 - SANTANA | CI = 17457 | NOME_FISICO = 1473956105-76559300.pdf | NOME_ORIGINAL = Doc. Suporte - CPAF0017.pdf | TAMANHO = 1906 | DESCRICAO = Doc. Suporte - CPAF0017.pdf
15/09/2016 13:15 - SANTANA | CI = 17457 | NOME_FISICO = 1473956105-78277100.pdf | NOME_ORIGINAL = Doc. Suporte - FISF0064.pdf | TAMANHO = 2641 | DESCRICAO = Doc. Suporte - FISF0064.pdf
