02/01/2017 08:47 - FRANCISCO | CI = 18800 | NOME_FISICO = 1483354019-53625100.pdf | NOME_ORIGINAL = CUPOM-RON.-29-12.pdf | TAMANHO = 407 | DESCRICAO = CUPOM-RON.-29-12.pdf
05/01/2017 14:41 - VELOSA | CI = 18873 | NOME_FISICO = 1483634483-89275200.pdf | NOME_ORIGINAL = DARF - Usina IRRF - 1708.pdf | TAMANHO = 16 | DESCRICAO = DARF - Usina IRRF - 1708.pdf
06/01/2017 07:21 - LUISMORETTI | CI = 18875 | NOME_FISICO = 1483694434-70525200.pdf | NOME_ORIGINAL = Quadriciclos.pdf | TAMANHO = 521 | DESCRICAO = Quadriciclos.pdf
06/01/2017 09:55 - VELOSA | CI = 18873 | NOME_FISICO = 1483703743-53337600.pdf | NOME_ORIGINAL = IRRF Usina - completo.pdf | TAMANHO = 2237 | DESCRICAO = IRRF Usina - completo.pdf
06/01/2017 09:57 - VELOSA | CI = 18864 | NOME_FISICO = 1483703849-92400200.pdf | NOME_ORIGINAL = ISS São Paulo - completo.pdf | TAMANHO = 876 | DESCRICAO = ISS São Paulo - completo.pdf
06/01/2017 10:05 - VELOSA | CI = 18879 | NOME_FISICO = 1483704291-50212600.pdf | NOME_ORIGINAL = INSS Usina - completo.pdf | TAMANHO = 608 | DESCRICAO = INSS Usina - completo.pdf
06/01/2017 10:21 - VELOSA | CI = 18882 | NOME_FISICO = 1483705246-43962700.pdf | NOME_ORIGINAL = IRRF Agro - completo.pdf | TAMANHO = 818 | DESCRICAO = IRRF Agro - completo.pdf
06/01/2017 13:12 - FERNANDOPIRES | CI = 18887 | NOME_FISICO = 1483715546-06462600.pdf | NOME_ORIGINAL = Boleto VT - 06-02-2017.pdf | TAMANHO = 38 | DESCRICAO = Boleto VT - 06-02-2017.pdf
06/01/2017 13:15 - FERNANDOPIRES | CI = 18888 | NOME_FISICO = 1483715699-92400200.pdf | NOME_ORIGINAL = FF - despesas diversas - 06-01-2017.pdf | TAMANHO = 223 | DESCRICAO = FF - despesas diversas - 06-01-2017.pdf
06/01/2017 13:41 - KLEBER | CI = 18889 | NOME_FISICO = 1483717190-43962600.pdf | NOME_ORIGINAL = boleto CPFL.pdf | TAMANHO = 444 | DESCRICAO = boleto CPFL.pdf
09/01/2017 08:45 - MATHEUSRODRIGUES | CI = 18895 | NOME_FISICO = 1483958709-22087600.pdf | NOME_ORIGINAL = recibo cartório.pdf | TAMANHO = 312 | DESCRICAO = recibo cartório.pdf
09/01/2017 08:49 - REGI | CI = 18896 | NOME_FISICO = 1483958903-23650200.msg | NOME_ORIGINAL = Pagamentos CCT Fornecedores - Dez_16.msg | TAMANHO = 79 | DESCRICAO = Pagamentos CCT Fornecedores - Dez_16.msg
09/01/2017 09:19 - MARVYNALVES | CI = 18898 | NOME_FISICO = 1483960225-92400200.pdf | NOME_ORIGINAL = STATUS PROJ. 9.05.430.pdf | TAMANHO = 17 | DESCRICAO = Relatorio 9.05.430
09/01/2017 09:27 - REGI | CI = 18899 | NOME_FISICO = 1483961233-40837600.pdf | NOME_ORIGINAL = doc08772020170109105945.pdf | TAMANHO = 219 | DESCRICAO = doc08772020170109105945.pdf
09/01/2017 09:30 - REGI | CI = 18900 | NOME_FISICO = 1483961435-22087600.pdf | NOME_ORIGINAL = doc08772120170109110313.pdf | TAMANHO = 286 | DESCRICAO = doc08772120170109110313.pdf
09/01/2017 09:45 - FRANCISCO | CI = 18902 | NOME_FISICO = 1483962295-61150100.pdf | NOME_ORIGINAL = SESTARE-NF-181.pdf | TAMANHO = 444 | DESCRICAO = SESTARE-NF-181.pdf
09/01/2017 09:52 - REGI | CI = 18903 | NOME_FISICO = 1483962756-09587600.msg | NOME_ORIGINAL = Retenções (5%) - Fretista Safra 16_17.msg | TAMANHO = 62 | DESCRICAO = Retenções (5%) - Fretista Safra 16_17.msg
09/01/2017 10:16 - FRANCISCO | CI = 18904 | NOME_FISICO = 1483964194-00212600.pdf | NOME_ORIGINAL = DPVAT.pdf | TAMANHO = 281 | DESCRICAO = DPVAT.pdf
09/01/2017 13:37 - VELOSA | CI = 18905 | NOME_FISICO = 1483976205-95525100.pdf | NOME_ORIGINAL = ISS Usina - completo.pdf | TAMANHO = 1514 | DESCRICAO = ISS Usina - completo.pdf
09/01/2017 13:46 - MICHELAAUGUSTO | CI = 18906 | NOME_FISICO = 1483976740-61150200.pdf | NOME_ORIGINAL = FUNRURAL AGRO.pdf | TAMANHO = 62 | DESCRICAO = FUNRURAL AGRO.pdf
09/01/2017 13:54 - MICHELAAUGUSTO | CI = 18907 | NOME_FISICO = 1483977249-15837700.pdf | NOME_ORIGINAL = FUNRURAL 12.2016 - I.pdf | TAMANHO = 58 | DESCRICAO = FUNRURAL 12.2016 - I.pdf
09/01/2017 14:46 - MICHELAAUGUSTO | CI = 18909 | NOME_FISICO = 1483980321-01775100.msg | NOME_ORIGINAL = RES  Usina Santa Fe - Nova Europa S A  - Amendment Fee Invoice.msg | TAMANHO = 120 | DESCRICAO = RES  Usina Santa Fe - Nova Europa S A  - Amendment Fee Invoice.msg
09/01/2017 16:36 - FRANCISCO | CI = 18911 | NOME_FISICO = 1483986982-92400200.pdf | NOME_ORIGINAL = FIAT-UNO-09-01.pdf | TAMANHO = 363 | DESCRICAO = FIAT-UNO-09-01.pdf
10/01/2017 07:59 - KLEBER | CI = 18912 | NOME_FISICO = 1484042307-61150100.pdf | NOME_ORIGINAL = 12-2016 - Usina Santa Fé - Diretores - Boleto.pdf | TAMANHO = 91 | DESCRICAO = 12-2016 - Usina Santa Fé - Diretores - Boleto.pdf
10/01/2017 07:59 - KLEBER | CI = 18912 | NOME_FISICO = 1484042311-76775200.pdf | NOME_ORIGINAL = 12-2016 - Usina Santa Fé - Funcionários - Boleto.pdf | TAMANHO = 91 | DESCRICAO = 12-2016 - Usina Santa Fé - Funcionários - Boleto.pdf
10/01/2017 10:53 - ELISSANDRA | CI = 18922 | NOME_FISICO = 1484052406-14275100.pdf | NOME_ORIGINAL = doc13075520170110115626.pdf | TAMANHO = 140 | DESCRICAO = doc13075520170110115626.pdf
10/01/2017 10:53 - ELISSANDRA | CI = 18922 | NOME_FISICO = 1484052411-28337600.pdf | NOME_ORIGINAL = doc13075620170110115654.pdf | TAMANHO = 96 | DESCRICAO = doc13075620170110115654.pdf
10/01/2017 11:07 - ELISSANDRA | CI = 18925 | NOME_FISICO = 1484053628-51775100.pdf | NOME_ORIGINAL = doc13075920170110121555.pdf | TAMANHO = 656 | DESCRICAO = doc13075920170110121555.pdf
10/01/2017 11:15 - ELISSANDRA | CI = 18928 | NOME_FISICO = 1484053986-51775200.pdf | NOME_ORIGINAL = doc13076220170110123340.pdf | TAMANHO = 193 | DESCRICAO = doc13076220170110123340.pdf
10/01/2017 14:07 - REGI | CI = 18931 | NOME_FISICO = 1484064461-33025100.msg | NOME_ORIGINAL = Retenções ( 5% ) - Fretista Safra 16_17.msg | TAMANHO = 81 | DESCRICAO = Retenções ( 5% ) - Fretista Safra 16_17.msg
10/01/2017 14:31 - SANTANA | CI = 18932 | NOME_FISICO = 1484065850-53337600.pdf | NOME_ORIGINAL = CCIR 2015_2016 - FAZ. RANCHO AZUL.pdf | TAMANHO = 2418 | DESCRICAO = CCIR 2015_2016 - FAZ. RANCHO AZUL.pdf
10/01/2017 14:31 - SANTANA | CI = 18932 | NOME_FISICO = 1484065850-57861200.pdf | NOME_ORIGINAL = CCIR 2015-2016 - FAZ. SANTA FÉ.pdf | TAMANHO = 2418 | DESCRICAO = CCIR 2015-2016 - FAZ. SANTA FÉ.pdf
10/01/2017 14:31 - SANTANA | CI = 18932 | NOME_FISICO = 1484065850-60362700.pdf | NOME_ORIGINAL = CCIR 2015-2016 - FAZ. SANTA HELENA.pdf | TAMANHO = 2418 | DESCRICAO = CCIR 2015-2016 - FAZ. SANTA HELENA.pdf
10/01/2017 14:31 - SANTANA | CI = 18932 | NOME_FISICO = 1484065850-63014700.pdf | NOME_ORIGINAL = CCIR 2015-2016 - FAZ. SAO BENEDITO.pdf | TAMANHO = 2417 | DESCRICAO = CCIR 2015-2016 - FAZ. SAO BENEDITO.pdf
10/01/2017 14:31 - SANTANA | CI = 18932 | NOME_FISICO = 1484065850-64790200.pdf | NOME_ORIGINAL = CCIR 2015-2016 - FAZ. SAO FRCO (JACUTINGA).pdf | TAMANHO = 2418 | DESCRICAO = CCIR 2015-2016 - FAZ. SAO FRCO (JACUTINGA).pdf
10/01/2017 14:31 - SANTANA | CI = 18932 | NOME_FISICO = 1484065850-66685000.pdf | NOME_ORIGINAL = CCIR 2015-2016 - FAZ. SAO FRCO ITAQUERE.pdf | TAMANHO = 2424 | DESCRICAO = CCIR 2015-2016 - FAZ. SAO FRCO ITAQUERE.pdf
10/01/2017 14:31 - SANTANA | CI = 18932 | NOME_FISICO = 1484065850-70314200.pdf | NOME_ORIGINAL = CCIR 2015-2016 - SIT. SAO JOSE.pdf | TAMANHO = 2417 | DESCRICAO = CCIR 2015-2016 - SIT. SAO JOSE.pdf
10/01/2017 14:31 - SANTANA | CI = 18932 | NOME_FISICO = 1484065850-71991900.pdf | NOME_ORIGINAL = CCIR 2015-2016 - SIT. TREMEMBE.pdf | TAMANHO = 2418 | DESCRICAO = CCIR 2015-2016 - SIT. TREMEMBE.pdf
10/01/2017 14:33 - REGI | CI = 18933 | NOME_FISICO = 1484065993-93962900.pdf | NOME_ORIGINAL = doc08775720170110160535.pdf | TAMANHO = 242 | DESCRICAO = doc08775720170110160535.pdf
10/01/2017 14:50 - STEFANIAESTEVO | CI = 18934 | NOME_FISICO = 1484067047-97087600.pdf | NOME_ORIGINAL = CUPOM FISCAL 10.01.pdf | TAMANHO = 388 | DESCRICAO = CUPOM FISCAL
10/01/2017 15:21 - ELISSANDRA | CI = 18936 | NOME_FISICO = 1484068814-65837600.pdf | NOME_ORIGINAL = doc13080520170110163605.pdf | TAMANHO = 1743 | DESCRICAO = doc13080520170110163605.pdf
10/01/2017 15:32 - ELISSANDRA | CI = 18937 | NOME_FISICO = 1484069419-59587600.pdf | NOME_ORIGINAL = doc13080220170110163357.pdf | TAMANHO = 189 | DESCRICAO = doc13080220170110163357.pdf
11/01/2017 08:09 - ERIC | CI = 18945 | NOME_FISICO = 1484129369-14275100.pdf | NOME_ORIGINAL = 9.05.313 - REFORMA AREA DOS MOTORISTAS.pdf | TAMANHO = 242 | DESCRICAO = Status do projeto 
11/01/2017 09:12 - VELOSA | CI = 18949 | NOME_FISICO = 1484132810-73650100.pdf | NOME_ORIGINAL = Guia ISS Usina - Marin - completo.pdf | TAMANHO = 239 | DESCRICAO = Guia ISS Usina - Marin - completo.pdf
11/01/2017 09:17 - ERIC | CI = 18952 | NOME_FISICO = 1484133461-43962700.pdf | NOME_ORIGINAL = Boleto Stab.pdf | TAMANHO = 393 | DESCRICAO = Boleto STAB
11/01/2017 10:42 - MICHEL | CI = 18959 | NOME_FISICO = 1484138104-26775100.pdf | NOME_ORIGINAL = doc06054620170111115428.pdf | TAMANHO = 1332 | DESCRICAO = doc06054620170111115428.pdf
11/01/2017 12:54 - LETICIA | CI = 18969 | NOME_FISICO = 1484137186-48650100.pdf | NOME_ORIGINAL = CRC_RONALDO MONTREZOR.pdf | TAMANHO = 122 | DESCRICAO = CRC_RONALDO MONTREZOR
11/01/2017 12:54 - LETICIA | CI = 18969 | NOME_FISICO = 1484137186-51380900.pdf | NOME_ORIGINAL = CRC_LETICIA BERGOC.pdf | TAMANHO = 88 | DESCRICAO = CRC_LETICIA BERGOC
11/01/2017 13:43 - MARCOS | CI = 18970 | NOME_FISICO = 1484149347-70525100.pdf | NOME_ORIGINAL = Faz MM2.pdf | TAMANHO = 22 | DESCRICAO = Faz MM2.pdf
11/01/2017 13:43 - MARCOS | CI = 18970 | NOME_FISICO = 1484149382-12712600.pdf | NOME_ORIGINAL = GareICMS.pdf | TAMANHO = 98 | DESCRICAO = GareICMS.pdf
11/01/2017 14:03 - SUZANA | CI = 18971 | NOME_FISICO = 1484150506-70525100.pdf | NOME_ORIGINAL = Anuidade CREA 2017.pdf | TAMANHO = 693 | DESCRICAO = Anuidade CREA 2017.pdf
11/01/2017 14:03 - SUZANA | CI = 18971 | NOME_FISICO = 1484150516-89517000.pdf | NOME_ORIGINAL = Anuidade CREA 2017 v..pdf | TAMANHO = 393 | DESCRICAO = Anuidade CREA 2017 v..pdf
11/01/2017 14:10 - MARCOS | CI = 18972 | NOME_FISICO = 1484150988-31462600.pdf | NOME_ORIGINAL = Darf IPI Dezembro 2016.pdf | TAMANHO = 16 | DESCRICAO = Darf IPI Dezembro 2016.pdf
11/01/2017 14:10 - MARCOS | CI = 18972 | NOME_FISICO = 1484150999-18962600.pdf | NOME_ORIGINAL = Resumo de Apuração do IPI.pdf | TAMANHO = 342 | DESCRICAO = Resumo de Apuração do IPI.pdf
11/01/2017 14:10 - MARCOS | CI = 18972 | NOME_FISICO = 1484151020-12712600.pdf | NOME_ORIGINAL = Registro de Apuração do IPI.pdf | TAMANHO = 16 | DESCRICAO = Registro de Apuração do IPI.pdf
12/01/2017 11:46 - FRANCISCO | CI = 18979 | NOME_FISICO = 1484228709-39568000.pdf | NOME_ORIGINAL = CUPOM-AR.11-01.pdf | TAMANHO = 233 | DESCRICAO = CUPOM-AR.11-01.pdf
12/01/2017 14:01 - RODRIGO_POIT | CI = 18984 | NOME_FISICO = 1484236849-66130400.pdf | NOME_ORIGINAL = Boleto Anuidade OAB.pdf | TAMANHO = 798 | DESCRICAO = Boleto Anuidade OAB.pdf
12/01/2017 14:14 - RODRIGO_POIT | CI = 18985 | NOME_FISICO = 1484237573-19255500.pdf | NOME_ORIGINAL = Despesas Faiz Massad.pdf | TAMANHO = 1558 | DESCRICAO = Despesas Faiz Massad.pdf
12/01/2017 16:23 - SANTANA | CI = 18987 | NOME_FISICO = 1484245369-50505500.pdf | NOME_ORIGINAL = Aviso.pdf | TAMANHO = 372 | DESCRICAO = Aviso.pdf
12/01/2017 16:23 - SANTANA | CI = 18987 | NOME_FISICO = 1484245369-52552200.pdf | NOME_ORIGINAL = DARE - SP.pdf | TAMANHO = 445 | DESCRICAO = DARE - SP.pdf
13/01/2017 07:46 - RODRIGO_POIT | CI = 18988 | NOME_FISICO = 1484300710-16130500.msg | NOME_ORIGINAL = CASO BENITO PRIMIANO.msg | TAMANHO = 184 | DESCRICAO = CASO BENITO PRIMIANO.msg
13/01/2017 10:17 - FRANCISCO | CI = 18991 | NOME_FISICO = 1484309793-19255500.pdf | NOME_ORIGINAL = CUPOM-RON-10-01.pdf | TAMANHO = 380 | DESCRICAO = CUPOM-RON-10-01.pdf
13/01/2017 10:17 - FRANCISCO | CI = 18991 | NOME_FISICO = 1484309815-75758700.pdf | NOME_ORIGINAL = CUPOM-RON-11-01.pdf | TAMANHO = 376 | DESCRICAO = CUPOM-RON-11-01.pdf
13/01/2017 10:21 - FRANCISCO | CI = 18992 | NOME_FISICO = 1484310081-58318000.pdf | NOME_ORIGINAL = CUPOM-RON-11-01DH.pdf | TAMANHO = 220 | DESCRICAO = CUPOM-RON-11-01DH.pdf
13/01/2017 10:31 - ALINEFERREIRA | CI = 18993 | NOME_FISICO = 1484310695-11443100.pdf | NOME_ORIGINAL = Retorno Físico - 195 sacas - Baixa Depósito Externo.pdf | TAMANHO = 5.24 | DESCRICAO = Retorno Físico - 195 sacas - Baixa Depósito Externo.pdf
13/01/2017 12:00 - FRANCISCO | CI = 18995 | NOME_FISICO = 1484315984-50505500.pdf | NOME_ORIGINAL = COMUN. CADIN-PAG. INFRAÇÃO.pdf | TAMANHO = 301 | DESCRICAO = COMUN. CADIN-PAG. INFRAÇÃO.pdf
13/01/2017 13:30 - ALINEFERREIRA | CI = 18996 | NOME_FISICO = 1484321422-05193100.pdf | NOME_ORIGINAL = Pedido Santa Fe.pdf | TAMANHO = 6.01 | DESCRICAO = Pedido Santa Fe.pdf
13/01/2017 13:32 - FRANCISCO | CI = 18997 | NOME_FISICO = 1484321472-58318000.pdf | NOME_ORIGINAL = CUPOM-RON-11-01 CART.pdf | TAMANHO = 319 | DESCRICAO = CUPOM-RON-11-01 CART.pdf
13/01/2017 14:49 - RAQUEL | CI = 18998 | NOME_FISICO = 1484324798-61443000.PDF | NOME_ORIGINAL = Acompanhamento Projeto 9 05 449 - Veiculo 6016.PDF | TAMANHO = 78 | DESCRICAO = Acompanhamento Projeto 9 05 449 - Veiculo 6016.PDF
16/01/2017 12:55 - SANTANA | CI = 19009 | NOME_FISICO = 1484578445-36443000.pdf | NOME_ORIGINAL = CONTRIBUIÇÃO SINDICAL RURAL PATRONAL.pdf | TAMANHO = 109 | DESCRICAO = CONTRIBUIÇÃO SINDICAL RURAL PATRONAL.pdf
16/01/2017 13:17 - SANTANA | CI = 19010 | NOME_FISICO = 1484579810-16130500.pdf | NOME_ORIGINAL = CCIR - Sítio dos Ypes.pdf | TAMANHO = 2417 | DESCRICAO = CCIR - Sítio dos Ypes.pdf
16/01/2017 13:31 - SIDINEI | CI = 19011 | NOME_FISICO = 1484580634-83318000.pdf | NOME_ORIGINAL = doc06073020170116145443.pdf | TAMANHO = 948 | DESCRICAO = BOLETO
16/01/2017 14:36 - KLEBER | CI = 19015 | NOME_FISICO = 1484584546-84880500.pdf | NOME_ORIGINAL = Refeição.pdf | TAMANHO = 889 | DESCRICAO = Refeição.pdf
16/01/2017 15:45 - RODRIGO_POIT | CI = 19017 | NOME_FISICO = 1484588751-69255500.msg | NOME_ORIGINAL = PUBLICAÇÃO PROC. 1045813 - ANDERSON JUNIOR SALHA PEREIRA.msg | TAMANHO = 65 | DESCRICAO = PUBLICAÇÃO PROC. 1045813 - ANDERSON JUNIOR SALHA PEREIRA.msg
16/01/2017 15:45 - RODRIGO_POIT | CI = 19017 | NOME_FISICO = 1484588751-71684800.msg | NOME_ORIGINAL = RES PENSÃO - PROC. 0010458-34.2013.5.15.0081 - ANDERSON JUNIOR SALHA.msg | TAMANHO = 56 | DESCRICAO = RES PENSÃO - PROC. 0010458-34.2013.5.15.0081 - ANDERSON JUNIOR SALHA.msg
16/01/2017 15:46 - SANTANA | CI = 19018 | NOME_FISICO = 1484588698-55193000.rar | NOME_ORIGINAL = Parcelamento Cod. 1194 (Art. 1º - PGFN) IPI (safras 1992_1993, 1993_1994 e 1994_1995).rar | TAMANHO = 1250 | DESCRICAO = Parcelamento Cod. 1194 (Art. 1º - PGFN) IPI (safras 1992_1993, 1993_1994 e 1994_1995).rar
16/01/2017 15:46 - SANTANA | CI = 19018 | NOME_FISICO = 1484588698-57984800.rar | NOME_ORIGINAL = Parcelamento Cod. 1279 (Art. 1º - RFB) IPI (safras 1997_1998, 1998_1999 e 1999_2000).rar | TAMANHO = 1286 | DESCRICAO = Parcelamento Cod. 1279 (Art. 1º - RFB) IPI (safras 1997_1998, 1998_1999 e 1999_2000).rar
16/01/2017 15:46 - SANTANA | CI = 19018 | NOME_FISICO = 1484588698-59564700.rar | NOME_ORIGINAL = Parcelamento Cod. 1285 (Art. 3º - RFB) COFINS (10 e 111997), CSLL (2004) e IRPJ (2003).rar | TAMANHO = 1293 | DESCRICAO = Parcelamento Cod. 1285 (Art. 3º - RFB) COFINS (10 e 111997), CSLL (2004) e IRPJ (2003).rar
16/01/2017 15:53 - SANTANA | CI = 19019 | NOME_FISICO = 1484589214-86443100.rar | NOME_ORIGINAL = Parcelamento PPI - Roberto.rar | TAMANHO = 46 | DESCRICAO = Parcelamento PPI - Roberto.rar
16/01/2017 16:25 - LUISMORETTI | CI = 19020 | NOME_FISICO = 1484591108-25505500.pdf | NOME_ORIGINAL = Horta.pdf | TAMANHO = 221 | DESCRICAO = Horta.pdf
17/01/2017 09:31 - MARCOS | CI = 19023 | NOME_FISICO = 1484652402-09880500.pdf | NOME_ORIGINAL = 1º Parcela parcelamento.pdf | TAMANHO = 37 | DESCRICAO = 1º Parcela parcelamento.pdf
17/01/2017 09:31 - MARCOS | CI = 19023 | NOME_FISICO = 1484652430-58318100.pdf | NOME_ORIGINAL = Comprovante de Deferimento.pdf | TAMANHO = 72 | DESCRICAO = Comprovante de Deferimento.pdf
17/01/2017 09:31 - MARCOS | CI = 19023 | NOME_FISICO = 1484652461-08318000.pdf | NOME_ORIGINAL = Condições para o Parcelamento.pdf | TAMANHO = 59 | DESCRICAO = Condições para o Parcelamento.pdf
18/01/2017 07:27 - MICHELAAUGUSTO | CI = 19030 | NOME_FISICO = 1484731643-86443000.pdf | NOME_ORIGINAL = Guia de Recolhimento CND - USF.pdf | TAMANHO = 137 | DESCRICAO = Guia de Recolhimento CND - USF.pdf
18/01/2017 07:28 - MICHELAAUGUSTO | CI = 19031 | NOME_FISICO = 1484731731-23943000.pdf | NOME_ORIGINAL = Guia de Recolhimento CND - AGRO.pdf | TAMANHO = 133 | DESCRICAO = Guia de Recolhimento CND - AGRO.pdf
18/01/2017 09:32 - ROSEMEIRESGOTI | CI = 19040 | NOME_FISICO = 1484739161-34880500.pdf | NOME_ORIGINAL = GUIA AGRO SP.pdf | TAMANHO = 736 | DESCRICAO = GUIA AGRO SP.pdf
18/01/2017 13:49 - FRANCISCO | CI = 19046 | NOME_FISICO = 1484754583-14568100.pdf | NOME_ORIGINAL = LAUDO REBOQUE 1959.pdf | TAMANHO = 485 | DESCRICAO = LAUDO REBOQUE 1959.pdf
18/01/2017 14:00 - FRANCISCO | CI = 19047 | NOME_FISICO = 1484755196-55193100.pdf | NOME_ORIGINAL = CUPOM-AIRT. 17-01.pdf | TAMANHO = 336 | DESCRICAO = CUPOM-AIRT. 17-01.pdf
18/01/2017 14:00 - FRANCISCO | CI = 19047 | NOME_FISICO = 1484755224-61886400.pdf | NOME_ORIGINAL = CUPOM-AIRT 17-01 02.pdf | TAMANHO = 376 | DESCRICAO = CUPOM-AIRT 17-01 02.pdf
