01/05/2019 07:59 - MARAMIRANDA | CI = 27239 | NOME_FISICO = 1556708388-09200100.pdf | NOME_ORIGINAL = ocpr0005.pdf | TAMANHO = 77 | DESCRICAO = ocpr0005.pdf
22/05/2019 07:50 - DENISESANTOS | CI = 27383 | NOME_FISICO = 1558522140-78193800.pdf | NOME_ORIGINAL = CUMPOM FISCAL ALMOÇO DONIZETE - 21-05.pdf | TAMANHO = 262 | DESCRICAO = CUMPOM FISCAL ALMOÇO DONIZETE - 21-05.pdf
22/05/2019 08:10 - MARAMIRANDA | CI = 27385 | NOME_FISICO = 1558523445-13838400.pdf | NOME_ORIGINAL = ocpr0005.pdf | TAMANHO = 78 | DESCRICAO = ocpr0005.pdf
22/05/2019 08:33 - VINICIUSSANTOS | CI = 27386 | NOME_FISICO = 1558524773-94014100.pdf | NOME_ORIGINAL = ci ..pdf | TAMANHO = 151 | DESCRICAO = ci ..pdf
22/05/2019 08:33 - VINICIUSSANTOS | CI = 27386 | NOME_FISICO = 1558524773-95201700.pdf | NOME_ORIGINAL = ci....pdf | TAMANHO = 187 | DESCRICAO = ci....pdf
22/05/2019 08:33 - VINICIUSSANTOS | CI = 27386 | NOME_FISICO = 1558524773-96056500.pdf | NOME_ORIGINAL = ci...pdf | TAMANHO = 12 | DESCRICAO = ci...pdf
22/05/2019 08:33 - VINICIUSSANTOS | CI = 27386 | NOME_FISICO = 1558524773-97664100.pdf | NOME_ORIGINAL = ci.pdf | TAMANHO = 43 | DESCRICAO = ci.pdf
23/05/2019 07:54 - KLEBER | CI = 27398 | NOME_FISICO = 1558608878-76631400.pdf | NOME_ORIGINAL = Mariely..pdf | TAMANHO = 499 | DESCRICAO = Mariely..pdf
24/05/2019 08:21 - VINICIUSSANTOS | CI = 27410 | NOME_FISICO = 1558696832-81904800.pdf | NOME_ORIGINAL = Untitled_20190524_080301.pdf | TAMANHO = 53 | DESCRICAO = Untitled_20190524_080301.pdf
24/05/2019 16:40 - VINICIUSSANTOS | CI = 27419 | NOME_FISICO = 1558726750-57783800.pdf | NOME_ORIGINAL = Untitled_20190524_161627.pdf | TAMANHO = 79 | DESCRICAO = Untitled_20190524_161627.pdf
24/05/2019 16:40 - VINICIUSSANTOS | CI = 27419 | NOME_FISICO = 1558726750-63003200.pdf | NOME_ORIGINAL = Untitled_20190524_161749.pdf | TAMANHO = 120 | DESCRICAO = Untitled_20190524_161749.pdf
24/05/2019 16:46 - STEFANIAESTEVO | CI = 27420 | NOME_FISICO = 1558727175-71064900.pdf | NOME_ORIGINAL = RECIBO CARTORIO TADAO.pdf | TAMANHO = 343 | DESCRICAO = RECIBO CARTORIO
27/05/2019 07:40 - OSVALDOFLORES | CI = 27427 | NOME_FISICO = 1558953551-57393000.jpg | NOME_ORIGINAL = Trecho-Obelisco até Ribeirão Bonito.jpg | TAMANHO = 139 | DESCRICAO = Trecho
27/05/2019 07:40 - OSVALDOFLORES | CI = 27427 | NOME_FISICO = 1558953642-48018100.pdf | NOME_ORIGINAL = Pedágio.pdf | TAMANHO = 13 | DESCRICAO = Pedágio
27/05/2019 08:29 - ELISSANDRA | CI = 27434 | NOME_FISICO = 1558956555-63350200.pdf | NOME_ORIGINAL = Untitled_20190527_081009.pdf | TAMANHO = 423 | DESCRICAO = Untitled_20190527_081009.pdf
27/05/2019 08:35 - ELISSANDRA | CI = 27435 | NOME_FISICO = 1558956904-87666600.pdf | NOME_ORIGINAL = Untitled_20190527_081726.pdf | TAMANHO = 21 | DESCRICAO = Untitled_20190527_081726.pdf
27/05/2019 08:58 - DONIZETE | CI = 27438 | NOME_FISICO = 1558958261-51338300.pdf | NOME_ORIGINAL = ocpr0005_2.pdf | TAMANHO = 77 | DESCRICAO = OCPF0005
28/05/2019 07:55 - MATHEUSRODRIGUES | CI = 27448 | NOME_FISICO = 1559040922-44600100.pdf | NOME_ORIGINAL = CW_Innovatus.pdf | TAMANHO = 712 | DESCRICAO = CW_Innovatus.pdf
28/05/2019 14:16 - LUISMORETTI | CI = 27459 | NOME_FISICO = 1559063755-44893100.pdf | NOME_ORIGINAL = Pedágio Itápolis.pdf | TAMANHO = 287 | DESCRICAO = Pedágio Itápolis.pdf
28/05/2019 15:57 - FABIOTOMASETTO | CI = 27460 | NOME_FISICO = 1559069851-08955500.xlsx | NOME_ORIGINAL = Nova comissão.xlsx | TAMANHO = 9.06 | DESCRICAO = Nova comissão.xlsx
28/05/2019 16:08 - ELISSANDRA | CI = 27461 | NOME_FISICO = 1559070421-57588300.pdf | NOME_ORIGINAL = Untitled_20190528_154638.pdf | TAMANHO = 1093 | DESCRICAO = Untitled_20190528_154638.pdf
29/05/2019 07:11 - VINICIUSSANTOS | CI = 27465 | NOME_FISICO = 1559124650-98115800.pdf | NOME_ORIGINAL = Untitled_20190529_065300.pdf | TAMANHO = 276 | DESCRICAO = Untitled_20190529_065300.pdf
29/05/2019 09:12 - KLEBER | CI = 27470 | NOME_FISICO = 1559131958-39522000.pdf | NOME_ORIGINAL = Mariely.pdf | TAMANHO = 314 | DESCRICAO = Mariely.pdf
29/05/2019 16:48 - VINICIUSSANTOS | CI = 27476 | NOME_FISICO = 1559159289-66768000.pdf | NOME_ORIGINAL = Untitled_20190529_162539.pdf | TAMANHO = 256 | DESCRICAO = Untitled_20190529_162539.pdf
29/05/2019 16:48 - VINICIUSSANTOS | CI = 27476 | NOME_FISICO = 1559159289-70459600.pdf | NOME_ORIGINAL = Untitled_20190529_163026.pdf | TAMANHO = 42 | DESCRICAO = Untitled_20190529_163026.pdf
29/05/2019 16:50 - STEFANIAESTEVO | CI = 27477 | NOME_FISICO = 1559159408-64814900.pdf | NOME_ORIGINAL = CUPOM FISCAL REFEIÇÃO - ENTREGA DE CONTRATOS.pdf | TAMANHO = 346 | DESCRICAO = CUPOM FISCAL
30/05/2019 10:37 - GENAILDOTORRES | CI = 27482 | NOME_FISICO = 1559223471-69795400.pdf | NOME_ORIGINAL = UBER SP 24.05.2019.pdf | TAMANHO = 49 | DESCRICAO = UBER SP 24.05.2019.pdf
30/05/2019 10:37 - GENAILDOTORRES | CI = 27482 | NOME_FISICO = 1559223471-72265100.pdf | NOME_ORIGINAL = PLAN SP 24.05.2019.pdf | TAMANHO = 413 | DESCRICAO = PLAN SP 24.05.2019.pdf
30/05/2019 10:40 - GENAILDOTORRES | CI = 27483 | NOME_FISICO = 1559223633-08955600.pdf | NOME_ORIGINAL = PLAN MAIO 2019.pdf | TAMANHO = 410 | DESCRICAO = PLAN MAIO 2019.pdf
30/05/2019 10:40 - GENAILDOTORRES | CI = 27483 | NOME_FISICO = 1559223633-11683000.pdf | NOME_ORIGINAL = conect car 29.04 a 30.05.2019.pdf | TAMANHO = 85 | DESCRICAO = conect car 29.04 a 30.05.2019.pdf
30/05/2019 10:40 - GENAILDOTORRES | CI = 27483 | NOME_FISICO = 1559223633-13391400.pdf | NOME_ORIGINAL = COMB MAIO 2019.pdf | TAMANHO = 270 | DESCRICAO = COMB MAIO 2019.pdf
30/05/2019 10:45 - GENAILDOTORRES | CI = 27484 | NOME_FISICO = 1559223911-73408700.pdf | NOME_ORIGINAL = NY SD 1.pdf | TAMANHO = 270 | DESCRICAO = NY SD 1.pdf
30/05/2019 10:45 - GENAILDOTORRES | CI = 27484 | NOME_FISICO = 1559223911-76945100.pdf | NOME_ORIGINAL = NY SD 2.pdf | TAMANHO = 209 | DESCRICAO = NY SD 2.pdf
30/05/2019 10:45 - GENAILDOTORRES | CI = 27484 | NOME_FISICO = 1559223911-79882100.pdf | NOME_ORIGINAL = NY SD 3.pdf | TAMANHO = 267 | DESCRICAO = NY SD 3.pdf
30/05/2019 10:45 - GENAILDOTORRES | CI = 27484 | NOME_FISICO = 1559223911-81751000.png | NOME_ORIGINAL = GASTOS CARTÃO.png | TAMANHO = 105 | DESCRICAO = GASTOS CARTÃO.png
30/05/2019 10:45 - GENAILDOTORRES | CI = 27484 | NOME_FISICO = 1559223911-82758500.png | NOME_ORIGINAL = TX CARTÃO.png | TAMANHO = 103 | DESCRICAO = TX CARTÃO.png
30/05/2019 10:45 - GENAILDOTORRES | CI = 27484 | NOME_FISICO = 1559223911-83779000.pdf | NOME_ORIGINAL = PLAN NY SD.pdf | TAMANHO = 428 | DESCRICAO = PLAN NY SD.pdf
30/05/2019 15:43 - MAYRACATANI | CI = 27487 | NOME_FISICO = 1559241640-36104000.pdf | NOME_ORIGINAL = cupom fiscal 30_05.pdf | TAMANHO = 352 | DESCRICAO = cupom fiscal 30_05.pdf
30/05/2019 15:50 - MAYRACATANI | CI = 27488 | NOME_FISICO = 1559242173-29170400.pdf | NOME_ORIGINAL = ART_Laudo.pdf | TAMANHO = 1789 | DESCRICAO = ART_Laudo.pdf
31/05/2019 07:09 - KLEBER | CI = 27489 | NOME_FISICO = 1559297377-00947800.pdf | NOME_ORIGINAL = Refeição.pdf | TAMANHO = 368 | DESCRICAO = Refeição.pdf
31/05/2019 07:18 - MAYRACATANI | CI = 27490 | NOME_FISICO = 1559297885-74092200.pdf | NOME_ORIGINAL = cupom fiscal 30_05.pdf | TAMANHO = 352 | DESCRICAO = cupom fiscal 30_05.pdf
31/05/2019 10:46 - KLEBER | CI = 27494 | NOME_FISICO = 1559310354-15596200.pdf | NOME_ORIGINAL = Refeição.pdf | TAMANHO = 368 | DESCRICAO = Refeição.pdf
31/05/2019 12:51 - FERNANDOPIRES | CI = 27496 | NOME_FISICO = 1559317904-40010200.pdf | NOME_ORIGINAL = FF - despesas diversas - 31-05-19.pdf | TAMANHO = 1329 | DESCRICAO = FF - despesas diversas - 31-05-19.pdf
