01/02/2016 10:38 - SUZANA | CI = 14741 | NOME_FISICO = 1454330268-91312700.pdf | NOME_ORIGINAL = boleto Cetesb.pdf | TAMANHO = 326 | DESCRICAO = boleto Cetesb.pdf
04/02/2016 08:19 - TIAGOLIMA | CI = 14776 | NOME_FISICO = 1454580972-27250100.pdf | NOME_ORIGINAL = ISS A PAGAR.pdf | TAMANHO = 429 | DESCRICAO = ISS A PAGAR.pdf
04/02/2016 08:19 - TIAGOLIMA | CI = 14776 | NOME_FISICO = 1454580972-29393600.pdf | NOME_ORIGINAL = GUIA ISSQN - STª FÉ.pdf | TAMANHO = 19 | DESCRICAO = GUIA ISSQN - STª FÉ.pdf
04/02/2016 08:41 - FRANCISCO | CI = 14778 | NOME_FISICO = 1454582446-94437700.pdf | NOME_ORIGINAL = CUPOM - AIRTON-02-02.pdf | TAMANHO = 213 | DESCRICAO = CUPOM - AIRTON-02-02.pdf
04/02/2016 08:44 - FRANCISCO | CI = 14779 | NOME_FISICO = 1454582678-63187700.pdf | NOME_ORIGINAL = CUPOM - AIRTON - 02-02 DH..pdf | TAMANHO = 218 | DESCRICAO = CUPOM - AIRTON - 02-02 DH..pdf
04/02/2016 08:51 - TIAGOLIMA | CI = 14780 | NOME_FISICO = 1454583079-02250100.PDF | NOME_ORIGINAL = IRRF - AGRO.PDF | TAMANHO = 71 | DESCRICAO = IRRF - AGRO.PDF
04/02/2016 08:53 - TIAGOLIMA | CI = 14781 | NOME_FISICO = 1454583189-77250200.PDF | NOME_ORIGINAL = PIS_COFINS_CSLL - AGRO.PDF | TAMANHO = 72 | DESCRICAO = PIS_COFINS_CSLL - AGRO.PDF
04/02/2016 08:55 - FRANCISCO | CI = 14782 | NOME_FISICO = 1454583290-19437600.pdf | NOME_ORIGINAL = CUPOM-AIRTON-TATUI.pdf | TAMANHO = 220 | DESCRICAO = CUPOM-AIRTON-TATUI.pdf
04/02/2016 08:56 - TIAGOLIMA | CI = 14783 | NOME_FISICO = 1454583362-49125200.PDF | NOME_ORIGINAL = PIS_COFINS_CSLL - USINA.PDF | TAMANHO = 633 | DESCRICAO = PIS_COFINS_CSLL - USINA.PDF
04/02/2016 09:01 - TIAGOLIMA | CI = 14784 | NOME_FISICO = 1454583656-85062600.PDF | NOME_ORIGINAL = INSS A RECOLHER.PDF | TAMANHO = 75 | DESCRICAO = INSS A RECOLHER.PDF
04/02/2016 09:06 - TIAGOLIMA | CI = 14785 | NOME_FISICO = 1454583734-42875100.pdf | NOME_ORIGINAL = IRRF - USINA.pdf | TAMANHO = 1667 | DESCRICAO = IRRF - USINA.pdf
04/02/2016 09:20 - FRANCISCO | CI = 14787 | NOME_FISICO = 1454584767-88187700.pdf | NOME_ORIGINAL = CUPOM - AIRTON 03-02.pdf | TAMANHO = 525 | DESCRICAO = CUPOM - AIRTON 03-02.pdf
04/02/2016 09:37 - TIAGOLIMA | CI = 14783 | NOME_FISICO = 1454585834-96000100.pdf | NOME_ORIGINAL = RETENÇÃO CSL_COFINS_PIS - USINA.pdf | TAMANHO = 5189 | DESCRICAO = RETENÇÃO CSL_COFINS_PIS - USINA.pdf
04/02/2016 09:38 - TIAGOLIMA | CI = 14784 | NOME_FISICO = 1454585897-94437700.pdf | NOME_ORIGINAL = INSS A RECOLHER.pdf | TAMANHO = 467 | DESCRICAO = INSS A RECOLHER.pdf
04/02/2016 09:39 - TIAGOLIMA | CI = 14785 | NOME_FISICO = 1454585946-22562700.pdf | NOME_ORIGINAL = IRRF - USINA.pdf | TAMANHO = 2970 | DESCRICAO = IRRF - USINA.pdf
04/02/2016 09:48 - FRANCISCO | CI = 14791 | NOME_FISICO = 1454586484-63187600.pdf | NOME_ORIGINAL = CUPOM - AIRTON-03-02-DH.pdf | TAMANHO = 317 | DESCRICAO = CUPOM - AIRTON-03-02-DH.pdf
04/02/2016 15:13 - CRISTIANOALVES | CI = 14800 | NOME_FISICO = 1454605861-86625100.pdf | NOME_ORIGINAL = Boleto CRC Rosemeire.pdf | TAMANHO = 43 | DESCRICAO = Boleto CRC Rosemeire
04/02/2016 15:13 - CRISTIANOALVES | CI = 14800 | NOME_FISICO = 1454605879-16312500.pdf | NOME_ORIGINAL = Boleto CRC Zeza.pdf | TAMANHO = 44 | DESCRICAO = Boleto CRC Zeza
04/02/2016 15:13 - CRISTIANOALVES | CI = 14800 | NOME_FISICO = 1454605905-11625100.pdf | NOME_ORIGINAL = Boleto CRC Ralny.pdf | TAMANHO = 45 | DESCRICAO = Boleto CRC Ralny
04/02/2016 15:13 - CRISTIANOALVES | CI = 14800 | NOME_FISICO = 1454605917-21000200.pdf | NOME_ORIGINAL = Boleto CRC Cristiano.pdf | TAMANHO = 44 | DESCRICAO = Boleto CRC Cristiano
04/02/2016 15:13 - CRISTIANOALVES | CI = 14800 | NOME_FISICO = 1454605976-89752100.msg | NOME_ORIGINAL = ENC Anuidade CRC - equipe contábil  fiscal.msg | TAMANHO = 66 | DESCRICAO = ENC Anuidade CRC - equipe contábil  fiscal
05/02/2016 09:16 - TIAGOLIMA | CI = 14805 | NOME_FISICO = 1454670275-23250100.pdf | NOME_ORIGINAL = NF 10.pdf | TAMANHO = 730 | DESCRICAO = NF 10.pdf
05/02/2016 09:16 - TIAGOLIMA | CI = 14805 | NOME_FISICO = 1454670275-25296100.pdf | NOME_ORIGINAL = NF 2191.pdf | TAMANHO = 680 | DESCRICAO = NF 2191.pdf
05/02/2016 09:34 - TIAGOLIMA | CI = 14806 | NOME_FISICO = 1454672022-31062600.rar | NOME_ORIGINAL = Parcelamento  PPI ICMS.rar | TAMANHO = 787 | DESCRICAO = Parcelamento  PPI ICMS.rar
05/02/2016 09:40 - TIAGOLIMA | CI = 14807 | NOME_FISICO = 1454672327-68562700.rar | NOME_ORIGINAL = Parcelamento DARF 1194.rar | TAMANHO = 1200 | DESCRICAO = Parcelamento DARF 1194.rar
05/02/2016 09:40 - TIAGOLIMA | CI = 14807 | NOME_FISICO = 1454672327-70357600.rar | NOME_ORIGINAL = Parcelamento DARF 1279.rar | TAMANHO = 1134 | DESCRICAO = Parcelamento DARF 1279.rar
05/02/2016 09:40 - TIAGOLIMA | CI = 14807 | NOME_FISICO = 1454672327-71830300.rar | NOME_ORIGINAL = Parcelamento DARF 1285.rar | TAMANHO = 1179 | DESCRICAO = Parcelamento DARF 1285.rar
05/02/2016 13:12 - LUCIANOHENRIQUE | CI = 14808 | NOME_FISICO = 1454685097-21687600.pdf | NOME_ORIGINAL = doc06627020160205144739.pdf | TAMANHO = 193 | DESCRICAO = Ticket Estacionamento
09/02/2016 11:30 - HEITOR | CI = 14823 | NOME_FISICO = 1455024483-63875200.pdf | NOME_ORIGINAL = 11.pdf | TAMANHO = 35 | DESCRICAO = invoice
09/02/2016 11:30 - HEITOR | CI = 14823 | NOME_FISICO = 1455024519-17586700.pdf | NOME_ORIGINAL = SO060_draft.pdf | TAMANHO = 37 | DESCRICAO = pedido
09/02/2016 11:30 - HEITOR | CI = 14823 | NOME_FISICO = 1455024519-18948900.pdf | NOME_ORIGINAL = fatura.pdf | TAMANHO = 113 | DESCRICAO = fatura cartão
10/02/2016 08:16 - MICHELSANTOS | CI = 14826 | NOME_FISICO = 1455099051-01700200.pdf | NOME_ORIGINAL = Perdas Físicas.pdf | TAMANHO = 8.61 | DESCRICAO = Perdas Físicas.pdf
10/02/2016 10:26 - VALDINEI | CI = 14831 | NOME_FISICO = 1455107165-04825100.pdf | NOME_ORIGINAL = Conta de Energia - Fevereiro -2016.pdf | TAMANHO = 671 | DESCRICAO = Conta de Energia - Fevereiro -2016.pdf
10/02/2016 11:22 - RODRIGO_POIT | CI = 14834 | NOME_FISICO = 1455110100-65762600.pdf | NOME_ORIGINAL = 20160113 PLANILHA PADRÃO KM.pdf | TAMANHO = 141 | DESCRICAO = 20160113 PLANILHA PADRÃO KM.pdf
10/02/2016 11:22 - RODRIGO_POIT | CI = 14834 | NOME_FISICO = 1455110100-68264200.pdf | NOME_ORIGINAL = RECIBO DE HONORÁRIOS  Iuna 15122015.pdf | TAMANHO = 79 | DESCRICAO = RECIBO DE HONORÁRIOS  Iuna 15122015.pdf
10/02/2016 12:19 - KLEBER | CI = 14835 | NOME_FISICO = 1455113939-84512600.pdf | NOME_ORIGINAL = Conta Energia - SENAI.pdf | TAMANHO = 440 | DESCRICAO = Conta Energia - SENAI.pdf
10/02/2016 12:23 - KLEBER | CI = 14836 | NOME_FISICO = 1455114206-43887600.pdf | NOME_ORIGINAL = 01-2016 - Usina Santa Fé - Funcionários - Boleto.pdf | TAMANHO = 91 | DESCRICAO = 01-2016 - Usina Santa Fé - Funcionários - Boleto.pdf
10/02/2016 12:30 - KLEBER | CI = 14837 | NOME_FISICO = 1455114493-03262700.pdf | NOME_ORIGINAL = 12-2015 - Usina Santa Fé - Diretores - Boleto.pdf | TAMANHO = 91 | DESCRICAO = 12-2015 - Usina Santa Fé - Diretores - Boleto.pdf
10/02/2016 12:30 - KLEBER | CI = 14837 | NOME_FISICO = 1455114506-54825100.pdf | NOME_ORIGINAL = 01-2016 - Usina Santa Fé - Diretores - Boleto.pdf | TAMANHO = 91 | DESCRICAO = 01-2016 - Usina Santa Fé - Diretores - Boleto.pdf
10/02/2016 13:18 - ELISSANDRA | CI = 14839 | NOME_FISICO = 1455117443-61075200.pdf | NOME_ORIGINAL = contrato Christiano.pdf | TAMANHO = 370 | DESCRICAO = contrato Christiano.pdf
10/02/2016 14:07 - TIAGOLIMA | CI = 14840 | NOME_FISICO = 1455120359-36075200.pdf | NOME_ORIGINAL = GARE - ICMS.pdf | TAMANHO = 246 | DESCRICAO = GARE - ICMS.pdf
10/02/2016 14:07 - TIAGOLIMA | CI = 14840 | NOME_FISICO = 1455120359-38264100.pdf | NOME_ORIGINAL = RESUMO DA APURAÇÃO DO IMPOSTO (ICMS).pdf | TAMANHO = 328 | DESCRICAO = RESUMO DA APURAÇÃO DO IMPOSTO (ICMS).pdf
10/02/2016 14:28 - RODRIGO_POIT | CI = 14843 | NOME_FISICO = 1455121700-09512600.msg | NOME_ORIGINAL = 1 - ENC CÁLCULOS PROC. 71011 - AGNALDO JOSÉ DA SILVA.msg | TAMANHO = 880 | DESCRICAO = 1 - ENC CÁLCULOS PROC. 71011 - AGNALDO JOSÉ DA SILVA.msg
10/02/2016 14:28 - RODRIGO_POIT | CI = 14843 | NOME_FISICO = 1455121700-12201500.msg | NOME_ORIGINAL = 2 - Publicação.msg | TAMANHO = 64 | DESCRICAO = 2 - Publicação.msg
10/02/2016 14:28 - RODRIGO_POIT | CI = 14843 | NOME_FISICO = 1455121700-13927700.pdf | NOME_ORIGINAL = 3 - Notificação e Inicial.pdf | TAMANHO = 3664 | DESCRICAO = 3 - Notificação e Inicial.pdf
10/02/2016 14:28 - RODRIGO_POIT | CI = 14843 | NOME_FISICO = 1455121700-16307400.pdf | NOME_ORIGINAL = 4 - Audiência Inicial.pdf | TAMANHO = 86 | DESCRICAO = 4 - Audiência Inicial.pdf
10/02/2016 14:28 - RODRIGO_POIT | CI = 14843 | NOME_FISICO = 1455121700-17883400.pdf | NOME_ORIGINAL = 5 - Laudo Pericial.pdf | TAMANHO = 2962 | DESCRICAO = 5 - Laudo Pericial.pdf
10/02/2016 14:28 - RODRIGO_POIT | CI = 14843 | NOME_FISICO = 1455121700-19875600.pdf | NOME_ORIGINAL = 6 - Audiência de Instrução.pdf | TAMANHO = 70 | DESCRICAO = 6 - Audiência de Instrução.pdf
10/02/2016 14:28 - RODRIGO_POIT | CI = 14843 | NOME_FISICO = 1455121700-21933300.pdf | NOME_ORIGINAL = 7 - Sentença.pdf | TAMANHO = 451 | DESCRICAO = 7 - Sentença.pdf
10/02/2016 14:28 - RODRIGO_POIT | CI = 14843 | NOME_FISICO = 1455121700-23934000.pdf | NOME_ORIGINAL = 8 - Recurso Ordinário.pdf | TAMANHO = 2596 | DESCRICAO = 8 - Recurso Ordinário.pdf
10/02/2016 14:28 - RODRIGO_POIT | CI = 14843 | NOME_FISICO = 1455121700-25636200.pdf | NOME_ORIGINAL = Acordão.pdf | TAMANHO = 176 | DESCRICAO = Acordão.pdf
10/02/2016 15:26 - RODRIGO_POIT | CI = 14845 | NOME_FISICO = 1455124908-23575100.msg | NOME_ORIGINAL = 1 - ENC PEDIDO DE PRAZO PROC. 151011 - ADILSON JOSE FALICO.msg | TAMANHO = 376 | DESCRICAO = 1 - ENC PEDIDO DE PRAZO PROC. 151011 - ADILSON JOSE FALICO.msg
10/02/2016 15:26 - RODRIGO_POIT | CI = 14845 | NOME_FISICO = 1455124908-25666300.pdf | NOME_ORIGINAL = 2 - Notificação e Inicial.pdf | TAMANHO = 4747 | DESCRICAO = 2 - Notificação e Inicial.pdf
10/02/2016 15:26 - RODRIGO_POIT | CI = 14845 | NOME_FISICO = 1455124908-28443200.pdf | NOME_ORIGINAL = 3 - Publicação.pdf | TAMANHO = 69 | DESCRICAO = 3 - Publicação.pdf
10/02/2016 15:26 - RODRIGO_POIT | CI = 14845 | NOME_FISICO = 1455124908-29970400.pdf | NOME_ORIGINAL = 4 - Audiência de Instrução.pdf | TAMANHO = 89 | DESCRICAO = 4 - Audiência de Instrução.pdf
10/02/2016 15:26 - RODRIGO_POIT | CI = 14845 | NOME_FISICO = 1455124908-31717100.pdf | NOME_ORIGINAL = 5 - Laudo Pericial.pdf | TAMANHO = 1514 | DESCRICAO = 5 - Laudo Pericial.pdf
10/02/2016 15:26 - RODRIGO_POIT | CI = 14845 | NOME_FISICO = 1455124908-33438600.pdf | NOME_ORIGINAL = 6 - Sentença.pdf | TAMANHO = 394 | DESCRICAO = 6 - Sentença.pdf
10/02/2016 15:26 - RODRIGO_POIT | CI = 14845 | NOME_FISICO = 1455124908-35227100.pdf | NOME_ORIGINAL = 7 - Recurso Ordinário.pdf | TAMANHO = 134 | DESCRICAO = 7 - Recurso Ordinário.pdf
10/02/2016 15:26 - RODRIGO_POIT | CI = 14845 | NOME_FISICO = 1455124908-36931200.pdf | NOME_ORIGINAL = 8 - Acordão Recurso Ordinário.pdf | TAMANHO = 159 | DESCRICAO = 8 - Acordão Recurso Ordinário.pdf
10/02/2016 15:33 - FRANCISCO | CI = 14846 | NOME_FISICO = 1455125581-32950100.pdf | NOME_ORIGINAL = n.fiscal -AIRTON-16224.pdf | TAMANHO = 259 | DESCRICAO = n.fiscal -AIRTON-16224.pdf
10/02/2016 16:09 - RODRIGO_POIT | CI = 14847 | NOME_FISICO = 1455126781-80020400.msg | NOME_ORIGINAL = 1 - ENC PROCESSO 1003916-74.2015.8.26.0236 BENEDITO APARECIDO TONÉIS.msg | TAMANHO = 433 | DESCRICAO = 1 - ENC PROCESSO 1003916-74.2015.8.26.0236 BENEDITO APARECIDO TONÉIS.msg
10/02/2016 16:09 - RODRIGO_POIT | CI = 14847 | NOME_FISICO = 1455126781-81895600.pdf | NOME_ORIGINAL = Citação.pdf | TAMANHO = 779 | DESCRICAO = Citação.pdf
10/02/2016 16:09 - RODRIGO_POIT | CI = 14847 | NOME_FISICO = 1455126781-83351800.pdf | NOME_ORIGINAL = Petição Inicial.pdf | TAMANHO = 4563 | DESCRICAO = Petição Inicial.pdf
11/02/2016 07:58 - RODRIGO_POIT | CI = 14850 | NOME_FISICO = 1455184691-42520400.pdf | NOME_ORIGINAL = RPA.pdf | TAMANHO = 1000 | DESCRICAO = RPA.pdf
11/02/2016 07:59 - RODRIGO_POIT | CI = 14851 | NOME_FISICO = 1455184764-73770500.pdf | NOME_ORIGINAL = RPA 13.pdf | TAMANHO = 1001 | DESCRICAO = RPA 13.pdf
11/02/2016 10:23 - ELISSANDRA | CI = 14853 | NOME_FISICO = 1455193261-63152400.pdf | NOME_ORIGINAL = doc10201620160211115154.pdf | TAMANHO = 378 | DESCRICAO = doc10201620160211115154.pdf
11/02/2016 10:56 - ZEZA | CI = 14830 | NOME_FISICO = 1455195361-60027400.pdf | NOME_ORIGINAL = Agropecuaria.pdf | TAMANHO = 11 | DESCRICAO = PLANILHA DE APURAÇÃO DE IMPOSTOS
11/02/2016 10:56 - ZEZA | CI = 14830 | NOME_FISICO = 1455195361-62595400.JPG | NOME_ORIGINAL = Calculo IRPJ e CSSL.JPG | TAMANHO = 99 | DESCRICAO = CALCULO NO SGI
12/02/2016 07:47 - FRANCISCO | CI = 14861 | NOME_FISICO = 1455270408-89812600.pdf | NOME_ORIGINAL = AUTO IF.1A231030-4.pdf | TAMANHO = 607 | DESCRICAO = AUTO IF.1A231030-4.pdf
12/02/2016 07:53 - MARTA | CI = 14862 | NOME_FISICO = 1455270811-35125100.pdf | NOME_ORIGINAL = ENERGIA.pdf | TAMANHO = 419 | DESCRICAO = Energia elétrica
12/02/2016 09:37 - ELISSANDRA | CI = 14863 | NOME_FISICO = 1455277013-72625100.pdf | NOME_ORIGINAL = doc10225020160212110753.pdf | TAMANHO = 1074 | DESCRICAO = doc10225020160212110753.pdf
12/02/2016 11:15 - ELISSANDRA | CI = 14868 | NOME_FISICO = 1455282876-05437700.pdf | NOME_ORIGINAL = doc10232220160212124540.pdf | TAMANHO = 1286 | DESCRICAO = doc10232220160212124540.pdf
12/02/2016 13:52 - SUZANA | CI = 14873 | NOME_FISICO = 1455292324-52312700.pdf | NOME_ORIGINAL = boleto_11-02-2016-04-15.pdf | TAMANHO = 326 | DESCRICAO = boleto_11-02-2016-04-15.pdf
12/02/2016 15:05 - TIAGOLIMA | CI = 14876 | NOME_FISICO = 1455296585-92937700.pdf | NOME_ORIGINAL = Despesas Viagem.pdf | TAMANHO = 285 | DESCRICAO = Despesas Viagem.pdf
12/02/2016 15:29 - FERNANDOPIRES | CI = 14877 | NOME_FISICO = 1455298111-22625100.pdf | NOME_ORIGINAL = Boleto FMU - 07-03-16.pdf | TAMANHO = 16 | DESCRICAO = Boleto FMU - 07-03-16.pdf
12/02/2016 15:34 - FERNANDOPIRES | CI = 14878 | NOME_FISICO = 1455298472-83562600.pdf | NOME_ORIGINAL = Boleto Vale Transporte - 10-03-16.pdf | TAMANHO = 35 | DESCRICAO = Boleto Vale Transporte - 10-03-16.pdf
12/02/2016 15:48 - FERNANDOPIRES | CI = 14879 | NOME_FISICO = 1455299287-78875100.pdf | NOME_ORIGINAL = FF - despesas diversas - 12-02-16.pdf | TAMANHO = 3265 | DESCRICAO = FF - despesas diversas - 12-02-16.pdf
14/02/2016 15:12 - RBARBOSA | CI = 14883 | NOME_FISICO = 1455469944-42375200.xlsx | NOME_ORIGINAL = Dragas Entre Safra 2015 - 2016.xlsx | TAMANHO = 132 | DESCRICAO = Dragas Entre Safra 2015 - 2016.xlsx
15/02/2016 08:07 - RODRIGO_POIT | CI = 14884 | NOME_FISICO = 1455530837-03312700.msg | NOME_ORIGINAL = ATUALIZAR CUSTAS PROCESSO 11972012 DIONIZIO MARTINS.msg | TAMANHO = 52 | DESCRICAO = ATUALIZAR CUSTAS PROCESSO 11972012 DIONIZIO MARTINS.msg
15/02/2016 08:07 - RODRIGO_POIT | CI = 14884 | NOME_FISICO = 1455530837-05557700.pdf | NOME_ORIGINAL = Atualização de Valores de Verbas Trabalhistas.pdf | TAMANHO = 134 | DESCRICAO = Atualização de Valores de Verbas Trabalhistas.pdf
15/02/2016 08:34 - RODRIGO_POIT | CI = 14885 | NOME_FISICO = 1455532437-97062600.msg | NOME_ORIGINAL = TERMO DE AUDIÊNCIA PROC. 1146715 - JOSA PEREIRA DA SILVA.msg | TAMANHO = 70 | DESCRICAO = TERMO DE AUDIÊNCIA PROC. 1146715 - JOSA PEREIRA DA SILVA.msg
15/02/2016 08:34 - RODRIGO_POIT | CI = 14885 | NOME_FISICO = 1455532437-98668900.pdf | NOME_ORIGINAL = atualização.pdf | TAMANHO = 319 | DESCRICAO = atualização.pdf
15/02/2016 08:56 - MATHEUSUZELOTTO | CI = 14886 | NOME_FISICO = 1455533781-61125100.pdf | NOME_ORIGINAL = 13-02-2016.pdf | TAMANHO = 277 | DESCRICAO = 13-02-2016.pdf
15/02/2016 09:26 - RODRIGO_POIT | CI = 14887 | NOME_FISICO = 1455535391-97062600.pdf | NOME_ORIGINAL = DESPESAS.pdf | TAMANHO = 2566 | DESCRICAO = DESPESAS.pdf
15/02/2016 15:14 - ZEZE | CI = 14894 | NOME_FISICO = 1455556398-75785200.pdf | NOME_ORIGINAL = docreembolso.pdf | TAMANHO = 987 | DESCRICAO = docreembolso.pdf
15/02/2016 15:26 - MICHELSANTOS | CI = 14895 | NOME_FISICO = 1455556750-86722800.PDF | NOME_ORIGINAL = Bradesco_15022016_150614.PDF | TAMANHO = 19 | DESCRICAO = Bradesco_15022016_150614.PDF
16/02/2016 09:21 - MICHELSANTOS | CI = 14901 | NOME_FISICO = 1455621638-36722700.pdf | NOME_ORIGINAL = doc01399620160216061152.pdf | TAMANHO = 1729 | DESCRICAO = doc01399620160216061152.pdf
16/02/2016 16:19 - ERIC | CI = 14906 | NOME_FISICO = 1455646746-25785200.pdf | NOME_ORIGINAL = COGEN - 02-2016.pdf | TAMANHO = 42 | DESCRICAO = COGEN - 02-2016
17/02/2016 10:16 - KLEBER | CI = 14915 | NOME_FISICO = 1455711381-47660300.pdf | NOME_ORIGINAL = Boleto CIEE.pdf | TAMANHO = 475 | DESCRICAO = Boleto CIEE.pdf
17/02/2016 10:16 - KLEBER | CI = 14915 | NOME_FISICO = 1455711394-25785200.pdf | NOME_ORIGINAL = Relação Nominal CIEE.pdf | TAMANHO = 746 | DESCRICAO = Relação Nominal CIEE.pdf
17/02/2016 15:02 - ZEZE | CI = 14919 | NOME_FISICO = 1455728503-07035200.pdf | NOME_ORIGINAL = doaçaoibitinga16.pdf | TAMANHO = 357 | DESCRICAO = doaçaoibitinga16.pdf
18/02/2016 10:59 - ZEZE | CI = 14925 | NOME_FISICO = 1455800271-57035200.pdf | NOME_ORIGINAL = oficio NE 16.pdf | TAMANHO = 261 | DESCRICAO = oficio NE 16.pdf
18/02/2016 11:07 - MICHELSANTOS | CI = 14926 | NOME_FISICO = 1455800813-83597700.pdf | NOME_ORIGINAL = Proposta.pdf | TAMANHO = 136 | DESCRICAO = Proposta.pdf
18/02/2016 11:15 - FERNANDOPIRES | CI = 14927 | NOME_FISICO = 1455801290-05472700.pdf | NOME_ORIGINAL = AMIL - Fernando - 10-03-2016.pdf | TAMANHO = 1123 | DESCRICAO = AMIL - Fernando - 10-03-2016.pdf
18/02/2016 11:17 - FERNANDOPIRES | CI = 14928 | NOME_FISICO = 1455801451-88285200.pdf | NOME_ORIGINAL = FF - despesas diversas - 18-02-16.pdf | TAMANHO = 1677 | DESCRICAO = FF - despesas diversas - 18-02-16.pdf
18/02/2016 12:12 - ROSEMEIRESGOTI | CI = 14929 | NOME_FISICO = 1455804703-71097800.pdf | NOME_ORIGINAL = FISF0064 IRRF 12_2015.pdf | TAMANHO = 525 | DESCRICAO = FISF0064 IRRF 12_2015.pdf
18/02/2016 12:12 - ROSEMEIRESGOTI | CI = 14929 | NOME_FISICO = 1455804711-17972700.pdf | NOME_ORIGINAL = FISF0064 IRRF 01_2016.pdf | TAMANHO = 1231 | DESCRICAO = FISF0064 IRRF 01_2016.pdf
18/02/2016 12:12 - ROSEMEIRESGOTI | CI = 14929 | NOME_FISICO = 1455804718-78910300.pdf | NOME_ORIGINAL = CPAF0017 IRRF 01_2016..pdf | TAMANHO = 744 | DESCRICAO = CPAF0017 IRRF 01_2016..pdf
