04/06/2018 09:36 - KLEBER | CI = 24643 | NOME_FISICO = 1528115795-05984400.pdf | NOME_ORIGINAL = Nota Marieli.pdf | TAMANHO = 519 | DESCRICAO = Nota Marieli.pdf
25/06/2018 07:34 - ELISSANDRA | CI = 24754 | NOME_FISICO = 1529922836-16193800.pdf | NOME_ORIGINAL = Untitled_20180625_072454.pdf | TAMANHO = 207 | DESCRICAO = Untitled_20180625_072454.pdf
25/06/2018 09:22 - LUISMORETTI | CI = 24763 | NOME_FISICO = 1529929353-52131300.pdf | NOME_ORIGINAL = Pedágios.pdf | TAMANHO = 289 | DESCRICAO = Pedágios.pdf
26/06/2018 17:02 - GRAZIELA | CI = 24774 | NOME_FISICO = 1530043368-38068700.pdf | NOME_ORIGINAL = cartorio.pdf | TAMANHO = 663 | DESCRICAO = RECIBOS
27/06/2018 07:09 - RODRIGO_POIT | CI = 24775 | NOME_FISICO = 1530094168-44123500.msg | NOME_ORIGINAL = RES OPERAÇÃO BBM -pendências certidões.msg | TAMANHO = 85 | DESCRICAO = RES OPERAÇÃO BBM -pendências certidões.msg
27/06/2018 07:18 - AZEVEDO | CI = 24776 | NOME_FISICO = 1530094677-42561000.pdf | NOME_ORIGINAL = Untitled_20180627_070711.pdf | TAMANHO = 679 | DESCRICAO = Untitled_20180627_070711.pdf
27/06/2018 07:28 - RODRIGO_POIT | CI = 24777 | NOME_FISICO = 1530095129-47248500.pdf | NOME_ORIGINAL = Publicação.pdf | TAMANHO = 71 | DESCRICAO = Publicação.pdf
27/06/2018 07:28 - RODRIGO_POIT | CI = 24777 | NOME_FISICO = 1530095129-48616700.pdf | NOME_ORIGINAL = Despesas Roseli - Cópia do Processo Cacilda Gobi.pdf | TAMANHO = 280 | DESCRICAO = Despesas Roseli - Cópia do Processo Cacilda Gobi.pdf
27/06/2018 09:36 - LUISMOREIRA | CI = 24779 | NOME_FISICO = 1530102964-25373500.pdf | NOME_ORIGINAL = c.i.pdf | TAMANHO = 221 | DESCRICAO = c.i.pdf
28/06/2018 08:03 - BRUNOCAMAROTTI | CI = 24787 | NOME_FISICO = 1530183757-67561000.pdf | NOME_ORIGINAL = 5289 - JOEL TREVISAN.pdf | TAMANHO = 313 | DESCRICAO = Mapa - 5289
28/06/2018 08:03 - BRUNOCAMAROTTI | CI = 24787 | NOME_FISICO = 1530183757-73209400.pdf | NOME_ORIGINAL = 5290 - MARIA LUIZA TREVISAN.pdf | TAMANHO = 235 | DESCRICAO = Mapa - 5290
28/06/2018 09:28 - TOM | CI = 24792 | NOME_FISICO = 1530188808-89436000.pdf | NOME_ORIGINAL = Untitled_20180628_100151.pdf | TAMANHO = 555 | DESCRICAO = Untitled_20180628_100151.pdf
29/06/2018 13:34 - TATIANEPASSADOR | CI = 24796 | NOME_FISICO = 1530290045-90087600.pdf | NOME_ORIGINAL = Status projeto.pdf | TAMANHO = 78 | DESCRICAO = Status projeto.pdf
29/06/2018 14:03 - ELTON | CI = 24797 | NOME_FISICO = 1530291801-93212600.pdf | NOME_ORIGINAL = Comp. Marcio.pdf | TAMANHO = 250 | DESCRICAO = Comp. Marcio.pdf
29/06/2018 15:19 - KLEBER | CI = 24798 | NOME_FISICO = 1530296369-36962600.pdf | NOME_ORIGINAL = Cupons Fiscais.pdf | TAMANHO = 1612 | DESCRICAO = Cupons Fiscais.pdf
