01/08/2016 08:32 - FRANCISCO | CI = 16878 | NOME_FISICO = 1470051145-34367300.pdf | NOME_ORIGINAL = TAXA DER-F-1530.pdf | TAMANHO = 308 | DESCRICAO = TAXA DER-F-1530.pdf
03/08/2016 09:06 - VALDINEI | CI = 16918 | NOME_FISICO = 1470225953-45304700.pdf | NOME_ORIGINAL = Conta de Água - Agosto - 2016.pdf | TAMANHO = 493 | DESCRICAO = Conta de Água - Agosto - 2016.pdf
03/08/2016 09:08 - ROSEMEIRESGOTI | CI = 16919 | NOME_FISICO = 1470226101-68742200.pdf | NOME_ORIGINAL = CURSO INTENSIVO ICMS.pdf | TAMANHO = 259 | DESCRICAO = CURSO INTENSIVO ICMS.pdf
03/08/2016 09:38 - ROBSONMANFRIM | CI = 16920 | NOME_FISICO = 1470227869-79679700.pdf | NOME_ORIGINAL = Despesas de viagem 02_08_16.pdf | TAMANHO = 271 | DESCRICAO = Despesas de viagem 02_08_16.pdf
03/08/2016 09:57 - RODRIGO_POIT | CI = 16921 | NOME_FISICO = 1470228903-14054700.msg | NOME_ORIGINAL = ENC SENTENÇA PROC. 1154415 - VANDERLEI SUPINSQUE PEREIRA.msg | TAMANHO = 153 | DESCRICAO = ENC SENTENÇA PROC. 1154415 - VANDERLEI SUPINSQUE PEREIRA.msg
04/08/2016 07:35 - ELISSANDRA | CI = 16926 | NOME_FISICO = 1470306839-46867300.pdf | NOME_ORIGINAL = doc11873320160804095801.pdf | TAMANHO = 859 | DESCRICAO = doc11873320160804095801.pdf
04/08/2016 08:12 - ELISSANDRA | CI = 16927 | NOME_FISICO = 1470309066-34367200.pdf | NOME_ORIGINAL = doc11875420160804103531.pdf | TAMANHO = 214 | DESCRICAO = doc11875420160804103531.pdf
04/08/2016 09:42 - FRANCISCO | CI = 16931 | NOME_FISICO = 1470314520-40617200.pdf | NOME_ORIGINAL = CUPOM-AIRT.03-08-16.pdf | TAMANHO = 403 | DESCRICAO = CUPOM-AIRT.03-08-16.pdf
04/08/2016 10:07 - FRANCISCO | CI = 16933 | NOME_FISICO = 1470316048-49992200.pdf | NOME_ORIGINAL = N.FISCAIS-SEST. 154 - 155.pdf | TAMANHO = 1078 | DESCRICAO = N.FISCAIS-SEST. 154 - 155.pdf
04/08/2016 10:54 - ELISSANDRA | CI = 16936 | NOME_FISICO = 1470318860-93742200.pdf | NOME_ORIGINAL = doc11879520160804131841.pdf | TAMANHO = 260 | DESCRICAO = doc11879520160804131841.pdf
04/08/2016 11:03 - ELISSANDRA | CI = 16937 | NOME_FISICO = 1470319304-54679800.pdf | NOME_ORIGINAL = contrato Christiano.pdf | TAMANHO = 370 | DESCRICAO = contrato Christiano.pdf
04/08/2016 11:03 - ELISSANDRA | CI = 16937 | NOME_FISICO = 1470319383-21867200.pdf | NOME_ORIGINAL = doc11880120160804132752.pdf | TAMANHO = 346 | DESCRICAO = doc11880120160804132752.pdf
04/08/2016 12:59 - MARCOS | CI = 16940 | NOME_FISICO = 1470326317-42179700.pdf | NOME_ORIGINAL = INSS Sobre o Faturamento.pdf | TAMANHO = 1634 | DESCRICAO = INSS Sobre o Faturamento.pdf
04/08/2016 13:08 - MARCOS | CI = 16941 | NOME_FISICO = 1470326872-99992200.pdf | NOME_ORIGINAL = FISF0064 INSS.pdf | TAMANHO = 253 | DESCRICAO = FISF0064 INSS.pdf
04/08/2016 13:08 - MARCOS | CI = 16941 | NOME_FISICO = 1470326881-65617200.pdf | NOME_ORIGINAL = CPAF0017 INSS.pdf | TAMANHO = 212 | DESCRICAO = CPAF0017 INSS.pdf
04/08/2016 13:12 - MARCOS | CI = 16942 | NOME_FISICO = 1470327098-98429700.pdf | NOME_ORIGINAL = Relatorio CPAF0017.pdf | TAMANHO = 237 | DESCRICAO = Relatorio CPAF0017.pdf
04/08/2016 13:12 - MARCOS | CI = 16942 | NOME_FISICO = 1470327127-51554800.pdf | NOME_ORIGINAL = Relatorio FISF0064.pdf | TAMANHO = 327 | DESCRICAO = Relatorio FISF0064.pdf
04/08/2016 13:35 - MARCOS | CI = 16943 | NOME_FISICO = 1470328524-18742300.rar | NOME_ORIGINAL = Parcelamento Cod. 1194 (Art. 1º - PGFN) IPI (safras 1992_1993, 1993_1994 e 1994_1995) i.rar | TAMANHO = 1130 | DESCRICAO = Parcelamento Cod. 1194 (Art. 1º - PGFN) IPI (safras 1992_1993, 1993_1994 e 1994_1995) i.rar
04/08/2016 13:35 - MARCOS | CI = 16943 | NOME_FISICO = 1470328530-73429800.rar | NOME_ORIGINAL = Parcelamento Cod. 1279 (Art. 1º - RFB) IPI (safras 1997_1998, 1998_1999 e 1999_2000) i.rar | TAMANHO = 1173 | DESCRICAO = Parcelamento Cod. 1279 (Art. 1º - RFB) IPI (safras 1997_1998, 1998_1999 e 1999_2000) i.rar
04/08/2016 13:35 - MARCOS | CI = 16943 | NOME_FISICO = 1470328543-46867200.rar | NOME_ORIGINAL = Parcelamento Cod. 1285 (Art. 3º - RFB) COFINS (10 e 111997), CSLL (2003) e IRPJ (2003) i.rar | TAMANHO = 1215 | DESCRICAO = Parcelamento Cod. 1285 (Art. 3º - RFB) COFINS (10 e 111997), CSLL (2003) e IRPJ (2003) i.rar
04/08/2016 13:40 - MARCOS | CI = 16944 | NOME_FISICO = 1470328797-59367300.rar | NOME_ORIGINAL = Parcelamento PPI - Roberto Malzoni.rar | TAMANHO = 20 | DESCRICAO = Parcelamento PPI - Roberto Malzoni.rar
04/08/2016 15:32 - ROSEMEIRESGOTI | CI = 16949 | NOME_FISICO = 1470335541-59367200.pdf | NOME_ORIGINAL = doc11885320160804173712.pdf | TAMANHO = 241 | DESCRICAO = doc11885320160804173712.pdf
04/08/2016 17:40 - MARCOS | CI = 16951 | NOME_FISICO = 1470342950-93742200.pdf | NOME_ORIGINAL = FISF0064 DSEM.pdf | TAMANHO = 1190 | DESCRICAO = FISF0064 DSEM.pdf
04/08/2016 17:40 - MARCOS | CI = 16951 | NOME_FISICO = 1470342967-21867200.pdf | NOME_ORIGINAL = CPAF0017 DSEM.pdf | TAMANHO = 627 | DESCRICAO = CPAF0017 DSEM.pdf
04/08/2016 17:40 - MARCOS | CI = 16951 | NOME_FISICO = 1470343191-48429700.pdf | NOME_ORIGINAL = DARFS.pdf | TAMANHO = 829 | DESCRICAO = DARFS.pdf
04/08/2016 17:50 - MARCOS | CI = 16952 | NOME_FISICO = 1470343795-26554700.pdf | NOME_ORIGINAL = CPAF0017 DSEM.pdf | TAMANHO = 627 | DESCRICAO = CPAF0017 DSEM.pdf
04/08/2016 17:50 - MARCOS | CI = 16952 | NOME_FISICO = 1470343810-57804700.pdf | NOME_ORIGINAL = FISF0064 DSEM.pdf | TAMANHO = 1190 | DESCRICAO = FISF0064 DSEM.pdf
04/08/2016 17:50 - MARCOS | CI = 16952 | NOME_FISICO = 1470343817-90617200.pdf | NOME_ORIGINAL = DARFS.pdf | TAMANHO = 829 | DESCRICAO = DARFS.pdf
05/08/2016 09:02 - MARCOS | CI = 16944 | NOME_FISICO = 1470398510-17179800.rar | NOME_ORIGINAL = Parcelamento PPI - Roberto Malzoni I.rar | TAMANHO = 53 | DESCRICAO = Parcelamento PPI - Roberto Malzoni I.rar
05/08/2016 09:59 - MARCOS | CI = 16955 | NOME_FISICO = 1470401741-79679700.pdf | NOME_ORIGINAL = CPAF0017 RCCP.pdf | TAMANHO = 2319 | DESCRICAO = CPAF0017 RCCP.pdf
05/08/2016 09:59 - MARCOS | CI = 16955 | NOME_FISICO = 1470401754-43742200.pdf | NOME_ORIGINAL = FISF0064 RCCP.pdf | TAMANHO = 9301 | DESCRICAO = FISF0064 RCCP.pdf
05/08/2016 09:59 - MARCOS | CI = 16955 | NOME_FISICO = 1470401936-74992300.pdf | NOME_ORIGINAL = DARF.pdf | TAMANHO = 220 | DESCRICAO = DARF.pdf
05/08/2016 10:25 - MARCOS | CI = 16955 | NOME_FISICO = 1470403538-79679700.pdf | NOME_ORIGINAL = DARF.pdf | TAMANHO = 444 | DESCRICAO = DARF.pdf
05/08/2016 11:20 - MARCOS | CI = 16957 | NOME_FISICO = 1470406727-64054700.pdf | NOME_ORIGINAL = Relatorio FISF0064.pdf | TAMANHO = 327 | DESCRICAO = Relatorio FISF0064.pdf
05/08/2016 11:20 - MARCOS | CI = 16957 | NOME_FISICO = 1470406743-46867300.pdf | NOME_ORIGINAL = Relatorio CPAF0017.pdf | TAMANHO = 237 | DESCRICAO = Relatorio CPAF0017.pdf
05/08/2016 11:20 - MARCOS | CI = 16957 | NOME_FISICO = 1470406753-85929700.pdf | NOME_ORIGINAL = Guia de Recolhimento.pdf | TAMANHO = 563 | DESCRICAO = Guia de Recolhimento.pdf
05/08/2016 11:20 - MARCOS | CI = 16957 | NOME_FISICO = 1470406789-96867200.pdf | NOME_ORIGINAL = FISF0064 M.M.P Ferreira Serviços.pdf | TAMANHO = 234 | DESCRICAO = FISF0064 M.M.P Ferreira Serviços.pdf
05/08/2016 11:20 - MARCOS | CI = 16957 | NOME_FISICO = 1470406810-78117300.pdf | NOME_ORIGINAL = M.M.P Ferreira Seviços.pdf | TAMANHO = 75 | DESCRICAO = M.M.P Ferreira Seviços.pdf
05/08/2016 11:20 - MARCOS | CI = 16957 | NOME_FISICO = 1470406826-64054700.pdf | NOME_ORIGINAL = Guia M.M.P Ferreira.pdf | TAMANHO = 557 | DESCRICAO = Guia M.M.P Ferreira.pdf
05/08/2016 11:33 - FRANCISCO | CI = 16958 | NOME_FISICO = 1470407559-56242300.pdf | NOME_ORIGINAL = DETRAN - TAXAS DE SERV .2016.pdf | TAMANHO = 316 | DESCRICAO = DETRAN - TAXAS DE SERV .2016.pdf
05/08/2016 11:37 - MARCOS | CI = 16952 | NOME_FISICO = 1470407768-74992300.pdf | NOME_ORIGINAL = Relatorio CPAF0017.pdf | TAMANHO = 203 | DESCRICAO = Relatorio CPAF0017.pdf
05/08/2016 11:37 - MARCOS | CI = 16952 | NOME_FISICO = 1470407810-51554700.pdf | NOME_ORIGINAL = Relatorio FISF0064.pdf | TAMANHO = 232 | DESCRICAO = Relatorio FISF0064.pdf
05/08/2016 11:37 - MARCOS | CI = 16952 | NOME_FISICO = 1470407821-76554700.pdf | NOME_ORIGINAL = DARF.pdf | TAMANHO = 417 | DESCRICAO = DARF.pdf
05/08/2016 11:45 - KLEBER | CI = 16959 | NOME_FISICO = 1470408264-56242200.pdf | NOME_ORIGINAL = 07 - 2016 - Usina Santa Fé - Diretores - Boleto.pdf | TAMANHO = 91 | DESCRICAO = 07 - 2016 - Usina Santa Fé - Diretores - Boleto.pdf
05/08/2016 11:45 - KLEBER | CI = 16959 | NOME_FISICO = 1470408269-26554800.pdf | NOME_ORIGINAL = 07-2016 - Usina Santa Fé - Funcionários - Boleto.pdf | TAMANHO = 91 | DESCRICAO = 07-2016 - Usina Santa Fé - Funcionários - Boleto.pdf
05/08/2016 13:10 - RODRIGO_POIT | CI = 16960 | NOME_FISICO = 1470413412-37492200.msg | NOME_ORIGINAL = GUIA OFICIAL DE JUSTIÇA PROCESSO CAJURU.msg | TAMANHO = 369 | DESCRICAO = GUIA OFICIAL DE JUSTIÇA PROCESSO CAJURU.msg
05/08/2016 13:37 - RODRIGO_POIT | CI = 16961 | NOME_FISICO = 1470415043-20304700.pdf | NOME_ORIGINAL = Despesas com Viagem Santos.pdf | TAMANHO = 987 | DESCRICAO = Despesas com Viagem Santos.pdf
05/08/2016 13:37 - RODRIGO_POIT | CI = 16961 | NOME_FISICO = 1470415043-27538000.pdf | NOME_ORIGINAL = Nota de Esclarecimento.pdf | TAMANHO = 352 | DESCRICAO = Nota de Esclarecimento.pdf
05/08/2016 14:15 - STEFANIAESTEVO | CI = 16963 | NOME_FISICO = 1470417331-90617200.pdf | NOME_ORIGINAL = RECIBO CARTÓRIO.pdf | TAMANHO = 437 | DESCRICAO = RECIBO
05/08/2016 15:53 - MARCOS | CI = 16966 | NOME_FISICO = 1470422871-43742300.pdf | NOME_ORIGINAL = IPI.pdf | TAMANHO = 848 | DESCRICAO = IPI.pdf
05/08/2016 15:53 - MARCOS | CI = 16966 | NOME_FISICO = 1470423159-17179700.pdf | NOME_ORIGINAL = DARF.pdf | TAMANHO = 414 | DESCRICAO = DARF.pdf
05/08/2016 16:09 - MARCOS | CI = 16967 | NOME_FISICO = 1470424159-85929800.rar | NOME_ORIGINAL = FUNRURAL AGRO.rar | TAMANHO = 381 | DESCRICAO = FUNRURAL AGRO.rar
08/08/2016 10:31 - MARCOS | CI = 16940 | NOME_FISICO = 1470663030-27785200.pdf | NOME_ORIGINAL = Relatorio nfs de saida devolução.pdf | TAMANHO = 572 | DESCRICAO = Relatorio nfs de saida devolução.pdf
08/08/2016 10:31 - MARCOS | CI = 16940 | NOME_FISICO = 1470663049-34035300.pdf | NOME_ORIGINAL = Relatorio nfs de saida.pdf | TAMANHO = 1484 | DESCRICAO = Relatorio nfs de saida.pdf
08/08/2016 10:31 - MARCOS | CI = 16940 | NOME_FISICO = 1470663068-57472700.pdf | NOME_ORIGINAL = resumo.pdf | TAMANHO = 380 | DESCRICAO = resumo.pdf
08/08/2016 10:41 - RODRIGO_POIT | CI = 16973 | NOME_FISICO = 1470663673-04347800.msg | NOME_ORIGINAL = TERMO DE AUDIÊNCIA PROC. 6012 - JOSÉ  MANOEL DA COSTA.msg | TAMANHO = 69 | DESCRICAO = TERMO DE AUDIÊNCIA PROC. 6012 - JOSÉ  MANOEL DA COSTA.msg
08/08/2016 10:41 - RODRIGO_POIT | CI = 16973 | NOME_FISICO = 1470663673-06970100.pdf | NOME_ORIGINAL = cálculo de liquidação.pdf | TAMANHO = 430 | DESCRICAO = cálculo de liquidação.pdf
08/08/2016 11:00 - RODRIGO_POIT | CI = 16975 | NOME_FISICO = 1470664854-88722700.msg | NOME_ORIGINAL = TERMO DE AUDIÊNCIA PROC. 1143313 - DANILO ANDRE RIOS.msg | TAMANHO = 75 | DESCRICAO = TERMO DE AUDIÊNCIA PROC. 1143313 - DANILO ANDRE RIOS.msg
08/08/2016 11:03 - VELOSA | CI = 16976 | NOME_FISICO = 1470665018-09035200.pdf | NOME_ORIGINAL = Recibos.pdf | TAMANHO = 255 | DESCRICAO = Recibos.pdf
08/08/2016 11:30 - RODRIGO_POIT | CI = 16977 | NOME_FISICO = 1470666615-65285200.pdf | NOME_ORIGINAL = Despesas Faiz Massad.pdf | TAMANHO = 2992 | DESCRICAO = Despesas Faiz Massad.pdf
08/08/2016 11:41 - FRANCISCO | CI = 16978 | NOME_FISICO = 1470667265-21535200.pdf | NOME_ORIGINAL = CUPOM-AIRT.04-08..pdf | TAMANHO = 349 | DESCRICAO = CUPOM-AIRT.04-08..pdf
08/08/2016 11:50 - FRANCISCO | CI = 16979 | NOME_FISICO = 1470667818-65285200.pdf | NOME_ORIGINAL = CUPOM-RON.04-08.pdf | TAMANHO = 255 | DESCRICAO = CUPOM-RON.04-08.pdf
08/08/2016 14:56 - FRANCISCO | CI = 16982 | NOME_FISICO = 1470678904-05910200.pdf | NOME_ORIGINAL = AUTO 519285-4.pdf | TAMANHO = 542 | DESCRICAO = AUTO 519285-4.pdf
08/08/2016 15:05 - REGI | CI = 16983 | NOME_FISICO = 1470679472-77785200.msg | NOME_ORIGINAL = Pagamento CCT Fornecedores- Julho_16.msg | TAMANHO = 95 | DESCRICAO = Pagamento CCT Fornecedores- Julho_16.msg
08/08/2016 15:48 - FRANCISCO | CI = 16984 | NOME_FISICO = 1470682073-65285300.pdf | NOME_ORIGINAL = AUTOS;245881-2 681430-4- 681928-4.pdf | TAMANHO = 1695 | DESCRICAO = AUTOS;245881-2 681430-4- 681928-4.pdf
08/08/2016 16:47 - ROSEMEIRESGOTI | CI = 16985 | NOME_FISICO = 1470685668-04347700.pdf | NOME_ORIGINAL = doc11911120160808190353.pdf | TAMANHO = 279 | DESCRICAO = doc11911120160808190353.pdf
09/08/2016 07:23 - KLEBER | CI = 16986 | NOME_FISICO = 1470738217-07472700.pdf | NOME_ORIGINAL = CPFL.pdf | TAMANHO = 443 | DESCRICAO = CPFL.pdf
09/08/2016 07:45 - KLEBER | CI = 16988 | NOME_FISICO = 1470739505-41847700.pdf | NOME_ORIGINAL = 1543_001.pdf | TAMANHO = 83 | DESCRICAO = 1543_001.pdf
09/08/2016 09:59 - FERNANDOPIRES | CI = 16990 | NOME_FISICO = 1470747577-76222700.pdf | NOME_ORIGINAL = Nota Fiscal Ticket.pdf | TAMANHO = 9.61 | DESCRICAO = Nota Fiscal Ticket.pdf
09/08/2016 09:59 - FERNANDOPIRES | CI = 16990 | NOME_FISICO = 1470747577-78744300.pdf | NOME_ORIGINAL = Boleto Ticket - 02-09-2016.pdf | TAMANHO = 62 | DESCRICAO = Boleto Ticket - 02-09-2016.pdf
09/08/2016 10:41 - FRANCISCO | CI = 16991 | NOME_FISICO = 1470750049-40285300.pdf | NOME_ORIGINAL = AUTO JV-A2-940468-3.pdf | TAMANHO = 575 | DESCRICAO = AUTO JV-A2-940468-3.pdf
09/08/2016 12:56 - FERNANDOPIRES | CI = 16995 | NOME_FISICO = 1470758162-41847800.pdf | NOME_ORIGINAL = FF - despesas diversas - 09-08-2016.pdf | TAMANHO = 1578 | DESCRICAO = FF - despesas diversas - 09-08-2016.pdf
09/08/2016 12:58 - ELISSANDRA | CI = 16996 | NOME_FISICO = 1470758121-12160200.pdf | NOME_ORIGINAL = doc11925120160809151214.pdf | TAMANHO = 380 | DESCRICAO = doc11925120160809151214.pdf
09/08/2016 12:58 - ELISSANDRA | CI = 16996 | NOME_FISICO = 1470758237-18410200.pdf | NOME_ORIGINAL = contrato Christiano.pdf | TAMANHO = 370 | DESCRICAO = contrato Christiano.pdf
09/08/2016 13:01 - ELISSANDRA | CI = 16997 | NOME_FISICO = 1470758479-18410200.pdf | NOME_ORIGINAL = contrato Christiano.pdf | TAMANHO = 370 | DESCRICAO = contrato Christiano.pdf
09/08/2016 15:28 - RODRIGO_POIT | CI = 17002 | NOME_FISICO = 1470767276-71535200.pdf | NOME_ORIGINAL = JOSÉ ALVES DE SOUZA - PROC.1036-69.2012 - ATA DE AUDIÊNCIA.pdf | TAMANHO = 1347 | DESCRICAO = JOSÉ ALVES DE SOUZA - PROC.1036-69.2012 - ATA DE AUDIÊNCIA.pdf
09/08/2016 15:28 - RODRIGO_POIT | CI = 17002 | NOME_FISICO = 1470767276-74452600.pdf | NOME_ORIGINAL = JOSÉ ALVES DE SOUZA -cálculo de liquidação.pdf | TAMANHO = 304 | DESCRICAO = JOSÉ ALVES DE SOUZA -cálculo de liquidação.pdf
09/08/2016 15:50 - RODRIGO_POIT | CI = 17003 | NOME_FISICO = 1470768644-01222700.pdf | NOME_ORIGINAL = JOAO BATISTA DE OLIVEIRA - PROC. 1037-54.2012 - ATA DE AUDIÊNCIA.pdf | TAMANHO = 1401 | DESCRICAO = JOAO BATISTA DE OLIVEIRA - PROC. 1037-54.2012 - ATA DE AUDIÊNCIA.pdf
09/08/2016 15:50 - RODRIGO_POIT | CI = 17003 | NOME_FISICO = 1470768644-03178700.pdf | NOME_ORIGINAL = JOÃO BATISTA DE OLIVEIRA -cálculo de liquidação.pdf | TAMANHO = 387 | DESCRICAO = JOÃO BATISTA DE OLIVEIRA -cálculo de liquidação.pdf
09/08/2016 16:18 - RODRIGO_POIT | CI = 17005 | NOME_FISICO = 1470769941-35597800.pdf | NOME_ORIGINAL = JOSE GOMES DE OLIVEIRA - PROC 895-21.2010 - ATA DE AUDIÊNCIA.pdf | TAMANHO = 1371 | DESCRICAO = JOSE GOMES DE OLIVEIRA - PROC 895-21.2010 - ATA DE AUDIÊNCIA.pdf
09/08/2016 16:18 - RODRIGO_POIT | CI = 17005 | NOME_FISICO = 1470769941-38086400.pdf | NOME_ORIGINAL = JOSÉ GOMES DE OLIVEIRA - cálculo liquidação.pdf | TAMANHO = 260 | DESCRICAO = JOSÉ GOMES DE OLIVEIRA - cálculo liquidação.pdf
10/08/2016 07:42 - RODRIGO_POIT | CI = 17006 | NOME_FISICO = 1470825740-31637700.pdf | NOME_ORIGINAL = Prestação de Contas Marcelo.pdf | TAMANHO = 563 | DESCRICAO = Prestação de Contas Marcelo.pdf
10/08/2016 07:50 - RODRIGO_POIT | CI = 17007 | NOME_FISICO = 1470826236-20700200.msg | NOME_ORIGINAL = TERMO DE AUDIÊNCIA PROC. 1128113 - MARCIO ANTONIO BARRETO.msg | TAMANHO = 81 | DESCRICAO = TERMO DE AUDIÊNCIA PROC. 1128113 - MARCIO ANTONIO BARRETO.msg
10/08/2016 08:39 - RODRIGO_POIT | CI = 17008 | NOME_FISICO = 1470828997-45700100.msg | NOME_ORIGINAL = TERMO DE AUDIÊNCIA PROC. 5812 - JOÃO CARLOS DA COSTA.msg | TAMANHO = 73 | DESCRICAO = TERMO DE AUDIÊNCIA PROC. 5812 - JOÃO CARLOS DA COSTA.msg
10/08/2016 08:39 - RODRIGO_POIT | CI = 17008 | NOME_FISICO = 1470828997-47308100.pdf | NOME_ORIGINAL = sentença.pdf | TAMANHO = 4938 | DESCRICAO = sentença.pdf
10/08/2016 09:21 - RODRIGO_POIT | CI = 17008 | NOME_FISICO = 1470831706-75390700.pdf | NOME_ORIGINAL = CÁLCULO LIQUIDAÇÃO.pdf | TAMANHO = 364 | DESCRICAO = CÁLCULO LIQUIDAÇÃO.pdf
10/08/2016 11:28 - RODRIGO_POIT | CI = 17010 | NOME_FISICO = 1470839276-03512600.msg | NOME_ORIGINAL = TERMO DE AUDIÊNCIA PROC. 1128113 - MARCIO ANTONIO BARRETO.msg | TAMANHO = 81 | DESCRICAO = TERMO DE AUDIÊNCIA PROC. 1128113 - MARCIO ANTONIO BARRETO.msg
10/08/2016 11:46 - RODRIGO_POIT | CI = 17011 | NOME_FISICO = 1470839672-05075100.msg | NOME_ORIGINAL = TERMO DE AUDIÊNCIA PROC. 5812 - JOÃO CARLOS DA COSTA.msg | TAMANHO = 73 | DESCRICAO = TERMO DE AUDIÊNCIA PROC. 5812 - JOÃO CARLOS DA COSTA.msg
10/08/2016 11:46 - RODRIGO_POIT | CI = 17011 | NOME_FISICO = 1470839672-06685500.pdf | NOME_ORIGINAL = JOão Carlos da Costa - INSS - CONTA DE LIQUIDAÇÃO.pdf | TAMANHO = 368 | DESCRICAO = JOão Carlos da Costa - INSS - CONTA DE LIQUIDAÇÃO.pdf
10/08/2016 12:08 - FRANCISCO | CI = 17012 | NOME_FISICO = 1470841675-22262600.pdf | NOME_ORIGINAL = AUTOS -COMB. - 247.pdf | TAMANHO = 3133 | DESCRICAO = AUTOS -COMB. - 247.pdf
10/08/2016 13:12 - MARCOS | CI = 17014 | NOME_FISICO = 1470845480-89450100.pdf | NOME_ORIGINAL = DARF.pdf | TAMANHO = 410 | DESCRICAO = DARF.pdf
10/08/2016 13:12 - MARCOS | CI = 17014 | NOME_FISICO = 1470845491-36325200.pdf | NOME_ORIGINAL = FISF0064 DSEM TMF Apriori.pdf | TAMANHO = 267 | DESCRICAO = FISF0064 DSEM TMF Apriori.pdf
10/08/2016 13:12 - MARCOS | CI = 17014 | NOME_FISICO = 1470845504-09762600.pdf | NOME_ORIGINAL = CPAF0017 DSEM TMF Apriori.pdf | TAMANHO = 213 | DESCRICAO = CPAF0017 DSEM TMF Apriori.pdf
10/08/2016 14:45 - SANTANA | CI = 17017 | NOME_FISICO = 1470851091-94137600.pdf | NOME_ORIGINAL = NFS-e  11.pdf | TAMANHO = 523 | DESCRICAO = NFS-e  11.pdf
10/08/2016 14:45 - SANTANA | CI = 17017 | NOME_FISICO = 1470851091-96771800.pdf | NOME_ORIGINAL = GPS para recolhimento.pdf | TAMANHO = 378 | DESCRICAO = GPS para recolhimento.pdf
10/08/2016 15:25 - FRANCISCO | CI = 17019 | NOME_FISICO = 1470853422-61325100.pdf | NOME_ORIGINAL = DETRAN - TAXAS DE SERV .2016.pdf | TAMANHO = 316 | DESCRICAO = DETRAN - TAXAS DE SERV .2016.pdf
10/08/2016 16:30 - FRANCISCO | CI = 17021 | NOME_FISICO = 1470857398-83200200.pdf | NOME_ORIGINAL = NOTA FISCAL-S-164.pdf | TAMANHO = 485 | DESCRICAO = NOTA FISCAL-S-164.pdf
11/08/2016 14:39 - SANTANA | CI = 17017 | NOME_FISICO = 1470937165-56437700.pdf | NOME_ORIGINAL = Nota de Débito - WGM.pdf | TAMANHO = 23 | DESCRICAO = Nota de Débito - WGM.pdf
11/08/2016 16:50 - MATHEUSUZELOTTO | CI = 17035 | NOME_FISICO = 1470945045-93937700.pdf | NOME_ORIGINAL = 30-07-2016.pdf | TAMANHO = 441 | DESCRICAO = 30-07-2016.pdf
12/08/2016 08:37 - MARTA | CI = 17038 | NOME_FISICO = 1471001829-90371100.pdf | NOME_ORIGINAL = Despesa 05082016.pdf | TAMANHO = 27 | DESCRICAO = Despesa de refeição
12/08/2016 08:37 - MARTA | CI = 17038 | NOME_FISICO = 1471001829-91930400.pdf | NOME_ORIGINAL = Despesa 11082016.pdf | TAMANHO = 59 | DESCRICAO = Despesas Viagem
