01/07/2016 08:27 - GRAZIELA | CI = 16479 | NOME_FISICO = 1467372363-28095300.pdf | NOME_ORIGINAL = IGC.pdf | TAMANHO = 199 | DESCRICAO = COMPROVANTE
05/07/2016 12:41 - MARCOS | CI = 16523 | NOME_FISICO = 1467733282-71312600.pdf | NOME_ORIGINAL = Relatorio ISS FISF0064.pdf | TAMANHO = 695 | DESCRICAO = Relatorio ISS FISF0064.pdf
05/07/2016 13:02 - MARCOS | CI = 16525 | NOME_FISICO = 1467734543-58812600.pdf | NOME_ORIGINAL = Relatorio ISS São Paulo FISF0064.pdf | TAMANHO = 225 | DESCRICAO = Relatorio ISS São Paulo FISF0064.pdf
05/07/2016 13:02 - MARCOS | CI = 16525 | NOME_FISICO = 1467734557-19750100.pdf | NOME_ORIGINAL = Relatorio ISS CPAF0017.pdf | TAMANHO = 25 | DESCRICAO = Relatorio ISS CPAF0017.pdf
05/07/2016 13:15 - MARCOS | CI = 16526 | NOME_FISICO = 1467735248-77562700.pdf | NOME_ORIGINAL = Relatorio INSS FISF0064.pdf | TAMANHO = 650 | DESCRICAO = Relatorio INSS FISF0064.pdf
05/07/2016 13:15 - MARCOS | CI = 16526 | NOME_FISICO = 1467735284-77562600.pdf | NOME_ORIGINAL = Relatorio INSS CPAF0017.pdf | TAMANHO = 244 | DESCRICAO = Relatorio INSS CPAF0017.pdf
05/07/2016 13:17 - MARCOS | CI = 16527 | NOME_FISICO = 1467735443-82250100.pdf | NOME_ORIGINAL = Relatorio RCCP CPAF0017.pdf | TAMANHO = 221 | DESCRICAO = Relatorio RCCP CPAF0017.pdf
05/07/2016 13:17 - MARCOS | CI = 16527 | NOME_FISICO = 1467735455-01000200.pdf | NOME_ORIGINAL = Relatorio RCCP FISF0064.pdf | TAMANHO = 249 | DESCRICAO = Relatorio RCCP FISF0064.pdf
05/07/2016 13:19 - MARCOS | CI = 16528 | NOME_FISICO = 1467735539-33812600.pdf | NOME_ORIGINAL = Relatorio RCCP CPAF0017.pdf | TAMANHO = 221 | DESCRICAO = Relatorio RCCP CPAF0017.pdf
05/07/2016 13:19 - MARCOS | CI = 16528 | NOME_FISICO = 1467735548-97875100.pdf | NOME_ORIGINAL = Relatorio RCCP FISF0064.pdf | TAMANHO = 249 | DESCRICAO = Relatorio RCCP FISF0064.pdf
05/07/2016 15:00 - MARCOS | CI = 16528 | NOME_FISICO = 1467741289-30687700.pdf | NOME_ORIGINAL = DARF 1708.pdf | TAMANHO = 446 | DESCRICAO = DARF 1708.pdf
05/07/2016 15:00 - MARCOS | CI = 16528 | NOME_FISICO = 1467741297-24437700.pdf | NOME_ORIGINAL = DARF 3280.pdf | TAMANHO = 412 | DESCRICAO = DARF 3280.pdf
05/07/2016 15:00 - MARCOS | CI = 16528 | NOME_FISICO = 1467741308-61937600.pdf | NOME_ORIGINAL = DARF 5944.pdf | TAMANHO = 412 | DESCRICAO = DARF 5944.pdf
05/07/2016 15:00 - MARCOS | CI = 16528 | NOME_FISICO = 1467741320-74437600.pdf | NOME_ORIGINAL = DARF 8045.pdf | TAMANHO = 408 | DESCRICAO = DARF 8045.pdf
05/07/2016 15:01 - FRANCISCO | CI = 16547 | NOME_FISICO = 1467741646-74437700.pdf | NOME_ORIGINAL = DETRAN - TAXAS DE SERV .2016.pdf | TAMANHO = 316 | DESCRICAO = DETRAN - TAXAS DE SERV .2016.pdf
05/07/2016 16:24 - FRANCISCO | CI = 16550 | NOME_FISICO = 1467746647-82250100.pdf | NOME_ORIGINAL = AUTO INF.- 150917-4.pdf | TAMANHO = 529 | DESCRICAO = AUTO INF.- 150917-4.pdf
05/07/2016 17:55 - MARCOS | CI = 16530 | NOME_FISICO = 1467752131-38500200.pdf | NOME_ORIGINAL = DARF 5952.pdf | TAMANHO = 411 | DESCRICAO = DARF 5952.pdf
05/07/2016 18:59 - BRUNOCAMAROTTI | CI = 16551 | NOME_FISICO = 1467755757-58812700.pdf | NOME_ORIGINAL = Lucas Voltarelli.pdf | TAMANHO = 2262 | DESCRICAO = Lucas Voltarelli - Comprovante de depósito
05/07/2016 18:59 - BRUNOCAMAROTTI | CI = 16551 | NOME_FISICO = 1467755787-22875200.pdf | NOME_ORIGINAL = Mauricio Bonfante.pdf | TAMANHO = 6535 | DESCRICAO = Maurício Bonfante - Comprovante de depósito
05/07/2016 18:59 - BRUNOCAMAROTTI | CI = 16551 | NOME_FISICO = 1467755808-77562700.pdf | NOME_ORIGINAL = Moacir Bonfante.pdf | TAMANHO = 3306 | DESCRICAO = Dionizio Bonfante - Comprovante de depósito
05/07/2016 19:10 - BRUNOCAMAROTTI | CI = 16552 | NOME_FISICO = 1467756163-05687600.pdf | NOME_ORIGINAL = Ballera.pdf | TAMANHO = 2989 | DESCRICAO = Contrato - Luis Carlos Ballera
06/07/2016 09:48 - FRANCISCO | CI = 16561 | NOME_FISICO = 1467809279-43187700.pdf | NOME_ORIGINAL = CUPOM-RON.01-07.pdf | TAMANHO = 183 | DESCRICAO = CUPOM-RON.01-07.pdf
06/07/2016 09:53 - FRANCISCO | CI = 16562 | NOME_FISICO = 1467809524-63500100.pdf | NOME_ORIGINAL = CUPOM-AIRTON-05-07.pdf | TAMANHO = 197 | DESCRICAO = CUPOM-AIRTON-05-07.pdf
06/07/2016 11:32 - BRUNOCAMAROTTI | CI = 16565 | NOME_FISICO = 1467815530-32250200.pdf | NOME_ORIGINAL = Ballera - Contrato.pdf | TAMANHO = 2989 | DESCRICAO = Contrato de parceria - Grãos
06/07/2016 11:32 - BRUNOCAMAROTTI | CI = 16565 | NOME_FISICO = 1467815544-82250200.pdf | NOME_ORIGINAL = Ballera - Resumo de pagamento.pdf | TAMANHO = 50 | DESCRICAO = Resumo de pagamento
06/07/2016 11:45 - BRUNOCAMAROTTI | CI = 16568 | NOME_FISICO = 1467816147-79125200.pdf | NOME_ORIGINAL = Lucas Voltarelli.pdf | TAMANHO = 2262 | DESCRICAO = Comprovante - Lucas Voltarelli
06/07/2016 11:45 - BRUNOCAMAROTTI | CI = 16568 | NOME_FISICO = 1467816171-02562700.pdf | NOME_ORIGINAL = Mauricio Bonfante.pdf | TAMANHO = 6535 | DESCRICAO = Comprovante - Maurício Bonfante
06/07/2016 11:45 - BRUNOCAMAROTTI | CI = 16568 | NOME_FISICO = 1467816193-57250200.pdf | NOME_ORIGINAL = Moacir Bonfante.pdf | TAMANHO = 3306 | DESCRICAO = Comprovante - Dionízio Bonfante
06/07/2016 11:46 - REGI | CI = 16569 | NOME_FISICO = 1467815501-38500100.msg | NOME_ORIGINAL = Valor Transporte Fornecedores JUNHO2016.msg | TAMANHO = 66 | DESCRICAO = Valor Transporte Fornecedores JUNHO2016.msg
06/07/2016 13:26 - MARCOS | CI = 16530 | NOME_FISICO = 1467822395-52562700.pdf | NOME_ORIGINAL = Relatorio RCCP CPAF0017.pdf | TAMANHO = 2646 | DESCRICAO = Relatorio RCCP CPAF0017.pdf
06/07/2016 13:26 - MARCOS | CI = 16530 | NOME_FISICO = 1467822409-51000100.pdf | NOME_ORIGINAL = Relatorio RCCP FISF0064.pdf | TAMANHO = 9652 | DESCRICAO = Relatorio RCCP FISF0064.pdf
06/07/2016 13:39 - MARCOS | CI = 16527 | NOME_FISICO = 1467823189-82250200.pdf | NOME_ORIGINAL = DARF.pdf | TAMANHO = 413 | DESCRICAO = DARF.pdf
06/07/2016 13:53 - FERNANDOPIRES | CI = 16571 | NOME_FISICO = 1467823995-91625200.pdf | NOME_ORIGINAL = Boleto Ticket - 02-08-2016.pdf | TAMANHO = 62 | DESCRICAO = Boleto Ticket - 02-08-2016.pdf
06/07/2016 13:53 - FERNANDOPIRES | CI = 16571 | NOME_FISICO = 1467823995-94577500.pdf | NOME_ORIGINAL = Nota Fiscal Ticket.pdf | TAMANHO = 9.61 | DESCRICAO = Nota Fiscal Ticket.pdf
06/07/2016 14:01 - MARCOS | CI = 16528 | NOME_FISICO = 1467824443-26000200.pdf | NOME_ORIGINAL = DARFs.pdf | TAMANHO = 1675 | DESCRICAO = DARFs.pdf
06/07/2016 14:01 - MARCOS | CI = 16528 | NOME_FISICO = 1467824455-40062600.pdf | NOME_ORIGINAL = Relatorio DSEM CPAF0017.pdf | TAMANHO = 606 | DESCRICAO = Relatorio DSEM CPAF0017.pdf
06/07/2016 14:01 - MARCOS | CI = 16528 | NOME_FISICO = 1467824465-86937600.pdf | NOME_ORIGINAL = Relatorio DSEM FISF0064.pdf | TAMANHO = 905 | DESCRICAO = Relatorio DSEM FISF0064.pdf
06/07/2016 14:46 - ELISSANDRA | CI = 16572 | NOME_FISICO = 1467827073-24437600.pdf | NOME_ORIGINAL = doc11595020160706170928.pdf | TAMANHO = 206 | DESCRICAO = doc11595020160706170928.pdf
06/07/2016 15:02 - ELISSANDRA | CI = 16573 | NOME_FISICO = 1467827928-52562600.pdf | NOME_ORIGINAL = doc11595220160706172251.pdf | TAMANHO = 1267 | DESCRICAO = doc11595220160706172251.pdf
06/07/2016 16:03 - RODRIGO_POIT | CI = 16574 | NOME_FISICO = 1467831709-41625200.pdf | NOME_ORIGINAL = DESPESAS.pdf | TAMANHO = 388 | DESCRICAO = DESPESAS.pdf
06/07/2016 16:50 - FABIOTOMASETTO | CI = 16576 | NOME_FISICO = 1467834563-71312600.xlsx | NOME_ORIGINAL = Solicitação de Férias 11-07.xlsx | TAMANHO = 11 | DESCRICAO = Solicitação de Férias 11-07.xlsx
06/07/2016 16:53 - FRANCISCO | CI = 16577 | NOME_FISICO = 1467834785-94750200.pdf | NOME_ORIGINAL = CUPOM-AIRTON-06-07.pdf | TAMANHO = 222 | DESCRICAO = CUPOM-AIRTON-06-07.pdf
07/07/2016 08:00 - MARCOS | CI = 16581 | NOME_FISICO = 1467889157-07025200.pdf | NOME_ORIGINAL = APURAÇÃO INSS S FATURAMENTO.pdf | TAMANHO = 1534 | DESCRICAO = APURAÇÃO INSS S FATURAMENTO.pdf
07/07/2016 08:09 - CRISTIANOALVES | CI = 16582 | NOME_FISICO = 1467889788-00775200.pdf | NOME_ORIGINAL = Refeição 02-07.pdf | TAMANHO = 228 | DESCRICAO = Refeição 02-07
07/07/2016 08:09 - CRISTIANOALVES | CI = 16582 | NOME_FISICO = 1467889788-04808700.pdf | NOME_ORIGINAL = Refeição 01-07.pdf | TAMANHO = 211 | DESCRICAO = Refeição 01-07
07/07/2016 08:15 - MARCOS | CI = 16581 | NOME_FISICO = 1467890052-55462600.pdf | NOME_ORIGINAL = SUPORTE fATURAMENTO.pdf | TAMANHO = 2964 | DESCRICAO = SUPORTE fATURAMENTO.pdf
07/07/2016 08:23 - MARCOS | CI = 16583 | NOME_FISICO = 1467890597-53900200.pdf | NOME_ORIGINAL = FUNRURAL - AGRO.pdf | TAMANHO = 586 | DESCRICAO = FUNRURAL - AGRO.pdf
07/07/2016 08:35 - FRANCISCO | CI = 16585 | NOME_FISICO = 1467891304-89837600.pdf | NOME_ORIGINAL = CUPOM RON-06-07.pdf | TAMANHO = 287 | DESCRICAO = CUPOM RON-06-07.pdf
07/07/2016 08:35 - SANTANA | CI = 16586 | NOME_FISICO = 1467891178-30462600.pdf | NOME_ORIGINAL = GRU - RENOVAÇÃO CERTIFICADO.pdf | TAMANHO = 101 | DESCRICAO = GRU - RENOVAÇÃO CERTIFICADO.pdf
07/07/2016 08:35 - SANTANA | CI = 16586 | NOME_FISICO = 1467891178-32897000.pdf | NOME_ORIGINAL = Portaria Interminesterial nº 704 de 2015.pdf | TAMANHO = 611 | DESCRICAO = Portaria Interminesterial nº 704 de 2015.pdf
07/07/2016 08:47 - SANTANA | CI = 16589 | NOME_FISICO = 1467891656-11712700.pdf | NOME_ORIGINAL = Portaria Interminesterial nº 704 de 2015.pdf | TAMANHO = 611 | DESCRICAO = Portaria Interminesterial nº 704 de 2015.pdf
07/07/2016 08:47 - SANTANA | CI = 16589 | NOME_FISICO = 1467891656-13249600.pdf | NOME_ORIGINAL = GRU ATUALIZAÇÃO REGISTRO CADASTRAL.pdf | TAMANHO = 101 | DESCRICAO = GRU ATUALIZAÇÃO REGISTRO CADASTRAL.pdf
07/07/2016 09:06 - MARCOS | CI = 16594 | NOME_FISICO = 1467893138-38275100.rar | NOME_ORIGINAL = Parcelamento Cod. 1194 (Art. 1º - PGFN) IPI (safras 1992_1993, 1993_1994 e 1994_1995).rar | TAMANHO = 1146 | DESCRICAO = Parcelamento Cod. 1194 (Art. 1º - PGFN) IPI (safras 1992_1993, 1993_1994 e 1994_1995).rar
07/07/2016 09:06 - MARCOS | CI = 16594 | NOME_FISICO = 1467893156-99212600.rar | NOME_ORIGINAL = Parcelamento Cod. 1279 (Art. 1º - RFB) IPI (safras 1997_1998, 1998_1999 e 1999_2000).rar | TAMANHO = 1184 | DESCRICAO = Parcelamento Cod. 1279 (Art. 1º - RFB) IPI (safras 1997_1998, 1998_1999 e 1999_2000).rar
07/07/2016 09:06 - MARCOS | CI = 16594 | NOME_FISICO = 1467893174-16400200.rar | NOME_ORIGINAL = Parcelamento Cod. 1285 (Art. 3º - RFB) COFINS (10 e 111997), CSLL (2003) e IRPJ (2003).rar | TAMANHO = 1215 | DESCRICAO = Parcelamento Cod. 1285 (Art. 3º - RFB) COFINS (10 e 111997), CSLL (2003) e IRPJ (2003).rar
07/07/2016 09:23 - MARCOS | CI = 16595 | NOME_FISICO = 1467894210-88275200.rar | NOME_ORIGINAL = Parcelamento PPI - Roberto Malzoni.rar | TAMANHO = 54 | DESCRICAO = Parcelamento PPI - Roberto Malzoni.rar
07/07/2016 15:16 - LUCIANOHENRIQUE | CI = 16601 | NOME_FISICO = 1467915393-42962600.pdf | NOME_ORIGINAL = Recibo_Gisele.pdf | TAMANHO = 415 | DESCRICAO = Recibo_Gisele.pdf
07/07/2016 15:16 - LUCIANOHENRIQUE | CI = 16601 | NOME_FISICO = 1467915398-99212600.pdf | NOME_ORIGINAL = Recibo_Luciano.pdf | TAMANHO = 406 | DESCRICAO = Recibo_Luciano.pdf
07/07/2016 15:26 - FERNANDOPIRES | CI = 16603 | NOME_FISICO = 1467915916-05462600.pdf | NOME_ORIGINAL = FF - despesas diversas - 07-07-2016.pdf | TAMANHO = 2012 | DESCRICAO = FF - despesas diversas - 07-07-2016.pdf
08/07/2016 09:31 - KLEBER | CI = 16611 | NOME_FISICO = 1467981068-97650100.pdf | NOME_ORIGINAL = boleto.pdf | TAMANHO = 442 | DESCRICAO = boleto.pdf
08/07/2016 11:56 - FRANCISCO | CI = 16614 | NOME_FISICO = 1467989705-60150200.pdf | NOME_ORIGINAL = DETRAN - TAXAS DE SERV .2016.pdf | TAMANHO = 316 | DESCRICAO = DETRAN - TAXAS DE SERV .2016.pdf
08/07/2016 14:07 - ELISSANDRA | CI = 16616 | NOME_FISICO = 1467997105-64837700.pdf | NOME_ORIGINAL = doc11617620160708162143.pdf | TAMANHO = 760 | DESCRICAO = doc11617620160708162143.pdf
08/07/2016 15:03 - ZEZE | CI = 16618 | NOME_FISICO = 1468000950-27337600.pdf | NOME_ORIGINAL = Clube16.pdf | TAMANHO = 3206 | DESCRICAO = Clube16.pdf
08/07/2016 16:10 - RODRIGO_POIT | CI = 16619 | NOME_FISICO = 1468005030-96087600.pdf | NOME_ORIGINAL = despesas.pdf | TAMANHO = 618 | DESCRICAO = despesas.pdf
08/07/2016 17:35 - FABIOTOMASETTO | CI = 16620 | NOME_FISICO = 1468010144-57025100.xlsx | NOME_ORIGINAL = FERIAS 18_07.xlsx | TAMANHO = 9.55 | DESCRICAO = FERIAS 18_07.xlsx
11/07/2016 07:32 - MARCOS | CI = 16624 | NOME_FISICO = 1468233075-60150100.pdf | NOME_ORIGINAL = GareICMS.pdf | TAMANHO = 17 | DESCRICAO = GareICMS.pdf
11/07/2016 07:39 - MARCOS | CI = 16624 | NOME_FISICO = 1468233537-36712600.pdf | NOME_ORIGINAL = GARE ICMS.pdf | TAMANHO = 241 | DESCRICAO = GARE ICMS.pdf
11/07/2016 08:33 - ELTON | CI = 16625 | NOME_FISICO = 1468236797-03535300.pdf | NOME_ORIGINAL = Espelho de Ponto - Anderson Luiz Pereira de Franca.pdf | TAMANHO = 479 | DESCRICAO = Espelho de Ponto - Anderson Luiz Pereira de Franca.pdf
11/07/2016 08:43 - ROSEMEIRESGOTI | CI = 16628 | NOME_FISICO = 1468237366-73847800.pdf | NOME_ORIGINAL = Recibo Hotel.pdf | TAMANHO = 451 | DESCRICAO = Recibo Hotel.pdf
11/07/2016 08:43 - ROSEMEIRESGOTI | CI = 16628 | NOME_FISICO = 1468237366-77885800.pdf | NOME_ORIGINAL = Taxi.pdf | TAMANHO = 283 | DESCRICAO = Taxi.pdf
11/07/2016 08:43 - ROSEMEIRESGOTI | CI = 16628 | NOME_FISICO = 1468237366-79288100.pdf | NOME_ORIGINAL = Alimentação e Onibus.pdf | TAMANHO = 481 | DESCRICAO = Alimentação e Onibus.pdf
11/07/2016 19:57 - MATHEUSUZELOTTO | CI = 16639 | NOME_FISICO = 1468277860-92562700.pdf | NOME_ORIGINAL = 17-06-16.pdf | TAMANHO = 926 | DESCRICAO = 17-06-16.pdf
11/07/2016 20:03 - MATHEUSUZELOTTO | CI = 16640 | NOME_FISICO = 1468278197-53500100.pdf | NOME_ORIGINAL = 02-07-16.pdf | TAMANHO = 519 | DESCRICAO = 02-07-16.pdf
11/07/2016 20:03 - MATHEUSUZELOTTO | CI = 16640 | NOME_FISICO = 1468278202-50375100.pdf | NOME_ORIGINAL = 02-07-16 (1).pdf | TAMANHO = 737 | DESCRICAO = 02-07-16 (1).pdf
12/07/2016 08:40 - MARCOS | CI = 16641 | NOME_FISICO = 1468323599-80062600.pdf | NOME_ORIGINAL = GARE ICMS.pdf | TAMANHO = 241 | DESCRICAO = GARE ICMS.pdf
12/07/2016 08:49 - FRANCISCO | CI = 16642 | NOME_FISICO = 1468324141-69125200.pdf | NOME_ORIGINAL = DETRAN - TAXAS DE SERV .2016.pdf | TAMANHO = 316 | DESCRICAO = DETRAN - TAXAS DE SERV .2016.pdf
12/07/2016 09:19 - RODRIGO_POIT | CI = 16643 | NOME_FISICO = 1468325786-47250200.msg | NOME_ORIGINAL = PUBLICAÇÃO PROC. 1110814 - JOSÉ ROBERTO MARIANO.msg | TAMANHO = 60 | DESCRICAO = PUBLICAÇÃO PROC. 1110814 - JOSÉ ROBERTO MARIANO.msg
12/07/2016 10:59 - RODRIGO_POIT | CI = 16646 | NOME_FISICO = 1468331970-91000100.pdf | NOME_ORIGINAL = Ricardo Alexandre Pimentel - Proc.10600-04.2014 - Ata de Acordo.pdf | TAMANHO = 1387 | DESCRICAO = Ricardo Alexandre Pimentel - Proc.10600-04.2014 - Ata de Acordo.pdf
12/07/2016 10:59 - RODRIGO_POIT | CI = 16646 | NOME_FISICO = 1468331970-92963200.msg | NOME_ORIGINAL = SENTENÇA PROC. 1060014 - RICARDO ALEXANDRE PIMENTEL.msg | TAMANHO = 128 | DESCRICAO = SENTENÇA PROC. 1060014 - RICARDO ALEXANDRE PIMENTEL.msg
12/07/2016 10:59 - RODRIGO_POIT | CI = 16646 | NOME_FISICO = 1468331970-94430200.pdf | NOME_ORIGINAL = cálculo reclamante.pdf | TAMANHO = 421 | DESCRICAO = cálculo reclamante.pdf
12/07/2016 11:28 - FRANCISCO | CI = 16647 | NOME_FISICO = 1468333678-31625200.pdf | NOME_ORIGINAL = CUPOM-TRANS.UNO.pdf | TAMANHO = 211 | DESCRICAO = CUPOM-TRANS.UNO.pdf
12/07/2016 12:18 - ROSEMEIRESGOTI | CI = 16648 | NOME_FISICO = 1468336673-58187600.pdf | NOME_ORIGINAL = Alimentação e Onibus.pdf | TAMANHO = 481 | DESCRICAO = Alimentação e Onibus.pdf
12/07/2016 13:22 - ALINEFERREIRA | CI = 16650 | NOME_FISICO = 1468340541-22250100.pdf | NOME_ORIGINAL = Perdas Físicas_1500.pdf | TAMANHO = 8.62 | DESCRICAO = Perdas Físicas_1500.pdf
12/07/2016 13:24 - ALINEFERREIRA | CI = 16651 | NOME_FISICO = 1468340656-84750200.pdf | NOME_ORIGINAL = Perdas Físicas_Transvale.pdf | TAMANHO = 8.54 | DESCRICAO = Perdas Físicas_Transvale
12/07/2016 15:19 - AREIAS | CI = 16656 | NOME_FISICO = 1468347534-41000000.pdf | NOME_ORIGINAL = BOLETO SANTA FE JANEIRO ATE JULHO.pdf | TAMANHO = 47 | DESCRICAO = BOLETO SANTA FE JANEIRO ATE JULHO.pdf
12/07/2016 15:28 - FRANCISCO | CI = 16657 | NOME_FISICO = 1468348081-67562600.pdf | NOME_ORIGINAL = AUTO INF.-1A620760-4.pdf | TAMANHO = 604 | DESCRICAO = AUTO INF.-1A620760-4.pdf
13/07/2016 08:11 - FRANCISCO | CI = 16662 | NOME_FISICO = 1468408257-51937700.pdf | NOME_ORIGINAL = CUPOM-RON-08-07.pdf | TAMANHO = 376 | DESCRICAO = CUPOM-RON-08-07.pdf
