02/05/2017 09:22 - FRANCISCO | CI = 20411 | NOME_FISICO = 1493727635-89706300.pdf | NOME_ORIGINAL = CUPOM RON.28-04-.pdf | TAMANHO = 611 | DESCRICAO = CUPOM RON.28-04-.pdf
09/05/2017 09:54 - SANTANA | CI = 20521 | NOME_FISICO = 1494334454-67162600.pdf | NOME_ORIGINAL = INSS S_Faturamento.pdf | TAMANHO = 1048 | DESCRICAO = INSS S_Faturamento.pdf
09/05/2017 09:54 - SANTANA | CI = 20521 | NOME_FISICO = 1494334454-70860600.pdf | NOME_ORIGINAL = Doc. Suporte.pdf | TAMANHO = 353 | DESCRICAO = Doc. Suporte.pdf
09/05/2017 10:21 - SANTANA | CI = 20520 | NOME_FISICO = 1494336092-34350100.pdf | NOME_ORIGINAL = Calculo Meses Anteriores.pdf | TAMANHO = 9.47 | DESCRICAO = Calculo Meses Anteriores.pdf
09/05/2017 14:51 - FRANCISCO | CI = 20523 | NOME_FISICO = 1494352291-95287600.pdf | NOME_ORIGINAL = BOLETO-LETRANS-FROTA-1531.pdf | TAMANHO = 337 | DESCRICAO = BOLETO-LETRANS-FROTA-1531.pdf
09/05/2017 16:32 - ELISSANDRA | CI = 20524 | NOME_FISICO = 1494358354-26537500.pdf | NOME_ORIGINAL = Untitled_20170509_162021.pdf | TAMANHO = 222 | DESCRICAO = Untitled_20170509_162021.pdf
09/05/2017 16:37 - ELISSANDRA | CI = 20525 | NOME_FISICO = 1494358665-53100100.pdf | NOME_ORIGINAL = Untitled_20170509_162425.pdf | TAMANHO = 228 | DESCRICAO = Untitled_20170509_162425.pdf
09/05/2017 16:47 - ELISSANDRA | CI = 20526 | NOME_FISICO = 1494359224-32787600.pdf | NOME_ORIGINAL = Untitled_20170509_163151.pdf | TAMANHO = 365 | DESCRICAO = Untitled_20170509_163151.pdf
09/05/2017 16:57 - ELISSANDRA | CI = 20527 | NOME_FISICO = 1494359691-60912500.pdf | NOME_ORIGINAL = Untitled_20170509_164239.pdf | TAMANHO = 221 | DESCRICAO = Untitled_20170509_164239.pdf
09/05/2017 17:15 - ELISSANDRA | CI = 20528 | NOME_FISICO = 1494360919-10912500.pdf | NOME_ORIGINAL = Untitled_20170509_170254.pdf | TAMANHO = 568 | DESCRICAO = Untitled_20170509_170254.pdf
09/05/2017 17:19 - ELISSANDRA | CI = 20529 | NOME_FISICO = 1494361141-07787600.pdf | NOME_ORIGINAL = Untitled_20170509_170644.pdf | TAMANHO = 330 | DESCRICAO = Untitled_20170509_170644.pdf
09/05/2017 17:36 - ELISSANDRA | CI = 20531 | NOME_FISICO = 1494362192-29662600.pdf | NOME_ORIGINAL = Untitled_20170509_172422.pdf | TAMANHO = 200 | DESCRICAO = Untitled_20170509_172422.pdf
10/05/2017 08:03 - FRANCISCO | CI = 20532 | NOME_FISICO = 1494414195-49975100.pdf | NOME_ORIGINAL = DETRAN  - TAXAS E SERVIÇOS-2017.pdf | TAMANHO = 364 | DESCRICAO = DETRAN  - TAXAS E SERVIÇOS-2017.pdf
10/05/2017 10:51 - MARCOS | CI = 20538 | NOME_FISICO = 1494424129-20287600.pdf | NOME_ORIGINAL = GareICMS.pdf | TAMANHO = 98 | DESCRICAO = GareICMS.pdf
10/05/2017 10:51 - MARCOS | CI = 20538 | NOME_FISICO = 1494424156-01537600.pdf | NOME_ORIGINAL = Faz MM2.pdf | TAMANHO = 22 | DESCRICAO = Faz MM2.pdf
10/05/2017 11:00 - RODRIGO_POIT | CI = 20539 | NOME_FISICO = 1494424655-96850000.msg | NOME_ORIGINAL = RES SENTENÇA EMBARGOS DECLARATÓRIOS PROC. 1177715 - ROSALVO DE JESUS SANTOS.msg | TAMANHO = 69 | DESCRICAO = RES SENTENÇA EMBARGOS DECLARATÓRIOS PROC. 1177715 - ROSALVO DE JESUS SANTOS.msg
10/05/2017 13:03 - FERNANDOPIRES | CI = 20542 | NOME_FISICO = 1494432133-54662600.pdf | NOME_ORIGINAL = FF - Despesas diversas - 10-05-17.pdf | TAMANHO = 1298 | DESCRICAO = FF - Despesas diversas - 10-05-17.pdf
10/05/2017 13:05 - FERNANDOPIRES | CI = 20543 | NOME_FISICO = 1494432304-53100100.pdf | NOME_ORIGINAL = Boleto Ticket - 02-06-2017.pdf | TAMANHO = 62 | DESCRICAO = Boleto Ticket - 02-06-2017.pdf
10/05/2017 13:05 - FERNANDOPIRES | CI = 20543 | NOME_FISICO = 1494432304-54586900.pdf | NOME_ORIGINAL = Nota Fiscal Ticket.pdf | TAMANHO = 9.62 | DESCRICAO = Nota Fiscal Ticket.pdf
10/05/2017 13:06 - FERNANDOPIRES | CI = 20544 | NOME_FISICO = 1494432388-12475100.pdf | NOME_ORIGINAL = Boleto FMU - 07-06-17.pdf | TAMANHO = 16 | DESCRICAO = Boleto FMU - 07-06-17.pdf
10/05/2017 13:58 - JULIANACORREA | CI = 20546 | NOME_FISICO = 1494435493-43725100.pdf | NOME_ORIGINAL = MAPA ANTIGO 494 - F - LOURDES RAVAGNANI DE BORTOLO.pdf | TAMANHO = 138 | DESCRICAO = MAPA ANTIGO 494 - F - LOURDES RAVAGNANI DE BORTOLO.pdf
10/05/2017 13:58 - JULIANACORREA | CI = 20546 | NOME_FISICO = 1494435501-29662600.pdf | NOME_ORIGINAL = MAPA NOVO 494 - F - LOURDES RAVAGNANI DE BORTOLO.pdf | TAMANHO = 130 | DESCRICAO = MAPA NOVO 494 - F - LOURDES RAVAGNANI DE BORTOLO.pdf
10/05/2017 14:11 - SANTANA | CI = 20547 | NOME_FISICO = 1494436305-35912600.PDF | NOME_ORIGINAL = DAMSP_ISS.PDF | TAMANHO = 57 | DESCRICAO = DAMSP_ISS.PDF
10/05/2017 14:11 - SANTANA | CI = 20547 | NOME_FISICO = 1494436305-41779200.pdf | NOME_ORIGINAL = Doc. Suporte.pdf | TAMANHO = 264 | DESCRICAO = Doc. Suporte.pdf
10/05/2017 14:37 - FERNANDOPIRES | CI = 20548 | NOME_FISICO = 1494437827-15600100.pdf | NOME_ORIGINAL = Boleto VB Serviços - 09-06-17.pdf | TAMANHO = 34 | DESCRICAO = Boleto VB Serviços - 09-06-17.pdf
10/05/2017 15:06 - REGI | CI = 20551 | NOME_FISICO = 1494439585-04662600.msg | NOME_ORIGINAL = Pagamentos Fornecedores_Abril_17.msg | TAMANHO = 139 | DESCRICAO = Pagamentos Fornecedores_Abril_17.msg
11/05/2017 07:33 - SANTANA | CI = 20552 | NOME_FISICO = 1494498780-29662500.rar | NOME_ORIGINAL = Parcelamento Cod. 1194 (Art. 1º - PGFN) IPI (safras 1992_1993, 1993_1994 e 1994_1995) I.rar | TAMANHO = 48 | DESCRICAO = Parcelamento Cod. 1194 (Art. 1º - PGFN) IPI (safras 1992_1993, 1993_1994 e 1994_1995) I.rar
11/05/2017 07:33 - SANTANA | CI = 20552 | NOME_FISICO = 1494498780-46090100.rar | NOME_ORIGINAL = Parcelamento Cod. 1279 (Art. 1º - RFB) IPI (safras 1997_1998, 1998_1999 e 1999_2000) I.rar | TAMANHO = 47 | DESCRICAO = Parcelamento Cod. 1279 (Art. 1º - RFB) IPI (safras 1997_1998, 1998_1999 e 1999_2000) I.rar
11/05/2017 07:33 - SANTANA | CI = 20552 | NOME_FISICO = 1494498780-46773100.rar | NOME_ORIGINAL = Parcelamento Cod. 1285 (Art. 3º - RFB) COFINS (10 e 111997), CSLL (2004) e IRPJ (2003) I.rar | TAMANHO = 48 | DESCRICAO = Parcelamento Cod. 1285 (Art. 3º - RFB) COFINS (10 e 111997), CSLL (2004) e IRPJ (2003) I.rar
11/05/2017 07:39 - KLEBER | CI = 20553 | NOME_FISICO = 1494499163-82787600.pdf | NOME_ORIGINAL = IPTU - SENAI.pdf | TAMANHO = 1367 | DESCRICAO = IPTU - SENAI.pdf
11/05/2017 08:25 - SANTANA | CI = 20554 | NOME_FISICO = 1494501902-93725100.rar | NOME_ORIGINAL = AGRO - IRPJ RETIDO.rar | TAMANHO = 277 | DESCRICAO = AGRO - IRPJ RETIDO.rar
11/05/2017 08:29 - SANTANA | CI = 20555 | NOME_FISICO = 1494502165-42162500.rar | NOME_ORIGINAL = USINA - RCCP RETIDO.rar | TAMANHO = 3093 | DESCRICAO = USINA - RCCP RETIDO.rar
11/05/2017 08:32 - SANTANA | CI = 20556 | NOME_FISICO = 1494502323-21850100.rar | NOME_ORIGINAL = USINA - IRPJ RETIDO.rar | TAMANHO = 2502 | DESCRICAO = USINA - IRPJ RETIDO.rar
11/05/2017 08:34 - SANTANA | CI = 20557 | NOME_FISICO = 1494502456-10912600.rar | NOME_ORIGINAL = USINA - INSS RETIDO.rar | TAMANHO = 1631 | DESCRICAO = USINA - INSS RETIDO.rar
11/05/2017 10:43 - SANTANA | CI = 20560 | NOME_FISICO = 1494510188-21850000.rar | NOME_ORIGINAL = USINA - ISS RETIDO.rar | TAMANHO = 2374 | DESCRICAO = USINA - ISS RETIDO.rar
11/05/2017 11:39 - KLEBER | CI = 20561 | NOME_FISICO = 1494513541-03100100.pdf | NOME_ORIGINAL = Conta de Agua.pdf | TAMANHO = 671 | DESCRICAO = Conta de Agua.pdf
12/05/2017 08:48 - JOISYLOPES | CI = 20568 | NOME_FISICO = 1494589639-26500100.pdf | NOME_ORIGINAL = Estacionamento Araraquara.pdf | TAMANHO = 191 | DESCRICAO = Estacionamento Araraquara.pdf
12/05/2017 08:48 - JOISYLOPES | CI = 20568 | NOME_FISICO = 1494589645-57750100.pdf | NOME_ORIGINAL = Nota Almoço Audiências 11-05-17 Matão.pdf | TAMANHO = 242 | DESCRICAO = Nota Almoço Audiências 11-05-17 Matão.pdf
12/05/2017 09:31 - FRANCISCO | CI = 20569 | NOME_FISICO = 1494592270-09312600.pdf | NOME_ORIGINAL = CUPOM-RON. - 10-05.pdf | TAMANHO = 511 | DESCRICAO = CUPOM-RON. - 10-05.pdf
12/05/2017 10:07 - FRANCISCO | CI = 20571 | NOME_FISICO = 1494594348-82750100.pdf | NOME_ORIGINAL = CUPOM-AIRT. - 10-05.pdf | TAMANHO = 341 | DESCRICAO = CUPOM-AIRT. - 10-05.pdf
12/05/2017 10:07 - FRANCISCO | CI = 20571 | NOME_FISICO = 1494594413-42362000.pdf | NOME_ORIGINAL = CUPOM - AIRT. 11-05.pdf | TAMANHO = 404 | DESCRICAO = CUPOM - AIRT. 11-05.pdf
12/05/2017 10:55 - RODRIGO_POIT | CI = 20572 | NOME_FISICO = 1494597039-96812600.msg | NOME_ORIGINAL = PETIÇÃO PAGAMENTO DIFERENÇA PROC. 1006814 - LAUDELINO MARIANO.msg | TAMANHO = 105 | DESCRICAO = PETIÇÃO PAGAMENTO DIFERENÇA PROC. 1006814 - LAUDELINO MARIANO.msg
12/05/2017 10:55 - RODRIGO_POIT | CI = 20572 | NOME_FISICO = 1494597039-98999300.pdf | NOME_ORIGINAL = CÁLCULO REFEITO.pdf | TAMANHO = 681 | DESCRICAO = CÁLCULO REFEITO.pdf
12/05/2017 10:55 - RODRIGO_POIT | CI = 20572 | NOME_FISICO = 1494597040-00837000.pdf | NOME_ORIGINAL = Cálculo antigo.pdf | TAMANHO = 1138 | DESCRICAO = Cálculo antigo.pdf
12/05/2017 11:38 - FRANCISCO | CI = 20573 | NOME_FISICO = 1494599915-53062600.pdf | NOME_ORIGINAL = AUTORIZAÇÃO EMPLACAMENTO.pdf | TAMANHO = 324 | DESCRICAO = AUTORIZAÇÃO EMPLACAMENTO.pdf
15/05/2017 07:36 - MATHEUSRODRIGUES | CI = 20580 | NOME_FISICO = 1494843862-98375100.pdf | NOME_ORIGINAL = CI_AGRISSUMIT_SP_11_05_17.pdf | TAMANHO = 3124 | DESCRICAO = CI_AGRISSUMIT_SP_11_05_17.pdf
15/05/2017 08:09 - RODRIGO_POIT | CI = 20581 | NOME_FISICO = 1494846061-57750100.htm | NOME_ORIGINAL = Laercio Miguel - Ata da Audiência 12-05-17 -.htm | TAMANHO = 17 | DESCRICAO = Laercio Miguel - Ata da Audiência 12-05-17 -.htm
15/05/2017 08:09 - RODRIGO_POIT | CI = 20581 | NOME_FISICO = 1494846061-87974400.pdf | NOME_ORIGINAL = LAERCIO MIGUEL.pdf | TAMANHO = 585 | DESCRICAO = LAERCIO MIGUEL.pdf
15/05/2017 08:53 - RODRIGO_POIT | CI = 20586 | NOME_FISICO = 1494848608-65562600.htm | NOME_ORIGINAL = JOSÉ ROBERTO DA SILVA - Ata da Audiência 11-05-2017 -.htm | TAMANHO = 17 | DESCRICAO = JOSÉ ROBERTO DA SILVA - Ata da Audiência 11-05-2017 -.htm
15/05/2017 08:53 - RODRIGO_POIT | CI = 20586 | NOME_FISICO = 1494848633-43954100.pdf | NOME_ORIGINAL = JOSE ROBERTO DA SILVA.pdf | TAMANHO = 712 | DESCRICAO = JOSE ROBERTO DA SILVA.pdf
15/05/2017 09:41 - RODRIGO_POIT | CI = 20589 | NOME_FISICO = 1494851845-71812500.pdf | NOME_ORIGINAL = 10715.pdf | TAMANHO = 907 | DESCRICAO = 10715.pdf
15/05/2017 09:46 - RODRIGO_POIT | CI = 20589 | NOME_FISICO = 1494852395-12437600.pdf | NOME_ORIGINAL = ata.pdf | TAMANHO = 907 | DESCRICAO = ata.pdf
15/05/2017 09:46 - RODRIGO_POIT | CI = 20589 | NOME_FISICO = 1494852395-14726000.pdf | NOME_ORIGINAL = cálculo.pdf | TAMANHO = 302 | DESCRICAO = cálculo.pdf
15/05/2017 10:12 - RODRIGO_POIT | CI = 20591 | NOME_FISICO = 1494853819-65562600.htm | NOME_ORIGINAL = RICARDO NAZARENO MATHIAS - Ata da Audiência 11-05-2017 -.htm | TAMANHO = 17 | DESCRICAO = RICARDO NAZARENO MATHIAS - Ata da Audiência 11-05-2017 -.htm
15/05/2017 10:12 - RODRIGO_POIT | CI = 20591 | NOME_FISICO = 1494853819-67208300.pdf | NOME_ORIGINAL = Cálculo.pdf | TAMANHO = 969 | DESCRICAO = Cálculo.pdf
15/05/2017 10:56 - RODRIGO_POIT | CI = 20592 | NOME_FISICO = 1494856205-82750100.pdf | NOME_ORIGINAL = ata.pdf | TAMANHO = 900 | DESCRICAO = ata.pdf
15/05/2017 10:56 - RODRIGO_POIT | CI = 20592 | NOME_FISICO = 1494856205-85055100.pdf | NOME_ORIGINAL = cálculo.pdf | TAMANHO = 703 | DESCRICAO = cálculo.pdf
15/05/2017 11:39 - RODRIGO_POIT | CI = 20593 | NOME_FISICO = 1494859159-73375100.msg | NOME_ORIGINAL = RES SENTENÇA PROC. 1000616 - ADRIANO ALVES DE OLIVEIRA.msg | TAMANHO = 109 | DESCRICAO = RES SENTENÇA PROC. 1000616 - ADRIANO ALVES DE OLIVEIRA.msg
15/05/2017 13:20 - MARTA | CI = 20594 | NOME_FISICO = 1494865201-37437600.pdf | NOME_ORIGINAL = Despesa 11-05-2017.pdf | TAMANHO = 305 | DESCRICAO = Despesa refeição
15/05/2017 14:10 - GRAZIELA | CI = 20598 | NOME_FISICO = 1494868180-15562600.pdf | NOME_ORIGINAL = Notas de refeição.pdf | TAMANHO = 446 | DESCRICAO = Cupons Fiscais
16/05/2017 09:06 - DANILO | CI = 20602 | NOME_FISICO = 1494936338-70762600.pdf | NOME_ORIGINAL = NF Rafaela 008.pdf | TAMANHO = 454 | DESCRICAO = NF Rafaela 008.pdf
17/05/2017 09:20 - LUZMARINA | CI = 20614 | NOME_FISICO = 1495023062-36512600.pdf | NOME_ORIGINAL = Ofício E.M.E.F. Anita Ferraz Malzoni 2017.pdf | TAMANHO = 535 | DESCRICAO = Ofício E.M.E.F. Anita Ferraz Malzoni 2017.pdf
17/05/2017 10:48 - LUCIANOHENRIQUE | CI = 20618 | NOME_FISICO = 1495028893-31825000.pdf | NOME_ORIGINAL = Untitled_05162017_160513.pdf | TAMANHO = 540 | DESCRICAO = Untitled_05162017_160513.pdf
17/05/2017 11:34 - KLEBER | CI = 20619 | NOME_FISICO = 1495031670-14637500.pdf | NOME_ORIGINAL = 04-2017 - Usina Santa Fé - Diretores - Boleto.pdf | TAMANHO = 127 | DESCRICAO = 04-2017 - Usina Santa Fé - Diretores - Boleto.pdf
17/05/2017 15:51 - MICHELAAUGUSTO | CI = 20622 | NOME_FISICO = 1495046801-97450100.pdf | NOME_ORIGINAL = Reembolso despesas de viagem.pdf | TAMANHO = 418 | DESCRICAO = Reembolso despesas de viagem.pdf
17/05/2017 15:59 - RODRIGO_POIT | CI = 20623 | NOME_FISICO = 1495047547-05262600.msg | NOME_ORIGINAL = ENC SUSTAÇÃO PROTESTO.msg | TAMANHO = 345 | DESCRICAO = ENC SUSTAÇÃO PROTESTO.msg
17/05/2017 16:41 - ERIC | CI = 20624 | NOME_FISICO = 1495050073-34950100.pdf | NOME_ORIGINAL = COGEN - 06-17.pdf | TAMANHO = 38 | DESCRICAO = COGEN 06-2017
17/05/2017 16:49 - KLEBER | CI = 20619 | NOME_FISICO = 1495050538-53700100.pdf | NOME_ORIGINAL = 04-2017 - Usina Santa Fé - Funcionários - Boleto.pdf | TAMANHO = 127 | DESCRICAO = 04-2017 - Usina Santa Fé - Funcionários - Boleto.pdf
18/05/2017 09:17 - FRANCISCO | CI = 20627 | NOME_FISICO = 1495109815-77137500.pdf | NOME_ORIGINAL = CUPOM-AIRT. 16-05.pdf | TAMANHO = 221 | DESCRICAO = CUPOM-AIRT. 16-05.pdf
18/05/2017 09:23 - FRANCISCO | CI = 20628 | NOME_FISICO = 1495110039-63075000.pdf | NOME_ORIGINAL = CUPOM-AIRT.-17-05.pdf | TAMANHO = 422 | DESCRICAO = CUPOM-AIRT.-17-05.pdf
18/05/2017 09:47 - FRANCISCO | CI = 20629 | NOME_FISICO = 1495111639-72450100.pdf | NOME_ORIGINAL = AUTO INF - 654338-37.pdf | TAMANHO = 479 | DESCRICAO = AUTO INF - 654338-37.pdf
18/05/2017 10:37 - FRANCISCO | CI = 20630 | NOME_FISICO = 1495114651-77137700.pdf | NOME_ORIGINAL = DETRAN  - TAXAS E SERVIÇOS-2017.pdf | TAMANHO = 364 | DESCRICAO = DETRAN  - TAXAS E SERVIÇOS-2017.pdf
18/05/2017 14:48 - RODRIGO_POIT | CI = 20633 | NOME_FISICO = 1495129648-92762600.pdf | NOME_ORIGINAL = Auto de Infração nº 39027-2017.pdf | TAMANHO = 1770 | DESCRICAO = Auto de Infração nº 39027-2017.pdf
