02/10/2017 10:21 - MONICA | CI = 22143 | NOME_FISICO = 1506950477-62487600.msg | NOME_ORIGINAL = ASSINATURA CONSECANA.msg | TAMANHO = 138 | DESCRICAO = ASSINATURA CONSECANA.msg
05/10/2017 15:43 - RODRIGO_POIT | CI = 22206 | NOME_FISICO = 1507228987-34460300.pdf | NOME_ORIGINAL = Custas.pdf | TAMANHO = 170 | DESCRICAO = Custas.pdf
05/10/2017 15:49 - ELISSANDRA | CI = 22209 | NOME_FISICO = 1507229334-65710200.pdf | NOME_ORIGINAL = Untitled_20171005_154343.pdf | TAMANHO = 345 | DESCRICAO = Untitled_20171005_154343.pdf
06/10/2017 08:02 - OTAVIOGIRO | CI = 22213 | NOME_FISICO = 1507287669-46525100.pdf | NOME_ORIGINAL = Ronaldo - Tom 29-09-2017.pdf | TAMANHO = 411 | DESCRICAO = Ronaldo - Tom 29-09-2017.pdf
06/10/2017 08:14 - OTAVIOGIRO | CI = 22214 | NOME_FISICO = 1507288222-93400100.pdf | NOME_ORIGINAL = Ronaldo Diretoria.pdf | TAMANHO = 756 | DESCRICAO = Ronaldo Diretoria.pdf
06/10/2017 08:21 - OTAVIOGIRO | CI = 22215 | NOME_FISICO = 1507288876-98087600.pdf | NOME_ORIGINAL = Ronaldo Diretoria.pdf | TAMANHO = 756 | DESCRICAO = Ronaldo Diretoria.pdf
06/10/2017 08:41 - RODRIGO_POIT | CI = 22217 | NOME_FISICO = 1507286862-62150100.pdf | NOME_ORIGINAL = 1183-95.2012-Ata.pdf | TAMANHO = 439 | DESCRICAO = 1183-95.2012-Ata.pdf
06/10/2017 08:41 - RODRIGO_POIT | CI = 22217 | NOME_FISICO = 1507286863-15849700.msg | NOME_ORIGINAL = PUBLICAÇÃO PROC. 118312 - CARLOS ROBERTO ROSA.msg | TAMANHO = 185 | DESCRICAO = PUBLICAÇÃO PROC. 118312 - CARLOS ROBERTO ROSA.msg
06/10/2017 08:41 - RODRIGO_POIT | CI = 22217 | NOME_FISICO = 1507290057-39493600.pdf | NOME_ORIGINAL = Atualização crédito+inss+custas+honorários contabeis.pdf | TAMANHO = 162 | DESCRICAO = Atualização crédito+inss+custas+honorários contabeis.pdf
06/10/2017 08:41 - RODRIGO_POIT | CI = 22217 | NOME_FISICO = 1507290057-41747100.pdf | NOME_ORIGINAL = Guias 30%+Hon. Contabeis+Custas+Parcelas.pdf | TAMANHO = 103 | DESCRICAO = Guias 30%+Hon. Contabeis+Custas+Parcelas.pdf
06/10/2017 09:57 - RODRIGO_POIT | CI = 22218 | NOME_FISICO = 1507294613-10587600.pdf | NOME_ORIGINAL = Ata.pdf | TAMANHO = 1091 | DESCRICAO = Ata.pdf
06/10/2017 09:57 - RODRIGO_POIT | CI = 22218 | NOME_FISICO = 1507294613-13196400.pdf | NOME_ORIGINAL = Atualização Crédito.pdf | TAMANHO = 133 | DESCRICAO = Atualização Crédito.pdf
06/10/2017 09:59 - DONIZETE | CI = 22219 | NOME_FISICO = 1507294735-82462700.pdf | NOME_ORIGINAL = Dropbox_USF.pdf | TAMANHO = 178 | DESCRICAO = Dropbox_USF.pdf
06/10/2017 11:14 - LUISMORETTI | CI = 22224 | NOME_FISICO = 1507299231-76212600.pdf | NOME_ORIGINAL = Comprovante de pagamento.pdf | TAMANHO = 278 | DESCRICAO = Comprovante de pagamento.pdf
06/10/2017 13:52 - FERNANDOPIRES | CI = 22225 | NOME_FISICO = 1507308633-40275100.pdf | NOME_ORIGINAL = Boleto Ticket - 03-11-2017.pdf | TAMANHO = 62 | DESCRICAO = Boleto Ticket - 03-11-2017.pdf
06/10/2017 13:52 - FERNANDOPIRES | CI = 22225 | NOME_FISICO = 1507308633-67315100.pdf | NOME_ORIGINAL = Nota Fiscal Ticket.pdf | TAMANHO = 9.63 | DESCRICAO = Nota Fiscal Ticket.pdf
06/10/2017 15:03 - RODRIGO_POIT | CI = 22227 | NOME_FISICO = 1507312967-74650100.pdf | NOME_ORIGINAL = 11129-86.2015-Ata.pdf | TAMANHO = 781 | DESCRICAO = 11129-86.2015-Ata.pdf
06/10/2017 15:03 - RODRIGO_POIT | CI = 22227 | NOME_FISICO = 1507312968-55313500.pdf | NOME_ORIGINAL = CUSTAS.pdf | TAMANHO = 170 | DESCRICAO = CUSTAS.pdf
06/10/2017 15:03 - RODRIGO_POIT | CI = 22227 | NOME_FISICO = 1507312968-75813500.xlsx | NOME_ORIGINAL = Cálculo.xlsx | TAMANHO = 146 | DESCRICAO = Cálculo.xlsx
09/10/2017 07:55 - MICHELAAUGUSTO | CI = 22236 | NOME_FISICO = 1507546509-34025100.pdf | NOME_ORIGINAL = FISF0064 - DSEM.pdf | TAMANHO = 13 | DESCRICAO = FISF0064 - DSEM.pdf
09/10/2017 07:55 - MICHELAAUGUSTO | CI = 22236 | NOME_FISICO = 1507546514-73087600.pdf | NOME_ORIGINAL = CPAF0017 - DSEM.pdf | TAMANHO = 14 | DESCRICAO = CPAF0017 - DSEM.pdf
09/10/2017 08:10 - MICHELAAUGUSTO | CI = 22237 | NOME_FISICO = 1507547104-87150200.pdf | NOME_ORIGINAL = FISF0064 - DSEM.pdf | TAMANHO = 29 | DESCRICAO = FISF0064 - DSEM.pdf
09/10/2017 08:10 - MICHELAAUGUSTO | CI = 22237 | NOME_FISICO = 1507547111-88712600.pdf | NOME_ORIGINAL = CPAF0017 - DSEM.pdf | TAMANHO = 19 | DESCRICAO = CPAF0017 - DSEM.pdf
09/10/2017 08:10 - MICHELAAUGUSTO | CI = 22237 | NOME_FISICO = 1507547406-23087600.pdf | NOME_ORIGINAL = DARF Código 1708.pdf | TAMANHO = 24 | DESCRICAO = DARF Código 1708.pdf
09/10/2017 08:10 - MICHELAAUGUSTO | CI = 22237 | NOME_FISICO = 1507547412-10587600.pdf | NOME_ORIGINAL = DARF Código 3280.pdf | TAMANHO = 24 | DESCRICAO = DARF Código 3280.pdf
09/10/2017 08:10 - MICHELAAUGUSTO | CI = 22237 | NOME_FISICO = 1507547418-34025200.pdf | NOME_ORIGINAL = DARF Código 5944.pdf | TAMANHO = 24 | DESCRICAO = DARF Código 5944.pdf
09/10/2017 08:23 - ZEZE | CI = 22238 | NOME_FISICO = 1507548161-71525100.pdf | NOME_ORIGINAL = Anderson out 17.pdf | TAMANHO = 315 | DESCRICAO = Anderson out 17.pdf
09/10/2017 14:20 - STEFANIAESTEVO | CI = 22246 | NOME_FISICO = 1507569617-13712700.pdf | NOME_ORIGINAL = CUPOM FISCAL-BRUNO.pdf | TAMANHO = 325 | DESCRICAO = CUPOM FISCAL
10/10/2017 09:01 - ERIKAOLIVEIRA | CI = 22253 | NOME_FISICO = 1507636416-47287700.pdf | NOME_ORIGINAL = Apuração Setembro.pdf | TAMANHO = 39 | DESCRICAO = Apuração Setembro.pdf
10/10/2017 09:01 - ERIKAOLIVEIRA | CI = 22253 | NOME_FISICO = 1507636421-72287600.pdf | NOME_ORIGINAL = Balancete Set-2017.pdf | TAMANHO = 11 | DESCRICAO = Balancete Set-2017.pdf
10/10/2017 09:01 - ERIKAOLIVEIRA | CI = 22253 | NOME_FISICO = 1507636426-72287600.png | NOME_ORIGINAL = Calculo IRPJ e CSSL Setembro 2017.png | TAMANHO = 241 | DESCRICAO = Calculo IRPJ e CSSL Setembro 2017.png
10/10/2017 10:42 - GRAZIELA | CI = 22257 | NOME_FISICO = 1507642927-12912700.pdf | NOME_ORIGINAL = Impressao.pdf | TAMANHO = 54 | DESCRICAO = BOLETO ARISP
10/10/2017 11:21 - REGI | CI = 22258 | NOME_FISICO = 1507645269-37912600.msg | NOME_ORIGINAL = Pagamento CCT Fornecedores- Setembro_16.msg | TAMANHO = 41 | DESCRICAO = Pagamento CCT Fornecedores- Setembro_16.msg
10/10/2017 14:19 - JOISYLOPES | CI = 22259 | NOME_FISICO = 1507655958-03537600.pdf | NOME_ORIGINAL = Nota 10_10_17.pdf | TAMANHO = 225 | DESCRICAO = Nota 10_10_17.pdf
10/10/2017 15:16 - ZEZE | CI = 22261 | NOME_FISICO = 1507659358-48850100.pdf | NOME_ORIGINAL = Documentos.pdf | TAMANHO = 6519 | DESCRICAO = Documentos.pdf
10/10/2017 16:32 - MARTA | CI = 22262 | NOME_FISICO = 1507663956-44162600.pdf | NOME_ORIGINAL = Despesa 09 10 2017.pdf | TAMANHO = 289 | DESCRICAO = Despesa
10/10/2017 17:00 - JAQUELINEFERREIRA | CI = 22263 | NOME_FISICO = 1507665610-20725200.pdf | NOME_ORIGINAL = NF_PEÇAS GOTEJO 6.pdf | TAMANHO = 286 | DESCRICAO = NF_PEÇAS GOTEJO 6.pdf
11/10/2017 09:03 - MICHELAAUGUSTO | CI = 22267 | NOME_FISICO = 1507723381-91037600.pdf | NOME_ORIGINAL = FATF0031 AGRO - 08.2017 (funrural RETIFICADO).pdf | TAMANHO = 119 | DESCRICAO = FATF0031 AGRO - 08.2017 (funrural RETIFICADO).pdf
11/10/2017 09:03 - MICHELAAUGUSTO | CI = 22267 | NOME_FISICO = 1507723396-51975100.pdf | NOME_ORIGINAL = GPS 0009-85 (Arquivo Retificado).pdf | TAMANHO = 129 | DESCRICAO = GPS 0009-85 (Arquivo Retificado).pdf
11/10/2017 09:03 - MICHELAAUGUSTO | CI = 22267 | NOME_FISICO = 1507723403-80100100.pdf | NOME_ORIGINAL = GPS 0012-80 (Arquivo Retificado).pdf | TAMANHO = 129 | DESCRICAO = GPS 0012-80 (Arquivo Retificado).pdf
11/10/2017 09:03 - MICHELAAUGUSTO | CI = 22267 | NOME_FISICO = 1507723411-41037700.pdf | NOME_ORIGINAL = GPS 0017-95 (Arquivo Retificado).pdf | TAMANHO = 129 | DESCRICAO = GPS 0017-95 (Arquivo Retificado).pdf
11/10/2017 09:03 - MICHELAAUGUSTO | CI = 22267 | NOME_FISICO = 1507723419-22287700.pdf | NOME_ORIGINAL = GPS 0019-57 (Arquivo Retificado).pdf | TAMANHO = 129 | DESCRICAO = GPS 0019-57 (Arquivo Retificado).pdf
11/10/2017 09:35 - FERNANDOPIRES | CI = 22269 | NOME_FISICO = 1507725329-70725200.pdf | NOME_ORIGINAL = FF - Despesas diversas - 11-10-2017.pdf | TAMANHO = 1057 | DESCRICAO = FF - Despesas diversas - 11-10-2017.pdf
11/10/2017 09:37 - FERNANDOPIRES | CI = 22270 | NOME_FISICO = 1507725456-01975100.pdf | NOME_ORIGINAL = 11 - Boleto FMU - 08-11-2017.pdf | TAMANHO = 16 | DESCRICAO = 11 - Boleto FMU - 08-11-2017.pdf
11/10/2017 09:39 - FERNANDOPIRES | CI = 22271 | NOME_FISICO = 1507725524-97287600.pdf | NOME_ORIGINAL = Boleto VB - 10-11-2017.pdf | TAMANHO = 99 | DESCRICAO = Boleto VB - 10-11-2017.pdf
11/10/2017 10:51 - RODRIGO_POIT | CI = 22272 | NOME_FISICO = 1507729892-70725100.msg | NOME_ORIGINAL = Nota fiscal Usina Santa Fé 1474 SETEMBRO 2017.msg | TAMANHO = 253 | DESCRICAO = Nota fiscal Usina Santa Fé 1474 SETEMBRO 2017.msg
11/10/2017 14:57 - MARTA | CI = 22275 | NOME_FISICO = 1507744632-72287600.pdf | NOME_ORIGINAL = Despesa 11 10 2017.pdf | TAMANHO = 236 | DESCRICAO = Despesa
11/10/2017 15:22 - MARTA | CI = 22277 | NOME_FISICO = 1507745960-42600100.pdf | NOME_ORIGINAL = Despesa 11 10 2017 1.pdf | TAMANHO = 438 | DESCRICAO = Despesa
11/10/2017 15:42 - MARTA | CI = 22278 | NOME_FISICO = 1507747195-48850100.pdf | NOME_ORIGINAL = 09-2017 - Usina Santa Fé - Diretores - Boleto.pdf | TAMANHO = 76 | DESCRICAO = Boleto
11/10/2017 15:42 - MARTA | CI = 22278 | NOME_FISICO = 1507747196-60779800.pdf | NOME_ORIGINAL = 09-2017 - Usina Santa Fé - Funcionários - Boleto.pdf | TAMANHO = 76 | DESCRICAO = Boleto
11/10/2017 15:49 - FERNANDOPIRES | CI = 22280 | NOME_FISICO = 1507747616-14475100.pdf | NOME_ORIGINAL = Boleto manutenção do ar condicionado- 20-10-2017.pdf | TAMANHO = 54 | DESCRICAO = Boleto manutenção do ar condicionado- 20-10-2017.pdf
11/10/2017 15:49 - FERNANDOPIRES | CI = 22280 | NOME_FISICO = 1507747616-52723600.pdf | NOME_ORIGINAL = N.F. 1221 - Usina Santa Fé.pdf | TAMANHO = 51 | DESCRICAO = N.F. 1221 - Usina Santa Fé.pdf
11/10/2017 16:43 - ELISSANDRA | CI = 22281 | NOME_FISICO = 1507751024-67600100.pdf | NOME_ORIGINAL = Untitled_20171011_163909.pdf | TAMANHO = 238 | DESCRICAO = Untitled_20171011_163909.pdf
11/10/2017 16:48 - ELISSANDRA | CI = 22283 | NOME_FISICO = 1507751282-08225100.pdf | NOME_ORIGINAL = Untitled_20171011_164241.pdf | TAMANHO = 416 | DESCRICAO = Untitled_20171011_164241.pdf
13/10/2017 10:29 - VALDINEI | CI = 22284 | NOME_FISICO = 1507901335-16037600.pdf | NOME_ORIGINAL = CONTA DE ÁGUA  - OUTUBRO - VENC -10-10- 2017 REF MÊS 9.pdf | TAMANHO = 589 | DESCRICAO = CONTA DE ÁGUA  - OUTUBRO - VENC -10-10- 2017 REF MÊS 9.pdf
13/10/2017 10:29 - VALDINEI | CI = 22284 | NOME_FISICO = 1507901347-28537600.pdf | NOME_ORIGINAL = CONTA DE ÁGUA  - OUTUBRO - VENC -25-10- 2017 REF PAR 6.pdf | TAMANHO = 466 | DESCRICAO = CONTA DE ÁGUA  - OUTUBRO - VENC -25-10- 2017 REF PAR 6.pdf
13/10/2017 10:33 - VALDINEI | CI = 22285 | NOME_FISICO = 1507901594-81662600.pdf | NOME_ORIGINAL = CONTA DE ÁGUA - 10-10-17 ref mês 9.pdf | TAMANHO = 502 | DESCRICAO = CONTA DE ÁGUA - 10-10-17 ref mês 9.pdf
13/10/2017 10:37 - VALDINEI | CI = 22286 | NOME_FISICO = 1507901828-20725100.pdf | NOME_ORIGINAL = Boleto - Outubro - 2017.pdf | TAMANHO = 634 | DESCRICAO = Boleto - Outubro - 2017.pdf
13/10/2017 10:44 - VALDINEI | CI = 22287 | NOME_FISICO = 1507902230-23850200.pdf | NOME_ORIGINAL = CONTA DE ÁGUA - VENC 10-10-2017 ref mês 9.pdf | TAMANHO = 498 | DESCRICAO = CONTA DE ÁGUA - VENC 10-10-2017 ref mês 9.pdf
13/10/2017 10:44 - VALDINEI | CI = 22287 | NOME_FISICO = 1507902249-42600200.pdf | NOME_ORIGINAL = CONTA DE ÁGUA - VENC 25-10-2017 parcela 6.pdf | TAMANHO = 481 | DESCRICAO = CONTA DE ÁGUA - VENC 25-10-2017 parcela 6.pdf
16/10/2017 08:41 - ZEZE | CI = 22261 | NOME_FISICO = 1508150484-23887600.pdf | NOME_ORIGINAL = Untitled_10162017_041944.pdf | TAMANHO = 1375 | DESCRICAO = Untitled_10162017_041944.pdf
16/10/2017 08:41 - ZEZE | CI = 22261 | NOME_FISICO = 1508150497-70762600.pdf | NOME_ORIGINAL = Documentos.pdf | TAMANHO = 6519 | DESCRICAO = Documentos.pdf
16/10/2017 09:56 - CRISTIANOALVES | CI = 22297 | NOME_FISICO = 1508154978-27012600.pdf | NOME_ORIGINAL = Planilha apuração - 09.2017.pdf | TAMANHO = 38 | DESCRICAO = Planilha apuração - 09.2017
16/10/2017 13:28 - MICHELAAUGUSTO | CI = 22299 | NOME_FISICO = 1508167690-89512600.pdf | NOME_ORIGINAL = Untitled_20171016_121051.pdf | TAMANHO = 50 | DESCRICAO = Untitled_20171016_121051.pdf
16/10/2017 14:03 - RODRIGO_POIT | CI = 22301 | NOME_FISICO = 1508169785-97325100.htm | NOME_ORIGINAL = Ata - 11086-81.2017.htm | TAMANHO = 16 | DESCRICAO = Ata - 11086-81.2017.htm
16/10/2017 14:03 - RODRIGO_POIT | CI = 22301 | NOME_FISICO = 1508169794-44667800.msg | NOME_ORIGINAL = DADOS BANCÁRIOS.msg | TAMANHO = 94 | DESCRICAO = DADOS BANCÁRIOS.msg
16/10/2017 14:43 - MARCELOGODOI | CI = 22302 | NOME_FISICO = 1508172198-81700100.pdf | NOME_ORIGINAL = CARTÓRIO.pdf | TAMANHO = 248 | DESCRICAO = CARTÓRIO.pdf
16/10/2017 16:06 - ELISSANDRA | CI = 22303 | NOME_FISICO = 1508177134-75450100.pdf | NOME_ORIGINAL = Untitled_20171016_145759.pdf | TAMANHO = 2535 | DESCRICAO = Untitled_20171016_145759.pdf
17/10/2017 10:08 - RODRIGO_POIT | CI = 22306 | NOME_FISICO = 1508242021-28575200.msg | NOME_ORIGINAL = TERMO DE AUDIÊNCIA PROC. 1091417 - JOSINO FELIX DOS SANTOS.msg | TAMANHO = 77 | DESCRICAO = TERMO DE AUDIÊNCIA PROC. 1091417 - JOSINO FELIX DOS SANTOS.msg
17/10/2017 10:50 - RODRIGO_POIT | CI = 22307 | NOME_FISICO = 1508244622-83262600.msg | NOME_ORIGINAL = ENC RES Ação Matilde Granado - Tabapuã - feito n. 88812 - 0001488-95.2012.8.26.0607.msg | TAMANHO = 98 | DESCRICAO = ENC RES Ação Matilde Granado - Tabapuã - feito n. 88812 - 0001488-95.2012.8.26.0607.msg
17/10/2017 11:06 - RODRIGO_POIT | CI = 22308 | NOME_FISICO = 1508245404-47325100.msg | NOME_ORIGINAL = TERMO DE AUDIÊNCIA PROC. 1055817 - PAULO RICARDO CANO DIAS.msg | TAMANHO = 83 | DESCRICAO = TERMO DE AUDIÊNCIA PROC. 1055817 - PAULO RICARDO CANO DIAS.msg
17/10/2017 15:19 - RAQUEL | CI = 22313 | NOME_FISICO = 1508260713-77012600.PDF | NOME_ORIGINAL = Projeto 9 05 390.PDF | TAMANHO = 87 | DESCRICAO = Projeto 9 05 390.PDF
18/10/2017 07:55 - RAQUEL | CI = 22316 | NOME_FISICO = 1508320523-81700200.PDF | NOME_ORIGINAL = Projeto 9 05 641.PDF | TAMANHO = 85 | DESCRICAO = Projeto 9 05 641.PDF
18/10/2017 08:16 - KLEBER | CI = 22317 | NOME_FISICO = 1508321808-45762600.pdf | NOME_ORIGINAL = Conta de Agua.pdf | TAMANHO = 1040 | DESCRICAO = Conta de Agua.pdf
18/10/2017 10:02 - VELOSA | CI = 22319 | NOME_FISICO = 1508327948-66075200.docx | NOME_ORIGINAL = Doc.docx | TAMANHO = 182 | DESCRICAO = Doc.docx
18/10/2017 12:50 - MARCOS | CI = 22320 | NOME_FISICO = 1508338180-89512600.pdf | NOME_ORIGINAL = CND Municipal Agro.pdf | TAMANHO = 353 | DESCRICAO = CND Municipal Agro.pdf
18/10/2017 12:50 - MARCOS | CI = 22320 | NOME_FISICO = 1508338199-64512600.pdf | NOME_ORIGINAL = Gia de Recolhimento.pdf | TAMANHO = 927 | DESCRICAO = Gia de Recolhimento.pdf
