01/12/2016 08:09 - MARCELOGODOI | CI = 18416 | NOME_FISICO = 1480586957-13950100.pdf | NOME_ORIGINAL = DARE.pdf | TAMANHO = 70 | DESCRICAO = DARE.pdf
02/12/2016 10:29 - FRANCISCO | CI = 18436 | NOME_FISICO = 1480681762-15512600.pdf | NOME_ORIGINAL = CUPOM-RON-21-22-11.pdf | TAMANHO = 214 | DESCRICAO = CUPOM-RON-21-22-11.pdf
02/12/2016 10:51 - FERNANDOPIRES | CI = 18437 | NOME_FISICO = 1480683036-79575100.pdf | NOME_ORIGINAL = FF - despesas diversas - 02-12-16.pdf | TAMANHO = 294 | DESCRICAO = FF - despesas diversas - 02-12-16.pdf
02/12/2016 10:56 - DANILO | CI = 18432 | NOME_FISICO = 1480683377-56137600.pdf | NOME_ORIGINAL = Boleto.pdf | TAMANHO = 374 | DESCRICAO = Boleto.pdf
02/12/2016 11:25 - DENISESANTOS | CI = 18438 | NOME_FISICO = 1480685127-62387600.pdf | NOME_ORIGINAL = Nota Restaurante Varandas.pdf | TAMANHO = 332 | DESCRICAO = Nota Restaurante
02/12/2016 13:48 - RODRIGO_POIT | CI = 18440 | NOME_FISICO = 1480693685-46762600.pdf | NOME_ORIGINAL = MAICSON MUNIZ MACHADO-PROC.11882-77.2014.0081-ATA DE AUDIÊNCIA.pdf | TAMANHO = 1041 | DESCRICAO = MAICSON MUNIZ MACHADO-PROC.11882-77.2014.0081-ATA DE AUDIÊNCIA.pdf
02/12/2016 14:17 - FRANCISCO | CI = 18441 | NOME_FISICO = 1480695443-10825200.pdf | NOME_ORIGINAL = CUPOM - AIRT. 01-12.pdf | TAMANHO = 348 | DESCRICAO = CUPOM - AIRT. 01-12.pdf
02/12/2016 15:43 - ELISSANDRA | CI = 18445 | NOME_FISICO = 1480700598-18637600.pdf | NOME_ORIGINAL = doc12814820161202170310.pdf | TAMANHO = 377 | DESCRICAO = doc12814820161202170310.pdf
02/12/2016 15:48 - ELISSANDRA | CI = 18447 | NOME_FISICO = 1480700861-15512700.pdf | NOME_ORIGINAL = doc12814920161202170733.pdf | TAMANHO = 302 | DESCRICAO = doc12814920161202170733.pdf
02/12/2016 15:56 - ELISSANDRA | CI = 18448 | NOME_FISICO = 1480701350-82700100.pdf | NOME_ORIGINAL = doc12815120161202171218.pdf | TAMANHO = 1377 | DESCRICAO = doc12815120161202171218.pdf
02/12/2016 16:06 - ELISSANDRA | CI = 18449 | NOME_FISICO = 1480701980-01450100.pdf | NOME_ORIGINAL = doc12815220161202172044.pdf | TAMANHO = 274 | DESCRICAO = doc12815220161202172044.pdf
02/12/2016 16:08 - ELISSANDRA | CI = 18450 | NOME_FISICO = 1480702107-29575100.pdf | NOME_ORIGINAL = doc12815320161202172059.pdf | TAMANHO = 214 | DESCRICAO = doc12815320161202172059.pdf
02/12/2016 16:11 - ELISSANDRA | CI = 18451 | NOME_FISICO = 1480702265-96762600.pdf | NOME_ORIGINAL = doc12815620161202172215.pdf | TAMANHO = 1443 | DESCRICAO = doc12815620161202172215.pdf
02/12/2016 16:16 - ELISSANDRA | CI = 18452 | NOME_FISICO = 1480702543-98325200.pdf | NOME_ORIGINAL = doc12815920161202172349.pdf | TAMANHO = 1055 | DESCRICAO = doc12815920161202172349.pdf
05/12/2016 07:27 - RODRIGO_POIT | CI = 18454 | NOME_FISICO = 1480929954-62587600.msg | NOME_ORIGINAL = RES PUBLICAÇÃO PROC. 1117114 - MARCILAINE SABINO DOS SANTOS.msg | TAMANHO = 92 | DESCRICAO = RES PUBLICAÇÃO PROC. 1117114 - MARCILAINE SABINO DOS SANTOS.msg
05/12/2016 07:27 - RODRIGO_POIT | CI = 18454 | NOME_FISICO = 1480929954-65296400.pdf | NOME_ORIGINAL = GFIP Depósito Recursal AI Marcilaine Sabino dos Santos.pdf | TAMANHO = 209 | DESCRICAO = GFIP Depósito Recursal AI Marcilaine Sabino dos Santos.pdf
05/12/2016 07:56 - MARTA | CI = 18456 | NOME_FISICO = 1480931783-40712600.pdf | NOME_ORIGINAL = Despesa 05122016.pdf | TAMANHO = 431 | DESCRICAO = Despesas de Viagem
05/12/2016 09:43 - VALDINEI | CI = 18461 | NOME_FISICO = 1480938202-17275100.pdf | NOME_ORIGINAL = Conta de Água - Novembro - 2016.pdf | TAMANHO = 514 | DESCRICAO = Conta de Água - Novembro - 2016.pdf
05/12/2016 09:58 - FRANCISCO | CI = 18462 | NOME_FISICO = 1480939036-84462700.pdf | NOME_ORIGINAL = CUPOM RON-SP-01.pdf | TAMANHO = 491 | DESCRICAO = CUPOM RON-SP-01.pdf
05/12/2016 09:58 - FRANCISCO | CI = 18462 | NOME_FISICO = 1480939068-44329100.pdf | NOME_ORIGINAL = CUPOM RON-SP-02.pdf | TAMANHO = 368 | DESCRICAO = CUPOM RON-SP-02.pdf
05/12/2016 09:58 - FRANCISCO | CI = 18462 | NOME_FISICO = 1480939107-74339400.pdf | NOME_ORIGINAL = CUPOM RON-SP-03.pdf | TAMANHO = 382 | DESCRICAO = CUPOM RON-SP-03.pdf
05/12/2016 10:18 - FRANCISCO | CI = 18465 | NOME_FISICO = 1480940266-28212700.pdf | NOME_ORIGINAL = DETRAN - TAXAS DE SERV .2016.pdf | TAMANHO = 316 | DESCRICAO = DETRAN - TAXAS DE SERV .2016.pdf
05/12/2016 11:44 - VALDINEI | CI = 18470 | NOME_FISICO = 1480945448-51650100.pdf | NOME_ORIGINAL = Comprovante Sedex a cobrar - 24-10-16.pdf | TAMANHO = 684 | DESCRICAO = Comprovante Sedex a cobrar - 24-10-16.pdf
05/12/2016 13:15 - VELOSA | CI = 18471 | NOME_FISICO = 1480950847-06337600.pdf | NOME_ORIGINAL = Guia ISS São Paulo.pdf | TAMANHO = 58 | DESCRICAO = Guia ISS São Paulo.pdf
05/12/2016 13:15 - VELOSA | CI = 18471 | NOME_FISICO = 1480950856-96962600.PDF | NOME_ORIGINAL = ISS São Paulo - relatório financeiro.PDF | TAMANHO = 135 | DESCRICAO = ISS São Paulo - relatório financeiro.PDF
05/12/2016 13:15 - VELOSA | CI = 18471 | NOME_FISICO = 1480950874-56337700.PDF | NOME_ORIGINAL = ISS São Paulo.PDF | TAMANHO = 73 | DESCRICAO = ISS São Paulo.PDF
05/12/2016 14:08 - FRANCISCO | CI = 18473 | NOME_FISICO = 1480954079-76650100.pdf | NOME_ORIGINAL = CUPOM-RON-05-12.pdf | TAMANHO = 189 | DESCRICAO = CUPOM-RON-05-12.pdf
05/12/2016 14:51 - FRANCISCO | CI = 18474 | NOME_FISICO = 1480956650-11025100.pdf | NOME_ORIGINAL = DETRAN - TAXAS DE SERV .2016.pdf | TAMANHO = 316 | DESCRICAO = DETRAN - TAXAS DE SERV .2016.pdf
05/12/2016 15:29 - VELOSA | CI = 18471 | NOME_FISICO = 1480958980-14150100.pdf | NOME_ORIGINAL = ISS São Paulo - completo.pdf | TAMANHO = 868 | DESCRICAO = ISS São Paulo - completo.pdf
06/12/2016 07:47 - KLEBER | CI = 18477 | NOME_FISICO = 1481017565-98525100.pdf | NOME_ORIGINAL = 11-2016 - Usina Santa Fé - Diretores - Boleto.pdf | TAMANHO = 91 | DESCRICAO = 11-2016 - Usina Santa Fé - Diretores - Boleto.pdf
06/12/2016 07:47 - KLEBER | CI = 18477 | NOME_FISICO = 1481017572-34462600.pdf | NOME_ORIGINAL = 11-2016 - Usina Santa Fé - Funcionários - Boleto.pdf | TAMANHO = 91 | DESCRICAO = 11-2016 - Usina Santa Fé - Funcionários - Boleto.pdf
06/12/2016 08:30 - VALDINEI | CI = 18479 | NOME_FISICO = 1481020144-23525100.pdf | NOME_ORIGINAL = Conta de Energia - Dezembro - 2016.pdf | TAMANHO = 609 | DESCRICAO = Conta de Energia - Dezembro - 2016.pdf
06/12/2016 08:50 - ELTON | CI = 18480 | NOME_FISICO = 1481021416-65712700.pdf | NOME_ORIGINAL = Daniel de Oliveira Garcia.pdf | TAMANHO = 554 | DESCRICAO = Daniel de Oliveira Garcia.pdf
06/12/2016 08:59 - MICHELAAUGUSTO | CI = 18481 | NOME_FISICO = 1481021938-90712600.pdf | NOME_ORIGINAL = Apuração do INSS (vistado).pdf | TAMANHO = 821 | DESCRICAO = Apuração do INSS (vistado).pdf
06/12/2016 09:21 - RODRIGO_POIT | CI = 18482 | NOME_FISICO = 1481023273-71962600.msg | NOME_ORIGINAL = TERMO DE AUDIÊNCIA PROC. 118813 - JULIO CESAR BARBOSA DA SILVA.msg | TAMANHO = 78 | DESCRICAO = TERMO DE AUDIÊNCIA PROC. 118813 - JULIO CESAR BARBOSA DA SILVA.msg
06/12/2016 09:35 - VALDINEI | CI = 18483 | NOME_FISICO = 1481024115-06337600.pdf | NOME_ORIGINAL = Boleto - Dezembro - 2016.pdf | TAMANHO = 478 | DESCRICAO = Boleto - Dezembro - 2016.pdf
06/12/2016 09:49 - VALDINEI | CI = 18484 | NOME_FISICO = 1481024947-07900100.pdf | NOME_ORIGINAL = Conta de Água - Novembro - 2016.pdf | TAMANHO = 517 | DESCRICAO = Conta de Água - Novembro - 2016.pdf
06/12/2016 11:07 - RODRIGO_POIT | CI = 18487 | NOME_FISICO = 1481029628-48525200.pdf | NOME_ORIGINAL = WELLINTON DE ANDRADE FERRO-PROC.10219-30.2013.0081-ATA DE AUDIÊNCIA.pdf | TAMANHO = 1062 | DESCRICAO = WELLINTON DE ANDRADE FERRO-PROC.10219-30.2013.0081-ATA DE AUDIÊNCIA.pdf
06/12/2016 11:07 - RODRIGO_POIT | CI = 18487 | NOME_FISICO = 1481029628-54403800.pdf | NOME_ORIGINAL = CÁLCULOS - WELLINTON DE ANDRADE FERRO - reclamante.pdf | TAMANHO = 607 | DESCRICAO = CÁLCULOS - WELLINTON DE ANDRADE FERRO - reclamante.pdf
06/12/2016 11:07 - RODRIGO_POIT | CI = 18487 | NOME_FISICO = 1481029628-57644900.pdf | NOME_ORIGINAL = CÁLCULO WELLINTON DE ANDRADE FERRO X USINA SANTA FE.pdf | TAMANHO = 538 | DESCRICAO = CÁLCULO WELLINTON DE ANDRADE FERRO X USINA SANTA FE.pdf
06/12/2016 11:37 - AREIAS | CI = 18488 | NOME_FISICO = 1481031418-62587700.pdf | NOME_ORIGINAL = Recibo Clube de Tiro.pdf | TAMANHO = 232 | DESCRICAO = Recibo Clube de Tiro.pdf
06/12/2016 13:03 - RODRIGO_POIT | CI = 18490 | NOME_FISICO = 1481036595-18837700.pdf | NOME_ORIGINAL = despesa.pdf | TAMANHO = 226 | DESCRICAO = despesa.pdf
06/12/2016 13:26 - RODRIGO_POIT | CI = 18491 | NOME_FISICO = 1481037806-87587600.pdf | NOME_ORIGINAL = GABRIEL ANTONIO NERIS-PROC.1300-23.2011.0081-ATA DE AUDIÊNCIA.pdf | TAMANHO = 1091 | DESCRICAO = GABRIEL ANTONIO NERIS-PROC.1300-23.2011.0081-ATA DE AUDIÊNCIA.pdf
06/12/2016 13:26 - RODRIGO_POIT | CI = 18491 | NOME_FISICO = 1481037806-91763300.pdf | NOME_ORIGINAL = Gabriel  Antonio  Neris.pdf | TAMANHO = 1391 | DESCRICAO = Gabriel  Antonio  Neris.pdf
06/12/2016 13:32 - MARTA | CI = 18492 | NOME_FISICO = 1481038316-90712600.pdf | NOME_ORIGINAL = Despesa Adao 1.pdf | TAMANHO = 504 | DESCRICAO = Despesas de Viagem
06/12/2016 13:32 - MARTA | CI = 18492 | NOME_FISICO = 1481038316-96072600.pdf | NOME_ORIGINAL = Despesa Adao 2.pdf | TAMANHO = 595 | DESCRICAO = Despesas de Viagem
06/12/2016 13:32 - MARTA | CI = 18492 | NOME_FISICO = 1481038316-99055600.pdf | NOME_ORIGINAL = Despesa Adao 3.pdf | TAMANHO = 500 | DESCRICAO = Despesas de Viagem
06/12/2016 14:21 - RODRIGO_POIT | CI = 18494 | NOME_FISICO = 1481040999-50087600.msg | NOME_ORIGINAL = RES PUBLICAÇÃO PROC. 1004413 - CLAUDINEI DOS SANTOS.msg | TAMANHO = 55 | DESCRICAO = RES PUBLICAÇÃO PROC. 1004413 - CLAUDINEI DOS SANTOS.msg
06/12/2016 16:46 - FERNANDOPIRES | CI = 18501 | NOME_FISICO = 1481049994-73525100.pdf | NOME_ORIGINAL = Boleto Ticket - 03-01-2017.pdf | TAMANHO = 62 | DESCRICAO = Boleto Ticket - 03-01-2017.pdf
06/12/2016 16:46 - FERNANDOPIRES | CI = 18501 | NOME_FISICO = 1481049994-76185300.pdf | NOME_ORIGINAL = Nota Fiscal Ticket.pdf | TAMANHO = 9.62 | DESCRICAO = Nota Fiscal Ticket.pdf
07/12/2016 07:12 - ROSEMEIRESGOTI | CI = 18502 | NOME_FISICO = 1481101950-42275200.pdf | NOME_ORIGINAL = NF 2803 nfs_ribeirao_preto0.04044641819781958.pdf | TAMANHO = 18 | DESCRICAO = NF 2803 nfs_ribeirao_preto0.04044641819781958.pdf
07/12/2016 08:46 - TOM | CI = 18505 | NOME_FISICO = 1481107098-23525100.pdf | NOME_ORIGINAL = doc04241020161207094710.pdf | TAMANHO = 440 | DESCRICAO = doc04241020161207094710.pdf
07/12/2016 08:46 - TOM | CI = 18505 | NOME_FISICO = 1481107459-21962600.pdf | NOME_ORIGINAL = doc04240820161207093701.pdf | TAMANHO = 614 | DESCRICAO = doc04240820161207093701.pdf
07/12/2016 08:46 - TOM | CI = 18505 | NOME_FISICO = 1481107480-76650100.pdf | NOME_ORIGINAL = doc04240720161207093624.pdf | TAMANHO = 1183 | DESCRICAO = doc04240720161207093624.pdf
07/12/2016 10:32 - VELOSA | CI = 18508 | NOME_FISICO = 1481113933-23525100.pdf | NOME_ORIGINAL = IRRF Usina - completo.pdf | TAMANHO = 3263 | DESCRICAO = IRRF Usina - completo.pdf
07/12/2016 10:39 - VELOSA | CI = 18510 | NOME_FISICO = 1481114372-37587700.pdf | NOME_ORIGINAL = ISS Usina - completo.pdf | TAMANHO = 1779 | DESCRICAO = ISS Usina - completo.pdf
07/12/2016 10:42 - VELOSA | CI = 18511 | NOME_FISICO = 1481114521-43837600.pdf | NOME_ORIGINAL = INSS Usina - completo.pdf | TAMANHO = 959 | DESCRICAO = INSS Usina - completo.pdf
07/12/2016 10:44 - VELOSA | CI = 18512 | NOME_FISICO = 1481114687-01650100.pdf | NOME_ORIGINAL = IRRF Agro - completo.pdf | TAMANHO = 874 | DESCRICAO = IRRF Agro - completo.pdf
07/12/2016 10:48 - VELOSA | CI = 18513 | NOME_FISICO = 1481114887-34462700.pdf | NOME_ORIGINAL = RCCP Agro - completo.pdf | TAMANHO = 1383 | DESCRICAO = RCCP Agro - completo.pdf
07/12/2016 10:49 - FRANCISCO | CI = 18514 | NOME_FISICO = 1481114931-81337700.pdf | NOME_ORIGINAL = CUPOM-AIRTON-05-12.pdf | TAMANHO = 324 | DESCRICAO = CUPOM-AIRTON-05-12.pdf
07/12/2016 11:04 - FRANCISCO | CI = 18516 | NOME_FISICO = 1481115876-21962700.pdf | NOME_ORIGINAL = CUPOM - AIRTON-03-12-16.pdf | TAMANHO = 373 | DESCRICAO = CUPOM - AIRTON-03-12-16.pdf
07/12/2016 11:23 - RODRIGO_POIT | CI = 18518 | NOME_FISICO = 1481116966-09462700.msg | NOME_ORIGINAL = RES RES DEPÓSITOS SEM JUROS E CORREÇÃO - PROC. 69709 - SALUSTIANO GOUVEIA DA SILVA.msg | TAMANHO = 82 | DESCRICAO = RES RES DEPÓSITOS SEM JUROS E CORREÇÃO - PROC. 69709 - SALUSTIANO GOUVEIA DA SILVA.msg
07/12/2016 11:23 - RODRIGO_POIT | CI = 18518 | NOME_FISICO = 1481116966-13439700.pdf | NOME_ORIGINAL = atualização.pdf | TAMANHO = 336 | DESCRICAO = atualização.pdf
07/12/2016 14:21 - RAQUEL | CI = 18521 | NOME_FISICO = 1481127311-26650100.PDF | NOME_ORIGINAL = Relatório 9 05 382.PDF | TAMANHO = 78 | DESCRICAO = Relatório 9 05 382
07/12/2016 14:21 - RAQUEL | CI = 18521 | NOME_FISICO = 1481127404-27124000.pdf | NOME_ORIGINAL = Orçamento Escandinavia.pdf | TAMANHO = 597 | DESCRICAO = Orçamento Escandinavia.pdf
07/12/2016 14:28 - ELTON | CI = 18523 | NOME_FISICO = 1481127978-92275100.xlsx | NOME_ORIGINAL = Relatório de Férias - Controle de Qualidade.xlsx | TAMANHO = 15 | DESCRICAO = Relatório de Férias - Controle de Qualidade.xlsx
07/12/2016 14:28 - ELTON | CI = 18523 | NOME_FISICO = 1481128033-00620500.xlsx | NOME_ORIGINAL = Relatório de Férias - Fabricação de Açúcar.xlsx | TAMANHO = 16 | DESCRICAO = Relatório de Férias - Fabricação de Açúcar.xlsx
07/12/2016 14:28 - ELTON | CI = 18523 | NOME_FISICO = 1481128049-02484100.xlsx | NOME_ORIGINAL = Relatório de Férias - Recepção e Moagem.xlsx | TAMANHO = 15 | DESCRICAO = Relatório de Férias - Recepção e Moagem.xlsx
08/12/2016 09:05 - REGI | CI = 18538 | NOME_FISICO = 1481194679-59900100.msg | NOME_ORIGINAL = Pagamentos Fornecedores_Nov_16.msg | TAMANHO = 89 | DESCRICAO = Pagamentos Fornecedores_Nov_16.msg
08/12/2016 11:30 - SANTANA | CI = 18541 | NOME_FISICO = 1481203810-38025000.rar | NOME_ORIGINAL = Parcelamento Cod. 1194 (Art. 1º - PGFN) IPI (safras 1992_1993, 1993_1994 e 1994_1995).rar | TAMANHO = 1239 | DESCRICAO = Parcelamento Cod. 1194 (Art. 1º - PGFN) IPI (safras 1992_1993, 1993_1994 e 1994_1995).rar
08/12/2016 11:30 - SANTANA | CI = 18541 | NOME_FISICO = 1481203810-39653300.rar | NOME_ORIGINAL = Parcelamento Cod. 1279 (Art. 1º - RFB) IPI (safras 1997_1998, 1998_1999 e 1999_2000).rar | TAMANHO = 1315 | DESCRICAO = Parcelamento Cod. 1279 (Art. 1º - RFB) IPI (safras 1997_1998, 1998_1999 e 1999_2000).rar
08/12/2016 11:30 - SANTANA | CI = 18541 | NOME_FISICO = 1481203810-44628600.rar | NOME_ORIGINAL = Parcelamento Cod. 1285 (Art. 3º - RFB) COFINS (10 e 111997), CSLL (2004) e IRPJ (2003).rar | TAMANHO = 1297 | DESCRICAO = Parcelamento Cod. 1285 (Art. 3º - RFB) COFINS (10 e 111997), CSLL (2004) e IRPJ (2003).rar
08/12/2016 11:33 - SANTANA | CI = 18542 | NOME_FISICO = 1481204031-06775100.rar | NOME_ORIGINAL = Parcelamento PPI - Roberto.rar | TAMANHO = 53 | DESCRICAO = Parcelamento PPI - Roberto.rar
08/12/2016 14:15 - FRANCISCO | CI = 18543 | NOME_FISICO = 1481213688-92712600.pdf | NOME_ORIGINAL = DETRAN- T. SERVIÇOS E LIBERAÇÃO VEÍC..pdf | TAMANHO = 924 | DESCRICAO = DETRAN- T. SERVIÇOS E LIBERAÇÃO VEÍC..pdf
08/12/2016 14:24 - RODRIGO_POIT | CI = 18544 | NOME_FISICO = 1481214256-77087700.msg | NOME_ORIGINAL = PUBLICAÇÃO PROC. 98311 - MARIO LUCIO PEREIRA.msg | TAMANHO = 74 | DESCRICAO = PUBLICAÇÃO PROC. 98311 - MARIO LUCIO PEREIRA.msg
08/12/2016 15:49 - FRANCISCO | CI = 18546 | NOME_FISICO = 1481219338-83337600.pdf | NOME_ORIGINAL = CUPOM-RON.-06-12.pdf | TAMANHO = 187 | DESCRICAO = CUPOM-RON.-06-12.pdf
08/12/2016 16:39 - ERIC | CI = 18548 | NOME_FISICO = 1481222361-05212700.pdf | NOME_ORIGINAL = COGEN - 12-2016.pdf | TAMANHO = 40 | DESCRICAO = Cogen - 12-2016
08/12/2016 16:57 - KLEBER | CI = 18550 | NOME_FISICO = 1481223449-20837600.pdf | NOME_ORIGINAL = CPFL - Visualização de conta.pdf | TAMANHO = 213 | DESCRICAO = CPFL - Visualização de conta.pdf
09/12/2016 07:39 - SANTANA | CI = 18551 | NOME_FISICO = 1481276364-22400100.pdf | NOME_ORIGINAL = Doc. Suporte.pdf | TAMANHO = 387 | DESCRICAO = Doc. Suporte.pdf
09/12/2016 07:39 - SANTANA | CI = 18551 | NOME_FISICO = 1481276364-25429800.pdf | NOME_ORIGINAL = Funrural - AGRO.pdf | TAMANHO = 245 | DESCRICAO = Funrural - AGRO.pdf
09/12/2016 10:21 - LARISSALIMA | CI = 18555 | NOME_FISICO = 1481286100-70837700.pdf | NOME_ORIGINAL = doc08650120161209115323.pdf | TAMANHO = 245 | DESCRICAO = doc08650120161209115323.pdf
09/12/2016 12:49 - MATHEUSUZELOTTO | CI = 18558 | NOME_FISICO = 1481294953-13025200.pdf | NOME_ORIGINAL = ICL.pdf | TAMANHO = 284 | DESCRICAO = ICL.pdf
09/12/2016 12:51 - MATHEUSUZELOTTO | CI = 18559 | NOME_FISICO = 1481295050-91150100.pdf | NOME_ORIGINAL = 02-12-2016.pdf | TAMANHO = 468 | DESCRICAO = 02-12-2016.pdf
09/12/2016 12:51 - MATHEUSUZELOTTO | CI = 18559 | NOME_FISICO = 1481295050-93299500.pdf | NOME_ORIGINAL = 02-12-2016-1.pdf | TAMANHO = 419 | DESCRICAO = 02-12-2016-1.pdf
09/12/2016 15:01 - CARACIOLO | CI = 18560 | NOME_FISICO = 1481302858-66575100.pdf | NOME_ORIGINAL = boleto usina santa fe.pdf | TAMANHO = 33 | DESCRICAO = boleto usina santa fe.pdf
09/12/2016 15:06 - RODRIGO_POIT | CI = 18561 | NOME_FISICO = 1481303109-63450100.msg | NOME_ORIGINAL = Nota fiscal Santa Fé novembro 2016.msg | TAMANHO = 256 | DESCRICAO = Nota fiscal Santa Fé novembro 2016.msg
09/12/2016 15:47 - RODRIGO_POIT | CI = 18562 | NOME_FISICO = 1481305651-41575100.pdf | NOME_ORIGINAL = DESPESA FAIZ.pdf | TAMANHO = 2649 | DESCRICAO = DESPESA FAIZ.pdf
09/12/2016 15:49 - FERNANDOPIRES | CI = 18563 | NOME_FISICO = 1481305772-32200100.pdf | NOME_ORIGINAL = Boleto Limpadora Veloz - 30-12-2016.pdf | TAMANHO = 117 | DESCRICAO = Boleto Limpadora Veloz - 30-12-2016.pdf
09/12/2016 15:49 - FERNANDOPIRES | CI = 18563 | NOME_FISICO = 1481305772-34812000.pdf | NOME_ORIGINAL = NF Limpadora Veloz - 30-12-2016.pdf | TAMANHO = 98 | DESCRICAO = NF Limpadora Veloz - 30-12-2016.pdf
09/12/2016 15:51 - FERNANDOPIRES | CI = 18564 | NOME_FISICO = 1481305863-33762700.pdf | NOME_ORIGINAL = FF - despsas diversas - 09-12-2016.pdf | TAMANHO = 175 | DESCRICAO = FF - despsas diversas - 09-12-2016.pdf
09/12/2016 16:08 - FRANCISCO | CI = 18565 | NOME_FISICO = 1481306887-44700100.pdf | NOME_ORIGINAL = CUPOM-AIRTON-08-12.pdf | TAMANHO = 363 | DESCRICAO = CUPOM-AIRTON-08-12.pdf
09/12/2016 16:32 - MARCOS | CI = 18567 | NOME_FISICO = 1481308321-88450200.pdf | NOME_ORIGINAL = GareICMS.pdf | TAMANHO = 97 | DESCRICAO = GareICMS.pdf
09/12/2016 16:32 - MARCOS | CI = 18567 | NOME_FISICO = 1481308346-58762600.pdf | NOME_ORIGINAL = Faz MM2.pdf | TAMANHO = 22 | DESCRICAO = Faz MM2.pdf
09/12/2016 19:57 - TOM | CI = 18568 | NOME_FISICO = 1481320561-82200100.pdf | NOME_ORIGINAL = doc04240820161207093701.pdf | TAMANHO = 614 | DESCRICAO = doc04240820161207093701.pdf
09/12/2016 19:57 - TOM | CI = 18568 | NOME_FISICO = 1481320577-07200200.pdf | NOME_ORIGINAL = doc04240720161207093624.pdf | TAMANHO = 1183 | DESCRICAO = doc04240720161207093624.pdf
12/12/2016 12:39 - ELISSANDRA | CI = 18573 | NOME_FISICO = 1481553536-82200200.pdf | NOME_ORIGINAL = doc12863520161212135553.pdf | TAMANHO = 202 | DESCRICAO = doc12863520161212135553.pdf
12/12/2016 12:43 - ELISSANDRA | CI = 18574 | NOME_FISICO = 1481553777-10325100.pdf | NOME_ORIGINAL = doc12863820161212135705.pdf | TAMANHO = 1064 | DESCRICAO = doc12863820161212135705.pdf
12/12/2016 12:45 - ELISSANDRA | CI = 18575 | NOME_FISICO = 1481553899-08762600.pdf | NOME_ORIGINAL = contrato Christiano.pdf | TAMANHO = 370 | DESCRICAO = contrato Christiano.pdf
12/12/2016 13:09 - ELISSANDRA | CI = 18578 | NOME_FISICO = 1481555298-58762600.pdf | NOME_ORIGINAL = doc12864820161212142740.pdf | TAMANHO = 255 | DESCRICAO = doc12864820161212142740.pdf
12/12/2016 13:13 - ELISSANDRA | CI = 18579 | NOME_FISICO = 1481555412-11887600.pdf | NOME_ORIGINAL = doc12864920161212142755.pdf | TAMANHO = 258 | DESCRICAO = doc12864920161212142755.pdf
