02/11/2018 16:57 - NORIVAL | ID =  | CI = 25661 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 40.00
16/11/2018 13:24 - NORIVAL | ID =  | CI = 25748 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 17.00
19/11/2018 07:53 - LUISMOREIRA | ID =  | CI = 25751 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 33.50
19/11/2018 08:22 - OTAVIOGIRO | ID =  | CI = 25755 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 34.10
19/11/2018 08:26 - OTAVIOGIRO | ID =  | CI = 25756 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 90.01
19/11/2018 08:26 - OTAVIOGIRO | ID =  | CI = 25756 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 70.15
19/11/2018 09:49 - JENS | ID =  | CI = 25759 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 57.20
19/11/2018 09:49 - JENS | ID =  | CI = 25759 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 50.00
19/11/2018 09:49 - JENS | ID =  | CI = 25759 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 510.00
19/11/2018 10:30 - NORIVAL | ID =  | CI = 25761 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 15.40
19/11/2018 10:30 - NORIVAL | ID =  | CI = 25761 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 17.65
21/11/2018 08:06 - LUZMARINA | ID =  | CI = 25772 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 19.40
21/11/2018 09:03 - OTAVIOGIRO | ID =  | CI = 25775 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 75.80
22/11/2018 11:11 - NORIVAL | ID =  | CI = 25784 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 50.40
26/11/2018 07:26 - SANDRA | ID =  | CI = 25800 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 344.17
26/11/2018 08:32 - OTAVIOGIRO | ID =  | CI = 25801 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 39.00
26/11/2018 11:27 - LUZMARINA | ID =  | CI = 25811 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 90.00
27/11/2018 09:27 - JENS | ID =  | CI = 25824 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 56.00
27/11/2018 09:27 - JENS | ID =  | CI = 25824 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 55.50
27/11/2018 11:07 - TOM | ID =  | CI = 25827 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 86.97
27/11/2018 11:07 - TOM | ID =  | CI = 25827 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 64.80
27/11/2018 11:07 - TOM | ID =  | CI = 25827 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 290.07
27/11/2018 11:07 - TOM | ID =  | CI = 25827 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 143.38
27/11/2018 11:07 - TOM | ID =  | CI = 25827 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 393.82
27/11/2018 11:07 - TOM | ID =  | CI = 25827 | FINALIDADE_TIPO_DESPESA = 6 | VALOR = 0.00
27/11/2018 14:06 - GENAILDOTORRES | ID =  | CI = 25829 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 829.62
27/11/2018 14:06 - GENAILDOTORRES | ID =  | CI = 25829 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 599.40
27/11/2018 16:03 - NORIVAL | ID =  | CI = 25830 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 98.18
28/11/2018 08:13 - NORIVAL | ID =  | CI = 25833 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 9.80
28/11/2018 08:13 - NORIVAL | ID =  | CI = 25833 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 24.55
28/11/2018 09:43 - NORIVAL | ID =  | CI = 25835 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 22.00
28/11/2018 09:48 - NORIVAL | ID =  | CI = 25836 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 15.40
28/11/2018 09:48 - NORIVAL | ID =  | CI = 25836 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 46.55
28/11/2018 15:54 - KLEBER | ID =  | CI = 25839 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 0.00
28/11/2018 15:54 - KLEBER | ID =  | CI = 25839 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 0.00
28/11/2018 15:54 - KLEBER | ID =  | CI = 25839 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 359.03
28/11/2018 15:54 - KLEBER | ID =  | CI = 25839 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 7.75
28/11/2018 15:54 - KLEBER | ID =  | CI = 25839 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 0.00
28/11/2018 15:54 - KLEBER | ID =  | CI = 25839 | FINALIDADE_TIPO_DESPESA = 6 | VALOR = 0.00
30/11/2018 07:55 - SIDINEI | ID =  | CI = 25847 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 32.40
30/11/2018 07:55 - SIDINEI | ID =  | CI = 25847 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 138.02
30/11/2018 07:55 - SIDINEI | ID =  | CI = 25847 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 311.95
30/11/2018 07:55 - SIDINEI | ID =  | CI = 25847 | FINALIDADE_TIPO_DESPESA = 6 | VALOR = 0.00
30/11/2018 08:51 - MATHEUSRODRIGUES | ID =  | CI = 25850 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 28.60
30/11/2018 12:35 - LUISMOREIRA | ID =  | CI = 25852 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 67.80
30/11/2018 15:00 - NORIVAL | ID =  | CI = 25857 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 158.44
