02/01/2019 08:24 - KLEBER | CI = 26130 | NOME_FISICO = 1546424691-11742200.pdf | NOME_ORIGINAL = Mariely.pdf | TAMANHO = 245 | DESCRICAO = Mariely.pdf
25/01/2019 08:08 - DENISESANTOS | CI = 26382 | NOME_FISICO = 1548410906-89336000.pdf | NOME_ORIGINAL = CUPOM FISCAL CARTÓRIO ARARAQUARA - CIOMINO.pdf | TAMANHO = 344 | DESCRICAO = CUPOM FISCAL CARTÓRIO ARARAQUARA - CIOMINO.pdf
25/01/2019 09:29 - MARTA | CI = 26383 | NOME_FISICO = 1548415739-21855500.pdf | NOME_ORIGINAL = Despesa 24 01 19.pdf | TAMANHO = 660 | DESCRICAO = Despesa 
28/01/2019 08:12 - JENS | CI = 26395 | NOME_FISICO = 1548670318-45000100.xlsx | NOME_ORIGINAL = FERFE.xlsx | TAMANHO = 11 | DESCRICAO = FERFE.xlsx
29/01/2019 10:34 - GENAILDOTORRES | CI = 26413 | NOME_FISICO = 1548765241-08476500.pdf | NOME_ORIGINAL = SEM PARAR + CONECT CAR JAN 2019.pdf | TAMANHO = 2504 | DESCRICAO = SEM PARAR + CONECT CAR JAN 2019.pdf
29/01/2019 10:34 - GENAILDOTORRES | CI = 26413 | NOME_FISICO = 1548765241-10201300.pdf | NOME_ORIGINAL = PEDAGIOS AVULSO JAN 2019.pdf | TAMANHO = 260 | DESCRICAO = PEDAGIOS AVULSO JAN 2019.pdf
29/01/2019 10:34 - GENAILDOTORRES | CI = 26413 | NOME_FISICO = 1548765241-11298000.pdf | NOME_ORIGINAL = JAN 2019 - COMB.pdf | TAMANHO = 576 | DESCRICAO = JAN 2019 - COMB.pdf
29/01/2019 10:34 - GENAILDOTORRES | CI = 26413 | NOME_FISICO = 1548765241-12370300.pdf | NOME_ORIGINAL = PLANILHA janeiro 2019.pdf | TAMANHO = 416 | DESCRICAO = PLANILHA janeiro 2019.pdf
29/01/2019 15:43 - KLEBER | CI = 26419 | NOME_FISICO = 1548783792-33671900.pdf | NOME_ORIGINAL = Recibos.pdf | TAMANHO = 4073 | DESCRICAO = Recibos.pdf
30/01/2019 09:43 - FERNANDOPIRES | CI = 26428 | NOME_FISICO = 1548848615-42851700.pdf | NOME_ORIGINAL = FF - despesas diversas - 30-01-2019.pdf | TAMANHO = 1431 | DESCRICAO = FF - despesas diversas - 30-01-2019.pdf
30/01/2019 14:22 - STEFANIAESTEVO | CI = 26434 | NOME_FISICO = 1548865308-17949200.pdf | NOME_ORIGINAL = CUPOM FISCAL - ALMOÇO JOSÉ RENATO ESTEVO.pdf | TAMANHO = 162 | DESCRICAO = CUPOM FISCAL
30/01/2019 14:50 - GENAILDOTORRES | CI = 26435 | NOME_FISICO = 1548866929-23711000.pdf | NOME_ORIGINAL = CLAUDIO FERNANDES EX. FUNC. COMERCIAL.pdf | TAMANHO = 104 | DESCRICAO = CLAUDIO FERNANDES EX. FUNC. COMERCIAL.pdf
30/01/2019 16:31 - ELISSANDRA | CI = 26437 | NOME_FISICO = 1548873079-42851600.pdf | NOME_ORIGINAL = Untitled_20190130_151328.pdf | TAMANHO = 21 | DESCRICAO = Untitled_20190130_151328.pdf
30/01/2019 18:09 - KLEBER | CI = 26439 | NOME_FISICO = 1548878946-12968800.pdf | NOME_ORIGINAL = Recibo.pdf | TAMANHO = 210 | DESCRICAO = Recibo.pdf
31/01/2019 08:03 - ELISSANDRA | CI = 26441 | NOME_FISICO = 1548928970-70390800.pdf | NOME_ORIGINAL = Untitled_20190131_064733.pdf | TAMANHO = 250 | DESCRICAO = Untitled_20190131_064733.pdf
31/01/2019 12:52 - ELISSANDRA | CI = 26444 | NOME_FISICO = 1548946139-96660200.pdf | NOME_ORIGINAL = Untitled_20190131_100853.pdf | TAMANHO = 876 | DESCRICAO = Untitled_20190131_100853.pdf
